country_code,nuts1_name,nuts1_code,nuts2_name,nuts2_code,nuts3_name,nuts3_code,lau1_name,lau1_code,lau2_name,lau2_code,population,territory,density
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Alytaus miesto savivaldybė,11,Alytaus miesto savivaldybė,LT001_11,52792,39.43,1338.87
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Druskininkų savivaldybė,15,Druskininkų savivaldybė,LT001_15,20041,453.01,44.23
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Alytaus rajono savivaldybė,33,Alytaus seniūnija,LT001_3301,4647,208.37,22.3
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Alytaus rajono savivaldybė,33,Alovės seniūnija,LT001_3302,9581,167.6,57.17
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Alytaus rajono savivaldybė,33,Butrimonių seniūnija,LT001_3310,2361,109.74,21.51
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Alytaus rajono savivaldybė,33,Daugų seniūnija,LT001_3317,3730,239.64,15.57
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Alytaus rajono savivaldybė,33,Krokialaukio seniūnija,LT001_3330,2461,154.58,15.92
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Alytaus rajono savivaldybė,33,Miroslavo seniūnija,LT001_3338,2968,225.48,13.16
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Alytaus rajono savivaldybė,33,Nemunaičio seniūnija,LT001_3342,1137,107.63,10.56
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Alytaus rajono savivaldybė,33,Pivašiūnų seniūnija,LT001_3348,2329,175.21,13.29
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Alytaus rajono savivaldybė,33,Punios seniūnija,LT001_3353,2293,129.15,17.75
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Alytaus rajono savivaldybė,33,Raitininkų seniūnija,LT001_3359,1359,154.3,8.81
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Alytaus rajono savivaldybė,33,Simno seniūnija,LT001_3380,3553,269.45,13.19
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Varėnos rajono savivaldybė,38,Valkininkų seniūnija,LT001_3805,3395,256.2,13.25
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Varėnos rajono savivaldybė,38,Varėnos seniūnija,LT001_3808,10281,472.26,21.77
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Varėnos rajono savivaldybė,38,Vydenių seniūnija,LT001_3813,1975,192.94,10.24
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Varėnos rajono savivaldybė,38,Kaniavos seniūnija,LT001_3826,1835,362.38,5.06
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Varėnos rajono savivaldybė,38,Marcinkonių seniūnija,LT001_3838,3407,815.26,4.18
LT,Lithuania,LT0,Lithuania,LT00,Alytaus apskritis,LT001,Varėnos rajono savivaldybė,38,Matuizų seniūnija,LT001_3842,2152,205.97,10.45
