beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
sportmalta					,MT,Malta,project,,,,,,,Malta,,,Cospicua,,,,"Cospicua, Malta",35.8807778,14.5277013,True,MT01105
malta air traffic services ltd.,MT,Malta,project,,,,,,,Malta,,,Luqa,LQA 4000,,,"Luqa LQA 4000, Malta",35.85411349999999,14.4832795,True,MT01133
water services corporation,MT,Malta,project,,,,,,,Malta,,,Ħal Luqa,LQA 9043,Triq Ħal Qormi,,"Head Office, Triq Ħal Qormi, Ħal Luqa LQA 9043, Malta",35.8650156,14.4823387,True,MT01133
national commission for further and higher education,MT,Malta,project,,,,,,,Malta,,,San Gwann,SGN 3000,,,"Malta Life Sciences Park, San Gwann SGN 3000, Malta",35.9025389,14.473177,True,MT01214
malta business bureau 						,MT,Malta,project,,,,,,,Malta,,,Birkirkara,BKR9039,Triq Dun Karm,,"Malta Business Bureau, Head Office, Cornerline, Level 1,, Triq Dun Karm, Birkirkara BKR9039, Malta",35.90104499999999,14.470692,True,MT01214
malta qualifications council,MT,Malta,project,,,,,,,Malta,,,San Gwann,SGN 3000,,,"Malta Life Sciences Park, San Gwann SGN 3000, Malta",35.9025389,14.473177,True,MT01214
malta financial services authority						,MT,Malta,project,,,,,,,Malta,,,Ħ'Attard,BKR 3000,,,"Notabile Road, Ħ'Attard BKR 3000, Malta",35.89284799999999,14.457284,True,MT01214
kummissjoni nazzjonali persuni b'dizabilita ,MT,Malta,project,,,,,,,Malta,,,Birkirkara,,Triq Salvu Psaila,,"CRPD, G5 Offices, Triq Salvu Psaila, Birkirkara, Malta",35.8941279,14.4720694,True,MT01214
recoop ltd - the restoration & conservation coop ltd,MT,Malta,project,,,,,,,Malta,,,Birkirkara,,Triq L-Esportaturi,,"Triq L-Esportaturi, Birkirkara, Malta",35.89129670000001,14.4607756,True,MT01214
kummissjoni nazzjonali ghal persuni b'dizabilita' (knpd),MT,Malta,project,,,,,,,Malta,,,Birkirkara,,Triq Salvu Psaila,,"CRPD, G5 Offices, Triq Salvu Psaila, Birkirkara, Malta",35.8941279,14.4720694,True,MT01214
kummissjoni nazzjonali persuni b' dizabilita',MT,Malta,project,,,,,,,Malta,,,Birkirkara,,Triq Salvu Psaila,,"CRPD, G5 Offices, Triq Salvu Psaila, Birkirkara, Malta",35.8941279,14.4720694,True,MT01214
ghaqda muzikali san gorg martri,MT,Malta,project,,,,,,,Malta,,,Ħal Qormi,,Triq Il-Kbira,,"Triq Il-Kbira, Ħal Qormi, Malta",35.8814278,14.4715026,True,MT01206
"malta college of arts, science and technology",MT,Malta,project,,,,,,,Malta,,,Raħal Ġdid,,Triq Kordin,,"Triq Kordin, Raħal Ġdid, Malta",35.8762892,14.5065236,True,MT01145
"malta college for arts, science and technology",MT,Malta,project,,,,,,,Malta,,,Raħal Ġdid,,Triq Kordin,,"Triq Kordin, Raħal Ġdid, Malta",35.8762892,14.5065236,True,MT01145
st. jeanne antide foundation,MT,Malta,project,,,,,,,Malta,,,Ħal Tarxien,,Triq Hal Tarxien,,"51, Triq Hal Tarxien, Ħal Tarxien, Malta",35.86915479999999,14.5085973,True,MT01145
transport malta,MT,Malta,project,,,,,,,Malta,,,Raħal Ġdid,,Triq L Arkata,,"A3 Towers, PLA 1212, Triq L Arkata, Raħal Ġdid, Malta",35.872553,14.5004232,True,MT01145
malta college of arts science & technology,MT,Malta,project,,,,,,,Malta,,,Raħal Ġdid,,Triq Kordin,,"Triq Kordin, Raħal Ġdid, Malta",35.8762892,14.5065236,True,MT01145
