private_cofinancing,project_name,lat,description,beneficiary_name,public_cofinancing,long,fund,eu_amount,address,duration
502154,Duurzame groei door innovatie en kenniscirculatie,52.0950271,"Onder het motto 'eerder, beter, sneller' hebben de Kamer van Koophandel Flevoland, de Ontwikkelingsmaatschappij Flevoland en Stichting Syntens een samenspel van gerichte uitvoeringslijnen voor en naar de mkb-ondernemer uitgewerkt. Het gaat in dit project om de volgende vijf uitvoeringslijnen: Hierdoor is het mogelijk gerichter, eerder, beter en sneller de benodigde kennis en kapitaal bij de ondernemersvraag aan te laten sluiten. Kansen voor Flevoland verstrekt vouchers, waarmee de onderneming kennis kan inkopen bij een gespecialiseerde kennisinstelling en contracten kan afsluiten. Het project sluit aan bij de focusgebieden in Flevoland: ICT/nieuwe media, geomatica: water- en navigatiecluster, composieten en lichtgewicht materialen, transport, logistiek en handel, life science, medische technologie en de maakindustrie. Daar waar het mogelijk is worden bedrijven ook actief gekoppeld met sterke clusters en netwerken binnen West en binnen overige delen van Nederland. Het accent ligt op bedrijven met meer dan vijf werknemers. Als het om bedrijven gaat met minder dan vijf werknemers dan wordt de aandacht in hoofdzaak gericht op Technologie Starters in de focus-gebieden en de doelgroepen van Syntens, Creatieve Industrie en bedrijven in de Human Health.",Kamer van Koophandel,4466814,5.112668699999972,EFRO,3093510,3511RC,Looptijd: van  1 januari 2008 tot 31 december 2013
1123720,Mobilität ohne Grenzen (INTERREG EMR),42.4106499,"Versterking van het grensoverschrijdend openbaar vervoer
Voor het bevorderen van de economische en regionale ontwikkeling is de Euregio Maas-Rijn afhankelijk van een efficiënte transportinfrastructuur van hoge kwaliteit.
Het platform “geïntegreerd openbaar vervoer” werd in 2003 in het leven geroepen en vormt nu de basis voor het huidige INTERREG IV-A project “M³ - Mobiliteit zonder grenzen in de Euregio Maas-Rijn” waarvan belangrijke resultaten verwacht worden.
 
Euregionaal tariefsysteem: klanteninformatie &amp; marketing op euregionaal niveau
Ter ondersteuning van het euregionaal tariefsysteem wordt de consumenteninformatie verbeterd en het aantal verkooppunten uitgebreid. Door middel van een centraal internetportaal is de meertalige klanteninformatie in de toekomst niet alleen beschikbaar op de website zelf, maar bijvoorbeeld ook bij de bestaande ticketautomaten. In de toekomst zullen klanten op een eenvoudige manier een vervoerbewijs kunnen kopen via het internetportaal.
 
Uitbreiding van de regionale grensoverschrijdende spoorwegen
Uiteraard moet de infrastructuur aangepast worden aan de behoeften van de klant. De grootste gebreken zijn er momenteel tussen de regio Aachen en de provincie Limburg.
 
Nederlandse partner in dit project:
- Provincie Limburg NL
Limburglaan10, NL-6229 GA Maastricht
Postbus 5700, NL-6202 MA Maastricht
Contactpersoon:
De heer Drs. Franc W. M. Span (Afbeldingshoofd afdeling Mobiliteit)
fwm.span@prvlimburg.nl","Grensoverschrijdend samenwerkingsverband met Nederlandse, Duitse en Belgische projectpartners.  De leadpartner is: Aachener Verkehrsverband Gmbh",455580,-90.810357,INTERREG,1579300,52068,Looptijd: van  1 juli 2009 tot 30 juni 2014
30000,Science Meets Business Nijmegen,51.825247723698666," Als incubator verhuurt SMB hoogwaardige labfaciliteiten en huisvesting op met name Novio Tech Campus in Nijmegen. Ook biedt SMB aan starters coachings- en ondersteuningstrajecten om door te groeien naar een volwassen en succesvol bedrijf. Zo ontstaat een open-innovatieomgeving met toegang tot de state-of-the-art-faciliteiten, expertise en netwerken van omliggende  bedrijven en kenniscentra. Daarnaast exploiteert SMB een symposiumruimte voor netwerkbijeenkomsten, workshops en overleg. De SMB BV is 100% dochter van Radboudumc. Het project heeft geresulteerd in betaalbare hoogwaardige huisvesting voor 19 start-ups in de sector Life Sciences&Health en een  40 tal start-ups die met coaching en ondersteuningstrajecten op het gebied van ondernemen op weg zijn geholpen in de complexe wereld van ondernemen in LS&H. Daarnaast werden in totaal meer dan 30 zogenaamde Science Meets Business bijeenkomsten georganiseerd, waar kennis en ervaring delen op  het gebied van start-ups en ondernemen centraal stond. Deze bijeenkomsten zijn een begrip geworden in de regio   ",SMB B.V.,3997251,5.822113448829668,EFRO,1932551,6534 AT Nijmegen,Looptijd: van  1 juli 2010 tot 31 december 2015
,Rotterdam Science Tower,51.9119596,"Het Erasmus Medisch Centrum heeft kennisontwikkeling en kennisvalorisatie op het gebied van ziekte en gezondheid hoog in het vaandel staan. Dat betekent dat de in het Erasmus MC geboren ideeën  om daadwerkelijk een bijdrage te kunnen gaan leveren aan de patiëntenzorg op allerlei manieren ondersteunt. In de Rotterdam Science Tower aan het Marconiplein werd voor dat doel de ‘incubator’ gerealiseerd, waar de kennis van de universiteit en de vraag naar kennis vanuit de markt bij elkaar komen. Erasmus MC biedt in deze incubator bedrijfsruimte en ondernemersgerichte advisering, training en ondersteuning, speciaal bedoeld voor jonge, startende bedrijven die verbonden zijn, of samenwerken met het Erasmus MC en haar (medische) wetenschappers. Zij kunnen in deze veilige omgeving maximaal drie jaar hun ‘vindingen’ valideren, ontwikkelen en vermarkten. De subsidie van Kansen voor West is besteed aan diverse promotionele activiteiten en aan de verbouwing en inrichting van een deel van een verdieping van de Rotterdam Science Tower. Belangrijk onderdeel was het inrichten van de ML-II laboratoria, waarvan het Zadkine ROC met de opleiding tot laboratoriumpersoneel en gevestigd in dezelfde Science Tower, gebruik kan maken. Daarmee werd een optimale aansluiting verkregen tussen vraag naar en aanbod van lager geschoold laboratoriumpersoneel. Ook werd een deel van het Europese geld besteed aan de ondersteunende activiteiten richting de jonge bedrijven die zich in de incubator hebben gevestigd. .",Erasmus Universiteit Rotterdam,1675618,4.429783400000019,EFRO,1117077,3029 AK Rotterdam,Looptijd: van  1 juli 2013 tot  1 oktober 2015
1069814,Chemelot Campus Community to support - Sittard-Geleen,50.9902784,"Het project heeft als doel het realiseren van een gezamenlijke facitliteit, het ‘community building’, om invulling te geven aan de cultuur van open innovatie op de Chemelot Campus. Uit onderzoek is gebleken dat een dergelijk community building van invloed is op een goede werking van de open innovatie op een campus. Het project betreft de randvoorwaardelijke invulling om te komen tot een werkend ecosysteem op de Chemelot Campus. Het projectplan beschrijft daartoe drie actielijnen: - Infrastructuur: aanschaf en inrichting faciliteiten - Informeren: vullen CRM-systeem, ontwikkelen app, positioneren informatiezuilen/schermen - Inspireren: organiseren activiteiten (buddy’s, TedX, inno-wedstrijden, wall of fame, lunches) Het belangrijkste element is de realisatie van de fysieke infrastructuur, echter er wordt ook al gestart met de “softe” infrastructuur. Uiteindelijk is de fysieke infrastructuur ondersteunend aan de totstandkoming van een “campus community”. De ontwikkeling van de Chemelot Campus is een van de belangrijkste beleidsvoornemens van de provincie Limburg.",Chemelot Campus B.V. vanuit OPZuid,984907,5.7876945,EFRO,221479,6167 RD Sittard-Geleen,Looptijd: van  1 juni 2013 tot 31 december 2015
,Ontwikkeling van een kas analyser voor de glastuinbouw,51.5978429,,Environmental Monitoring Systems B.V.,,4.1014196,EFRO,,4697 CG,Looptijd: van  6 november 2008 tot 30 september 2011
303507,Design (INTERREG EMR),42.1450502,"Het Euregio Platform for Sustainable Design and living (EPSD) is een project dat van de Euregio Maas-Rijn een expertisecentrum rond duurzaam ontwerp moet maken.
Het project gaat daarbij uit van volgende vier professionele pijlers: duurzaam ontwerp, ondernemerschap, opleiding en netwerken.
Binnen de organisatie zijn verschillende Euregionale spelers actief: universiteiten en hogescholen, overheidsinstellingen, ondernemingen/bedrijfstakken, ontwerpers en onderzoekscentra. De grensoverschrijdende aard van de organisatie maakt dat de complementariteit van de regionale initiatieven er goed tot haar recht komt, wat socio-economisch gezien een concurrentievoordeel kan betekenen.
Het ESPD is de motor van duurzame en innovatieve projecten, die bij de verschillende regionale actoren tot stand komen.
 
Nederlandse Partner in dit Projekt: 
- Design Platform Eindhoven
Clausplein 10, NL-5601 KA Eindhoven
PO Box 8043, NL-5601 KA Eindhoven
Contactpersoon:
De heer John Lippinkhof (directeur)
john@dutchdesignweel.nl
 
- Provincie Limburg NL, Afdeling Cultuur
Limburglaan 10, NL-6229 GA Randwyck-Maastricht
Contactpersoon:
De heer Jan Smeerlen (directielid)
jansmeerlen@prvlimburg.nl","Grensoverschrijdend samenwerkingsverband met Nederlandse, Duitse en Belgische projectpartners. De leadpartner is: Wallonie Design",1060542,24.7558475,INTERREG,1364050,4000,Looptijd: van  1 juli 2008 tot 30 juni 2012
250000,Wetsus Europese waterhub,53.194625,"Wetsus werkt aan de uitbouw en uitbreiding van het watercluster in Leeuwarden tot een Europese Waterhub van internationale allure. Om dit te bereiken wil Wetsus haar leidende en sturende rol de komende jaren uit te bouwen door projecten aan te jagen, te faciliteren of uit te voeren die gericht zijn op:
versterking van het ondernemerschap;
uitbreiden en verbeteren van de opleidingsinfrastructuur door nieuwe HBO en WO-opleidingsmogelijkheden;
het creëren van een hoger aanbod aan kenniswerkers in de regio;
internationale profilering van het watercluster.
Het watercluster is één van de sleutelgebieden in Noord-Nederland.Het watercluster heeft zich de afgelopen jaren goed ontwikkeld, maar dient verder uit te groeien tot een internationaal aansprekende waterhub. Dit kan alleen door het uitbreiden van het cluster met extra onderwijsmogelijkheden, meer toegepaste onderzoeksmogelijkheden, het versterken van het aanbod aan kenniswerkers in de regio en het vergroten van de internationale bekendheid (door o.m. congressen en internationale opleidingen).",Stichting Wetsus,5466833,5.801711,EFRO,2205007,8934 CJ,Looptijd: van 16 april 2008 tot 31 december 2014
489616,De differentiaaldiagnostiek van Astma en COPD,53.2435649,"Het project behelst de volledig nieuwe ontwikkeling van een (nano) platform technologie welke in de vorm van een miniatuursensor het hart vormt van een zogenaamde Redox Breath Analyzer (RBA). Hiermee kunnen tegelijkertijd de concentraties van de verbindingen waterstofperoxide, kool monoxide en stikstofdioxide in uitgeademde lucht worden gemeten.
De miniatuursensor die in dit project wordt ontwikkeld is gebaseerd op zogenaamde Redox Recycling Lab-on-a-Chip Technologie die voldoende snel, gevoelig en selectief is om continu de concentraties van de genoemde componenten in menselijke adem te kunnen meten. Na de ontwikkeling wordt in dit project deze nieuwe technologie als eerste toegepast op de differentiaal diagnostiek van astma en COPD.",SenzAir B.V.,1238556,6.5345212,EFRO,188896,9747 AN,Looptijd: van 20 oktober 2009 tot 31 december 2014
283000,Preventie van oogziekte via verrijkte eieren,51.5114264,"De ziekte Leeftijdsgebonden Macula Degeneratie (LMD), is op dit moment de belangrijkste oorzaak van slechtziendheid bij personen boven de leeftijd van 55 jaar. Alleen al in Europa, is bij 5,5 miljoen mensen LMD gediagnosticeerd. Naar schatting hebben in de EU en VS 100 miljoen mensen een verhoogde kans op LMD. De ziekte ontstaat o.a. door onvoldoende opname van het beschermende pigment luteïne in het lichaam en dus in het oog. Van nature komt luteïne voor in eieren.
Newtricious heeft i.s.m. het Academisch Ziekenhuis Maastricht een speciaal ei ontwikkeld met een verhoogd luteïne gehalte. De unieke binding aan de eidooier zorgt voor een effectievere opname in het lichaam. Newtricious verwerkt deze speciale eidooiers tot een ingrediënt in een drankje of poeder waardoor mensen dit gebruikersvriendelijk kunnen nuttigen. Hierdoor kan de progressie naar LMD afnemen. Newtricious wil dit product met een gezondheidsclaim (toegelaten door de overheden), wereldwijd introduceren.
 
Doelstelling van het project is om middels klinische studies voldoende wetenschappelijke onderbouwing te genereren om een gezondheidsclaim te behalen.",Newtricious B.V.,103500,6.0576568,EFRO,103500,5808 AL,Looptijd: van 23 juli 2008 tot -
