beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_lat,result_long,geocoded
,NL,Netherlands,coordinate,,,,,,,50.832851,5.7152211,True
,NL,Netherlands,coordinate,,,,,,,50.8435518,6.0111,True
,NL,Netherlands,coordinate,,,,,,,50.8464057,5.6924013,True
,NL,Netherlands,coordinate,,,,,,,50.8540619,5.6898814,True
,NL,Netherlands,coordinate,,,,,,,50.8559579,5.690121,True
,NL,Netherlands,coordinate,,,,,,,50.8663185,5.7373692,True
,NL,Netherlands,coordinate,,,,,,,50.8728129,5.9675678,True
,NL,Netherlands,coordinate,,,,,,,50.87427,5.706124,True
,NL,Netherlands,coordinate,,,,,,,50.882027,5.9602803,True
,NL,Netherlands,coordinate,,,,,,,50.8870662,5.7355287,True
,NL,Netherlands,coordinate,,,,,,,50.9293507,5.7801541,True
,NL,Netherlands,coordinate,,,,,,,50.9378164,5.7911092,True
,NL,Netherlands,coordinate,,,,,,,50.9544623,5.7731097,True
,NL,Netherlands,coordinate,,,,,,,50.9902784,5.7876945,True
,NL,Netherlands,coordinate,,,,,,,50.9957141,5.8442625,True
,NL,Netherlands,coordinate,,,,,,,50.9984972,5.8647132,True
,NL,Netherlands,coordinate,,,,,,,50.9995937,5.8519364,True
,NL,Netherlands,coordinate,,,,,,,51.152658,5.890503,True
,NL,Netherlands,coordinate,,,,,,,51.1707186,6.0495579,True
,NL,Netherlands,coordinate,,,,,,,51.1758166,5.8771432,True
,NL,Netherlands,coordinate,,,,,,,51.1954763,5.7255796,True
,NL,Netherlands,coordinate,,,,,,,51.1979225,5.9998473,True
,NL,Netherlands,coordinate,,,,,,,51.2323113,5.7480303,True
,NL,Netherlands,coordinate,,,,,,,51.2323994,6.0323228,True
,NL,Netherlands,coordinate,,,,,,,51.2691601,4.0368139,True
,NL,Netherlands,coordinate,,,,,,,51.2799521,4.0543414,True
,NL,Netherlands,coordinate,,,,,,,51.2830825,5.6524247,True
,NL,Netherlands,coordinate,,,,,,,51.2936072,3.9632104,True
,NL,Netherlands,coordinate,,,,,,,51.3280898,3.8195165,True
,NL,Netherlands,coordinate,,,,,,,51.3363003,5.9249133,True
,NL,Netherlands,coordinate,,,,,,,51.3399822,6.1411199,True
,NL,Netherlands,coordinate,,,,,,,51.3472618,5.6144592,True
,NL,Netherlands,coordinate,,,,,,,51.3717937,5.2702864,True
,NL,Netherlands,coordinate,,,,,,,51.3740015,6.1206696,True
,NL,Netherlands,coordinate,,,,,,,51.3888887,6.1821415,True
,NL,Netherlands,coordinate,,,,,,,51.400323,5.4738816,True
,NL,Netherlands,coordinate,,,,,,,51.4102338,5.5389539,True
,NL,Netherlands,coordinate,,,,,,,51.4128271,5.4596031,True
,NL,Netherlands,coordinate,,,,,,,51.4129911,5.4815384,True
,NL,Netherlands,coordinate,,,,,,,51.424029,5.4818775,True
,NL,Netherlands,coordinate,,,,,,,51.4255262,6.1459999,True
,NL,Netherlands,coordinate,,,,,,,51.4347673,4.3301711,True
,NL,Netherlands,coordinate,,,,,,,51.4382916,5.473393,True
,NL,Netherlands,coordinate,,,,,,,51.4416926,6.0186143,True
,NL,Netherlands,coordinate,,,,,,,51.4455492,5.5255215,True
,NL,Netherlands,coordinate,,,,,,,51.4468704,5.4803284,True
,NL,Netherlands,coordinate,,,,,,,51.4475026,5.476532,True
,NL,Netherlands,coordinate,,,,,,,51.4483751,5.7960328,True
,NL,Netherlands,coordinate,,,,,,,51.4487149,5.4510578,True
,NL,Netherlands,coordinate,,,,,,,51.4528761,5.3914882,True
,NL,Netherlands,coordinate,,,,,,,51.4529704,5.8055982,True
,NL,Netherlands,coordinate,,,,,,,51.4544581,5.3930422,True
,NL,Netherlands,coordinate,,,,,,,51.4551232,5.3943515,True
,NL,Netherlands,coordinate,,,,,,,51.4564715,5.3934165,True
,NL,Netherlands,coordinate,,,,,,,51.4568199,3.5912696,True
,NL,Netherlands,coordinate,,,,,,,51.4574617,3.5625194,True
