beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,52.2451543,6.8542926,True,0153
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,52.0078867,4.3587043,True,0503
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,52.003095,4.371048,True,0503
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,52.363072,4.9337935,True,0363
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,52.0918701,4.8787169,True,0632
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,53.282968463305885,7.165975322656209,True,
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,53.1640152,6.8603287,True,1987
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,52.5368354,6.240551,True,0148
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,52.403272,6.2523042,True,0177
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.7780476,6.0887682,True,
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.2799521,4.0543414,True,0677
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.2830825,5.6524247,True,0988
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.2936072,3.9632104,True,0715
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.3280898,3.8195165,True,0715
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.832851,5.7152211,True,0935
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.8435518,6.0111,True,0917
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.8464057,5.6924013,True,0935
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.8540619,5.6898814,True,0935
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.8559579,5.690121,True,0935
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.8663185,5.7373692,True,0935
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.8728129,5.9675678,True,0917
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.87427,5.706124,True,0935
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.882027,5.9602803,True,0917
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.8870662,5.7355287,True,0938
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.9293507,5.7801541,True,0888
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.9378164,5.7911092,True,0888
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.9544623,5.7731097,True,0971
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.9902784,5.7876945,True,1883
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.9957141,5.8442625,True,1883
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.9984972,5.8647132,True,1883
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,50.9995937,5.8519364,True,1883
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.152658,5.890503,True,1641
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.1707186,6.0495579,True,0957
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.1758166,5.8771432,True,1641
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.1954763,5.7255796,True,0988
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.1979225,5.9998473,True,0957
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.2323113,5.7480303,True,0988
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.2323994,6.0323228,True,0957
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.2691601,4.0368139,True,0677
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.6284707,3.6934168,True,
Warns,NL,Netherlands,location,,,,,,,Netherlands,Friesland,Nijefurd,Warns,,,,"8721 Warns, Netherlands",52.8743192,5.4107648,True,1900
6503 GN,NL,Netherlands,location,,,,,,,Netherlands,,,,,,,Netherlands,52.13263300000001,5.291266,True,0342
verschillende locaties,NL,Netherlands,location,,,,,,,,,,,,,,,,,True,
4530 AC,NL,Netherlands,location,,,,,,,Netherlands,,,,,,,Netherlands,52.13263300000001,5.291266,True,0342
Voorthuizen,NL,Netherlands,location,,,,,,,Netherlands,Gelderland,Barneveld,Voorthuizen,,,,"3781 Voorthuizen, Netherlands",52.18609619999999,5.605200999999999,True,0203
9700 AK,NL,Netherlands,location,,,,,,,Netherlands,,,,,,,Netherlands,52.13263300000001,5.291266,True,0342
Heupen,NL,Netherlands,location,,,,,,,,,,,,,,,,,True,
Gemeente Helmond Projectbureau,NL,Netherlands,beneficiary,,,,,,,,,,,,,,,,,True,
Stg Syntens,NL,Netherlands,beneficiary,,,,,,,,,,,,,,,,,True,
Winc West Brabant B.V. i.o.,NL,Netherlands,beneficiary,,,,,,,,,,,,,,,,,True,
Postcode n.v.t.,NL,Netherlands,location,,,,,,,,,,,,,,,,,True,
6700 AA,NL,Netherlands,location,,,,,,,Netherlands,,,,,,,Netherlands,52.13263300000001,5.291266,True,0342
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.82524356228571,5.822057031213376,True,0268
86002 AL,NL,Netherlands,location,,,,,,,United States,Arizona,Coconino County,Flagstaff,86002,,,"Flagstaff, AZ 86002, USA",35.1978369,-111.646528,True,
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.8247097,5.8262504,True,0268
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.82401979999999,5.868580299999962,True,0268
Lunteren,NL,Netherlands,location,,,,,,,Netherlands,Gelderland,Ede,Lunteren,,,,"6741 Lunteren, Netherlands",52.0882573,5.617300600000001,True,0228
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,52.3675699,4.5363978,True,0473
Bentveld,NL,Netherlands,location,,,,,,,Netherlands,North Holland,Zandvoort,Bentveld,,,,"2116 Bentveld, Netherlands",52.3658414,4.5753075,True,0473
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,52.1394722,5.5866098,True,0203
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,52.1379813,5.5963606,True,0203
Stroe,NL,Netherlands,location,,,,,,,Netherlands,Gelderland,Barneveld,Stroe,,,,"3776 Stroe, Netherlands",52.18622240000001,5.6939179,True,0203
De Glind,NL,Netherlands,location,,,,,,,Netherlands,Gelderland,Barneveld,De Glind,,,,"3794 De Glind, Netherlands",52.1194102,5.508553399999999,True,0203
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,52.0462796,5.6755664,True,0228
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,52.0457822,5.6731434,True,0228
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,52.0399114,5.6916453,True,0228
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,52.0301687,5.6464646,True,0228
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,52.0279969,5.6279467,True,0228
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,52.0208308,5.6631806,True,0228
Mill,NL,Netherlands,location,,,,,,,Netherlands,North Brabant,Mill en Sint Hubert,Mill,,,,"5451 Mill, Netherlands",51.6877193,5.7845872,True,0815
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,51.3472618,5.6144592,True,1658
sterksel,NL,Netherlands,location,,,,,,,Netherlands,North Brabant,Heeze-Leende,Sterksel,,,,"6029 Sterksel, Netherlands",51.3506055,5.6118505,True,1658
Heeze,NL,Netherlands,location,,,,,,,Netherlands,North Brabant,Heeze-Leende,Heeze,,,,"5591 Heeze, Netherlands",51.3809718,5.5758263,True,1658
,NL,Netherlands,coordinate,,,,,,,,,,,,,,,53.0324347,5.6586249,True,1900
BOLSWARD,NL,Netherlands,location,,,,,,,Netherlands,Friesland,Súdwest-Fryslân,Bolsward,,,,"Bolsward, Netherlands",53.06125309999999,5.521696299999999,True,1900
