lau1,name
0226,złotoryjski
0262,Legnica
0206,jeleniogórski
0204,górowski
0214,oleśnicki
0201,bolesławiecki
0261,Jelenia Góra
0208,kłodzki
0210,lubański
0221,wałbrzyski
0202,dzierżoniowski
0220,trzebnicki
0203,głogowski
0265,Wałbrzych
0222,wołowski
0225,zgorzelecki
0223,wrocławski
0224,ząbkowicki
0215,oławski
0216,polkowicki
0218,średzki
0205,jaworski
0213,milicki
0207,kamiennogórski
0217,strzeliński
0219,świdnicki
0209,legnicki
0264,Wrocław
0211,lubiński
0212,lwówecki
0462,Grudziądz
0463,Toruń
0464,Włocławek
0411,radziejowski
0410,nakielski
0412,rypiński
0416,tucholski
0405,golubsko-dobrzyński
0404,chełmiński
0406,grudziądzki
0407,inowrocławski
0401,aleksandrowski
0402,brodnicki
0403,bydgoski
0408,lipnowski
0417,wąbrzeski
0413,sępoleński
0418,włocławski
0414,świecki
0415,toruński
0419,żniński
0461,Bydgoszcz
0409,mogileński
1015,skierniewicki
1016,tomaszowski
1017,wieluński
1019,zduńskowolski
1018,wieruszowski
1020,zgierski
1021,brzeziński
1061,Łódź
1062,Piotrków Trybunalski
1063,Skierniewice
1001,bełchatowski
1002,kutnowski
1003,łaski
1004,łęczycki
1005,łowicki
1006,łódzki wschodni
1007,opoczyński
1008,pabianicki
1009,pajęczański
1010,piotrkowski
1011,poddębicki
1012,radomszczański
1013,rawski
1014,sieradzki
0601,bialski
0602,biłgorajski
0603,chełmski
0604,hrubieszowski
0605,janowski
0606,krasnostawski
0607,kraśnicki
0608,lubartowski
0609,lubelski
0610,łęczyński
0611,łukowski
0612,opolski
0613,parczewski
0614,puławski
0615,radzyński
0616,rycki
0617,świdnicki
0618,tomaszowski
0661,Biała Podlaska
0619,włodawski
0620,zamojski
0663,Lublin
0662,Chełm
0664,Zamość
0811,żarski
0812,wschowski
0862,Zielona Góra
0861,Gorzów Wielkopolski
0801,gorzowski
0802,krośnieński
0809,zielonogórski
0803,międzyrzecki
0804,nowosolski
0805,słubicki
0806,strzelecko-drezdenecki
0807,sulęciński
0808,świebodziński
0810,żagański
1201,bocheński
1203,chrzanowski
1204,dąbrowski
1205,gorlicki
1206,krakowski
1207,limanowski
1208,miechowski
1209,myślenicki
1210,nowosądecki
1211,nowotarski
1212,olkuski
1213,oświęcimski
1214,proszowicki
1215,suski
1216,tarnowski
1217,tatrzański
1218,wadowicki
1263,Tarnów
1219,wielicki
1261,Kraków
1262,Nowy Sącz
1202,brzeski
1411,makowski
1463,Radom
1410,łosicki
1438,żyrardowski
1414,nowodworski
1461,Ostrołęka
1465,Warszawa
1415,ostrołęcki
1416,ostrowski
1417,otwocki
1418,piaseczyński
1419,płocki
1420,płoński
1421,pruszkowski
1422,przasnyski
