nuts1_name,nuts1_code,nuts2_name,nuts2_code,nuts3_name,nuts3_code,lau1_name,lau1_code,lau2_name,lau2_code,population,territory,density
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Aboim das Choças,PT111_160101,0,1.6,0
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Aguiã,PT111_160102,756,4.31,175.59
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Alvora,PT111_160103,435,5.96,72.96
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Ázere,PT111_160104,228,3.44,66.28
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Cabana Maior,PT111_160105,311,14.46,21.5
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Cabreiro,PT111_160106,528,45.65,11.57
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Carralcova,PT111_160107,167,9.88,16.91
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Cendufe,PT111_160108,611,3.85,158.69
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Couto,PT111_160109,791,6.23,126.9
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Eiras,PT111_160110,269,4.7,57.27
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Ermelo,PT111_160111,139,13.34,10.42
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Extremo,PT111_160112,133,4.67,28.47
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Gavieira,PT111_160113,390,62.78,6.21
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Giela,PT111_160114,617,2.23,276.43
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Gondoriz,PT111_160115,861,37.29,23.09
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Grade,PT111_160116,422,5,84.37
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Guilhadeses,PT111_160117,1185,3.02,391.89
Continente,PT1,Norte,PT11,Alto Minho,PT111,Arcos de Valdevez,1601,Loureda,PT111_160118,160,5.46,29.31
