"Date","Price","Open","High","Low","Change %"
"Dec 31, 2013","4.4610","4.4721","4.4912","4.4552","-0.33%"
"Dec 30, 2013","4.4757","4.4663","4.4796","4.4491","0.28%"
"Dec 27, 2013","4.4632","4.4622","4.4704","4.4474","-0.04%"
"Dec 26, 2013","4.4651","4.4548","4.4683","4.4481","0.11%"
"Dec 25, 2013","4.4600","4.4612","4.4711","4.4474","-0.11%"
"Dec 24, 2013","4.4650","4.4743","4.4851","4.4488","-0.19%"
"Dec 23, 2013","4.4734","4.4755","4.4862","4.4654","-0.19%"
"Dec 20, 2013","4.4818","4.4828","4.4884","4.4677","-0.08%"
"Dec 19, 2013","4.4856","4.4774","4.4893","4.4675","0.11%"
"Dec 18, 2013","4.4806","4.4660","4.4916","4.4582","0.23%"
"Dec 17, 2013","4.4703","4.4523","4.4784","4.4483","0.19%"
"Dec 16, 2013","4.4619","4.4465","4.4676","4.4443","0.13%"
"Dec 13, 2013","4.4561","4.4504","4.4615","4.4440","0.05%"
"Dec 12, 2013","4.4538","4.4457","4.4583","4.4403","0.11%"
"Dec 11, 2013","4.4487","4.4453","4.4587","4.4415","-0.04%"
"Dec 10, 2013","4.4505","4.4467","4.4622","4.4417","-0.03%"
"Dec 09, 2013","4.4517","4.4600","4.4698","4.4411","-0.09%"
"Dec 06, 2013","4.4557","4.4653","4.4703","4.4458","-0.29%"
"Dec 05, 2013","4.4685","4.4676","4.4751","4.4537","-0.05%"
"Dec 04, 2013","4.4707","4.4556","4.4776","4.4502","0.26%"
"Dec 03, 2013","4.4592","4.4302","4.4792","4.4280","0.54%"
"Dec 02, 2013","4.4352","4.4339","4.4468","4.4235","0.03%"
"Nov 29, 2013","4.4339","4.4325","4.4468","4.4227","-0.05%"
"Nov 28, 2013","4.4363","4.4344","4.4481","4.4264","-0.05%"
"Nov 27, 2013","4.4385","4.4381","4.4533","4.4280","-0.06%"
"Nov 26, 2013","4.4413","4.4345","4.4493","4.4267","0.09%"
"Nov 25, 2013","4.4374","4.4451","4.4554","4.4316","-0.31%"
"Nov 22, 2013","4.4512","4.4494","4.4589","4.4404","-0.03%"
"Nov 21, 2013","4.4524","4.4414","4.4588","4.4362","0.15%"
"Nov 20, 2013","4.4457","4.4420","4.4566","4.4297","-0.00%"
"Nov 19, 2013","4.4459","4.4473","4.4554","4.4364","-0.10%"
"Nov 18, 2013","4.4502","4.4457","4.4570","4.4384","-0.05%"
"Nov 15, 2013","4.4524","4.4493","4.4568","4.4415","-0.02%"
"Nov 14, 2013","4.4535","4.4577","4.4665","4.4419","-0.18%"
"Nov 13, 2013","4.4615","4.4518","4.4694","4.4462","0.14%"
"Nov 12, 2013","4.4552","4.4548","4.4634","4.4447","-0.06%"
"Nov 11, 2013","4.4580","4.4421","4.4607","4.4337","0.22%"
"Nov 08, 2013","4.4483","4.4420","4.4515","4.4176","0.06%"
"Nov 07, 2013","4.4455","4.4297","4.4500","4.3857","0.30%"
"Nov 06, 2013","4.4323","4.4394","4.4484","4.4225","-0.23%"
"Nov 05, 2013","4.4425","4.4347","4.4481","4.4316","0.08%"
"Nov 04, 2013","4.4389","4.4353","4.4557","4.4235","-0.06%"
"Nov 01, 2013","4.4414","4.4314","4.4496","4.4256","0.15%"
"Oct 31, 2013","4.4348","4.4267","4.4416","4.4188","0.11%"
"Oct 30, 2013","4.4300","4.4421","4.4467","4.4150","-0.19%"
"Oct 29, 2013","4.4384","4.4376","4.4472","4.4308","-0.07%"
"Oct 28, 2013","4.4415","4.4440","4.4502","4.4251","-0.09%"
"Oct 25, 2013","4.4457","4.4476","4.4603","4.4364","-0.11%"
"Oct 24, 2013","4.4508","4.4340","4.4558","4.4267","0.30%"
"Oct 23, 2013","4.4374","4.4231","4.4444","4.4181","0.21%"
"Oct 22, 2013","4.4279","4.4306","4.4572","4.4171","-0.14%"
"Oct 21, 2013","4.4340","4.4430","4.4556","4.4243","-0.29%"
"Oct 18, 2013","4.4471","4.4483","4.4573","4.4317","-0.10%"
"Oct 17, 2013","4.4516","4.4470","4.4587","4.4355","0.04%"
"Oct 16, 2013","4.4500","4.4382","4.4539","4.4343","0.11%"
"Oct 15, 2013","4.4450","4.4579","4.4683","4.4362","-0.36%"
"Oct 14, 2013","4.4610","4.4490","4.4736","4.4431","0.17%"
"Oct 11, 2013","4.4535","4.4497","4.4590","4.4405","-0.00%"
"Oct 10, 2013","4.4536","4.4591","4.4672","4.4437","-0.20%"
"Oct 09, 2013","4.4625","4.4382","4.4694","4.4330","0.48%"
"Oct 08, 2013","4.4413","4.4152","4.4454","4.4130","0.36%"
"Oct 07, 2013","4.4255","4.4206","4.4371","4.4107","-0.12%"
"Oct 04, 2013","4.4307","4.4330","4.4407","4.4187","-0.15%"
"Oct 03, 2013","4.4375","4.4384","4.4495","4.4180","-0.11%"
"Oct 02, 2013","4.4423","4.4443","4.4611","4.4341","-0.11%"
"Oct 01, 2013","4.4474","4.4560","4.4687","4.4362","-0.29%"
"Sep 30, 2013","4.4602","4.4502","4.4764","4.4475","-0.17%"
"Sep 27, 2013","4.4676","4.4616","4.4718","4.4491","0.05%"
"Sep 26, 2013","4.4652","4.4573","4.4744","4.4491","0.11%"
"Sep 25, 2013","4.4602","4.4693","4.4792","4.4481","-0.28%"
"Sep 24, 2013","4.4726","4.4653","4.4798","4.4561","0.14%"
"Sep 23, 2013","4.4663","4.4619","4.4786","4.4523","0.10%"
"Sep 20, 2013","4.4617","4.4555","4.4699","4.4410","0.07%"
"Sep 19, 2013","4.4586","4.4723","4.4774","4.4304","-0.38%"
"Sep 18, 2013","4.4756","4.4769","4.4883","4.4557","-0.10%"
"Sep 17, 2013","4.4803","4.4553","4.4887","4.4486","0.48%"
"Sep 16, 2013","4.4588","4.4729","4.4788","4.4457","-0.27%"
"Sep 13, 2013","4.4709","4.4764","4.4847","4.4581","-0.20%"
"Sep 12, 2013","4.4800","4.4781","4.4914","4.4665","-0.06%"
"Sep 11, 2013","4.4825","4.4590","4.4854","4.4508","0.45%"
"Sep 10, 2013","4.4624","4.4698","4.4789","4.4496","-0.24%"
"Sep 09, 2013","4.4733","4.4687","4.4862","4.4594","0.02%"
