beneficiary,nuts_name,nuts_level
ASOCIAtIA DE DEZVOLTARE INTERCOMUNITARa BUCUREsTI - ILFOV,București-Ilfov,nuts2
Agentia pentru Dezvoltare Regionala Bucuresti Ilfov,București-Ilfov,nuts2
Agentia pentru Dezvoltare Regionala Bucuresti-Ilfov,București-Ilfov,nuts2
OI POS DRU Bucuresti-Ilfov,București-Ilfov,nuts2
OIR POSDRU BI,București-Ilfov,nuts2
Organismul Intermediar Regional pentru Programul Operational Sectorial Dezvoltarea Resurselor Umane - Regiunea Bucuresti-Ilfov,București-Ilfov,nuts2
ADR Centru,Centru,nuts2
OIR POS DRU Centru,Centru,nuts2
OIR POS DRU Regiunea Centru,Centru,nuts2
Organismul Intermediar Regional pentru POSDRU regiunea Centru,Centru,nuts2
ADR Nord Est,Nord-Est,nuts2
ASOCIATIA ASTRICO NORD EST,Nord-Est,nuts2
ASOCIAtIA PRODUCATORILOR DE PIESE AUTO DIN NORD- ESTUL ROMaNIEI,Nord-Est,nuts2
Agentia pentru Dezvoltare Regionala Nord - Est,Nord-Est,nuts2
Agentia pentru Dezvoltare Regionala Nord- Est,Nord-Est,nuts2
Asociatia Astrico Nord Est,Nord-Est,nuts2
OI POS DRU Nord Est,Nord-Est,nuts2
OIR POS DRU Regiunea Nord-Est,Nord-Est,nuts2
Organismul Intermediar Regional pentru POSDRU regiunea Nord Est,Nord-Est,nuts2
Organismul Intermediar Regional pentru Programul Operational Sectorial Dezvoltarea Resurselor Umane - Regiunea Nord Est,Nord-Est,nuts2
ADR Nord Vest,Nord-Vest,nuts2
OIR POS DRU Regiunea N-V,Nord-Vest,nuts2
OIR POS DRU Regiunea Nord Vest,Nord-Vest,nuts2
OIR POS DRU Regiunea Nord-Vest,Nord-Vest,nuts2
Organismul Intermediar Regional pentru Programul Operational Sectorial Dezvoltarea Resurselor Umane - Regiunea Nord Vest,Nord-Vest,nuts2
Pactul Regional Nord-Vest pentru Ocupare si Incluziune Sociala,Nord-Vest,nuts2
ADR Sud - Est,Sud-Est,nuts2
ADR Sud Est,Sud-Est,nuts2
ADR Sud-Est,Sud-Est,nuts2
AGENTIA PENTRU DEZVOLTARE REGIONALA A REGIUNII DE DEZVOLTARE SUD-EST,Sud-Est,nuts2
Agentia pentru Dezvoltare Regionala Sud Est,Sud-Est,nuts2
OIR POS DRU Regiunea Sud-Est,Sud-Est,nuts2
Organismul Intermediar Regional pentru POSDRU regiunea Sud Est,Sud-Est,nuts2
Organismul Intermediar Regional pentru Programul Operational Sectorial Dezvoltarea Resurselor Umane - Regiunea Sud Est,Sud-Est,nuts2
ADR Sud Muntenia,Sud-Muntenia,nuts2
ADR Sud-Muntenia,Sud-Muntenia,nuts2
Agentia pentru Dezvoltare Regionala Sud- Muntenia,Sud-Muntenia,nuts2
OIR POS DRU - Regiunea Sud-Muntenia,Sud-Muntenia,nuts2
Organismul Intermediar Regional pentru POSDRU regiunea Sud Muntenia,Sud-Muntenia,nuts2
Organismul Intermediar Regional pentru Programul Operational Sectorial Dezvoltarea Resurselor Umane - Regiunea Sud Muntenia,Sud-Muntenia,nuts2
ADR Sud - Vest Oltenia,Sud-Vest Oltenia,nuts2
ADR Sud Vest,Sud-Vest Oltenia,nuts2
AGENTIA PENTRU DEZVOLTARE REGIONALA SUD-VEST OLTENIA,Sud-Vest Oltenia,nuts2
ASOCIATIA DE CONSULTANTA SI CONSILIERE ECONOMICO- SOCIALA OLTENIA,Sud-Vest Oltenia,nuts2
ASOCIATIA ROMANA PENTRU INDUSTRIE ELECTRONICA SI SOFTWARE - ARIES FILIALA OLTENIA,Sud-Vest Oltenia,nuts2
Agentia pentru Dezvoltare Regionala Sud Vest Oltenia,Sud-Vest Oltenia,nuts2
Asociatia Construct Cluster Oltenia Craiova,Sud-Vest Oltenia,nuts2
Asociatia Pro Civica Oltenia,Sud-Vest Oltenia,nuts2
Asociatia de Dezvoltare Economico-Culturala si Profesionala din Regiunea Oltenia (ADECPRO),Sud-Vest Oltenia,nuts2
Federatia Patronatelor din Regiunea Oltenia (F-PRO),Sud-Vest Oltenia,nuts2
Federatia Patronatelor din Regiunea Oltenia F-PRO,Sud-Vest Oltenia,nuts2
Grupul pentru Promovarea Tineretului Oltenia,Sud-Vest Oltenia,nuts2
OIR POS DRU Regiunea Sud-Vest Oltenia,Sud-Vest Oltenia,nuts2
OIR POS DRU Sud-Vest Oltenia,Sud-Vest Oltenia,nuts2
Organismul Intermediar Regional pentru POSDRU regiunea Sud Vest Oltenia,Sud-Vest Oltenia,nuts2
Organismul Intermediar Regional pentru Programul Operational Sectorial Dezvoltarea Resurselor Umane - Regiunea Sud Vest Oltenia,Sud-Vest Oltenia,nuts2
ADR Vest,Vest,nuts2
ASOCIAtIA PROCULT VEST,Vest,nuts2
Agentia de Dezvoltare Regionala Vest,Vest,nuts2
Asociatia Clusterul Regional Tehnologia Informatiei si a Comunicatiilor - Regiunea Vest Romania,Vest,nuts2
Asociatia de Consultanta Sociala si Formare Profesionala Vest,Vest,nuts2
OIR POS DRU - Regiunea Vest,Vest,nuts2
OIR POS DRU Regiunea Vest,Vest,nuts2
Organismul Intermediar Regional pentru Programul Operational Sectorial Dezvoltarea Resurselor Umane - Regiunea Vest,Vest,nuts2
Autoritatea de Management pentru Programul Operational Dezvoltarea Capacitatii Administrative /Ministerul Administratiei si Internelor,,nuts1
Autoritatea pentru Coordonarea Instrumentelor Structurale/Ministerul Finantelor Publice,,nuts1
Casa de Pensii a Ministerului Internelor si Reformei Administrative,,nuts1
MINISTERUL AFACERILOR EXTERNE,,nuts1
MINISTERUL AFACERILOR INTERNE - DIRECtIA GENERALa MANAGEMENT OPERAtIONAL,,nuts1
MINISTERUL EDUCATIEI CERCETARII SI TINERETULUI,,nuts1
"MINISTERUL EDUCATIEI, CERCETARII SI INOVARII",,nuts1
"MINISTERUL EDUCATIEI, CERCETARII SI TINERETULUI - DIRECTIA MANAGEMENT SI PROGRAME EDUCATIONALE",,nuts1
"MINISTERUL EDUCATIEI, CERCETARII, TINERETULUI SI SPORTULUI - Unitatea de Management al Proiectelor cu Finantare Externa",,nuts1
