beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
comuna boldur,RO,Romania,project,,,,,,,Romania,Timiș County,Boldur,Boldur,,,,"Boldur, Romania",45.6929475,21.7822876,True,156106
centrul de reeducare buzias,RO,Romania,project,,,,,,,Romania,Timiș County,Buzias,Buziaș,305100,,,"Buziaș 305100, Romania",45.6528983,21.6106653,True,155403
municipiul lugoj,RO,Romania,project,,,,,,,Romania,Timiș County,Lugoj,Lugoj,,,,"Lugoj, Romania",45.6909898,21.9034608,True,155350
agache s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Lugoj,Lugoj,305500,Strada Buziașului,3,"Strada Buziașului 3, Lugoj 305500, Romania",45.685261,21.886933,True,155350
s.c. valman construct s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Lugoj,Lugoj,305500,Strada Avram Iancu,2,"Strada Avram Iancu 2, Lugoj 305500, Romania",45.68674,21.904549,True,155350
policlinica 3s s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Lugoj,Lugoj,305500,Strada Făgetului,165-167,"Strada Făgetului 165-167, Lugoj 305500, Romania",45.6975776,21.9268598,True,155350
media net srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Lugoj,Lugoj,305500,Strada Cuza Vodă,9,"Strada Cuza Vodă 9, Lugoj 305500, Romania",45.6816366,21.9034687,True,155350
brooky-long s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Lugoj,Lugoj,305500,Strada Timișorii,,"nr. 151, Strada Timișorii, Lugoj 305500, Romania",45.70842319999999,21.8852109,True,155350
comuna giroc,RO,Romania,project,,,,,,,Romania,Timiș County,Giroc,Giroc,,,,"Giroc, Romania",45.70175499999999,21.2346449,True,155314
s.c. a&c company srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,307221,,,"Calea Chisodei NR 66 Sat Chisoda Romania, Timișoara 307221, Romania",45.710614,21.202851,True,155314
sc flamiv company srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,307221,,,"Calea Chisodei NR 66 Sat Chisoda Romania, Timișoara 307221, Romania",45.710614,21.202851,True,155314
tuboterm construct srl,RO,Romania,project,,,,,,,Romania,Timiș County,Timisoara,Timișoara,,,,"Timișoara, Romania",45.7094751,21.2010887,True,155314
sc tuboterm construct srl,RO,Romania,project,,,,,,,Romania,Timiș County,Timisoara,Timișoara,,,,"Timișoara, Romania",45.7094751,21.2010887,True,155314
sc rossini sleeves technologies srl,RO,Romania,project,,,,,,,Romania,Timiș County,Giroc,Chișoda,307221,,,"Chișoda 307221, Romania",45.6975554,21.1883683,True,155314
sc beespeed automatizari srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Chișoda,307221,,,"Com. Giroc, Timis, Chișoda 307221, Romania",45.6966509,21.1873363,True,155314
rossini sleeve technologies srl,RO,Romania,project,,,,,,,Romania,Timiș County,Giroc,Chișoda,307221,,,"Chișoda 307221, Romania",45.6975554,21.1883683,True,155314
s.c art match s.r.l,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Chișoda,307221,,,"Calea Sagului (DN 59), KM 8+550 m, Platforma Incontro, Hala 4+5, Chișoda 307221, Romania",45.698789,21.182735,True,155314
sc group d.c.m. srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Comuna Giroc,Timișoara,,Calea Chișodei,,"Calea Chișodei, Timișoara, Romania",45.70563,21.202883,True,155314
group d.c.m. srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Comuna Giroc,Timișoara,,Calea Chișodei,,"Calea Chișodei, Timișoara, Romania",45.70563,21.202883,True,155314
art match s.r.l,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Chișoda,307221,,,"Calea Sagului (DN 59), KM 8+550 m, Platforma Incontro, Hala 4+5, Chișoda 307221, Romania",45.698789,21.182735,True,155314
art match srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Chișoda,307221,,,"Calea Sagului (DN 59), KM 8+550 m, Platforma Incontro, Hala 4+5, Chișoda 307221, Romania",45.698789,21.182735,True,155314
sc edy international spedition sa,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Ghiroda,307200,Calea Lugojului,107,"Calea Lugojului 107, Ghiroda 307200, Romania",45.7774091,21.3087728,True,155289
sc donna shoes srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Ghiroda,307200,Calea Lugojului,nr 42,"Calea Lugojului nr 42, Ghiroda 307200, Romania",45.7692293,21.2858727,True,155289
tecnoitalia srl,RO,Romania,project,,,,,,,Romania,Timiș County,Ghiroda,Ghiroda,307200,,,"Ghiroda 307200, Romania",45.7774325,21.3162858,True,155289
tmd deriva group s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Ghiroda,300207,,,"Strada Căprioarei, Ghiroda 300207, Romania",45.77749819999999,21.3033483,True,155289
sc bio logistic & distribution partener srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Ghiroda,307200,Strada Căprioarei,,"nr. 11, Ghiroda, Strada Căprioarei, Ghiroda 307200, Romania",45.77822399999999,21.305017,True,155289
sc hella romania srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Comuna Ghiroda,,,Strada Aeroport,3,"Strada Aeroport 3, Romania",45.7905443,21.320873,True,155289
sc hella sa,RO,Romania,project,,,,,,,Romania,Județul Timiș,Comuna Ghiroda,,,Strada Aeroport,3,"Strada Aeroport 3, Romania",45.7905443,21.320873,True,155289
sc alco line m.g. srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Comuna Ghiroda,Ghiroda,307200,Calea Lugojului,140/3,"Calea Lugojului 140/3, Ghiroda 307200, Romania",45.775545,21.315954,True,155289
itps s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,307200,,,"Calea Lugojului nr.7 307200 Ghiroda jud. Timiș, România, Timișoara 307200, Romania",45.7744678,21.2888539,True,155289
s.c.edy logistics s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Ghiroda,307200,Calea Lugojului,107,"Calea Lugojului 107, Ghiroda 307200, Romania",45.7774091,21.3087728,True,155289
alco line m.g. s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Comuna Ghiroda,Ghiroda,307200,Calea Lugojului,140/3,"Calea Lugojului 140/3, Ghiroda 307200, Romania",45.775545,21.315954,True,155289
bio logistic & distribution partener s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Ghiroda,307200,Strada Căprioarei,,"nr. 11, Ghiroda, Strada Căprioarei, Ghiroda 307200, Romania",45.77822399999999,21.305017,True,155289
mondo style s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,,,"Str. Gloriei, 11, Timisoara, Timis, 300562, Timișoara, Romania",45.7518,21.2499,True,155243
denkstatt romania srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,Strada Madrid,22,"Strada Madrid 22, Timișoara, Romania",45.760345,21.210604,True,155243
dacia plant s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,Strada Gheorghe Doja,1,"Strada Gheorghe Doja 1, Timișoara, Romania",45.7483884,21.2191862,True,155243
contab prest s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,,,"Bd. Pârvan Vasile, 16, Timisoara, Timis, 300223, Timișoara, Romania",45.7483,21.234,True,155243
autoritatea nationala a vamilor,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,Bulevardul Sudului,,"Bulevardul Sudului, Timișoara, Romania",45.73139,21.24751,True,155243
andes pro expertise s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,,,"Str. Renasterii, 27, Timisoara, Timis, Timișoara, Romania",45.766511,21.2546336,True,155243
agasi s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,,,"Str. Venus, 1, Timisoara, Timis, 300693, Timișoara, Romania",45.7322892,21.2587778,True,155243
s.c. r & b consulting s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300207,Strada Independenței,2-B,"Strada Independenței 2-B, Timișoara 300207, Romania",45.740723,21.225006,True,155243
s.c. eta2u srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300079,Strada Gheorghe Dima,1,"Sediu central:, Strada Gheorghe Dima 1, Timișoara 300079, Romania",45.75534769999999,21.2267066,True,155243
s.c. eps romania srl,RO,Romania,project,,,,,,,Romania,Timiș County,Timisoara,Timișoara,,,,"Timișoara, Romania",45.8013288,21.1659678,True,155243
leman industrie,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300718,Calea Buziașului,11A,"Calea Buziașului 11A, Timișoara 300718, Romania",45.731034,21.268898,True,155243
rheal s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,Strada Basel,1,"Strada Basel 1, Timișoara, Romania",45.7671675,21.2477677,True,155243
mahle componente de motor srl,RO,Romania,project,,,,,,,Romania,Timiș County,Dumbravita,Timișoara,,,,"Timișoara, Romania",45.8121416,21.1913114,True,155243
magic print s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,Bulevardul Constructorilor,,"Bulevardul Constructorilor, Timișoara, Romania",45.7430724,21.2661746,True,155243
logitrade consulting s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,307285,Calea Buziașului,11,"Calea Buziașului 11, Timișoara 307285, Romania",45.731219,21.2649,True,155243
lipoplast s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300516,Calea Șagului,140,"Calea Șagului 140, Timișoara 300516, Romania",45.715139,21.194013,True,155243
fundatia pentru voi,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300425,Strada Anton Bacalbașa,69-65A,"Strada Anton Bacalbașa 69-65A, Timișoara 300425, Romania",45.72625499999999,21.1875207,True,155243
"fundatia pentru cultura si invatamant ""ioan slavici""",RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,Strada Profesor Doctor Aurel Păunescu Podeanu,,"Strada Profesor Doctor Aurel Păunescu Podeanu, Timișoara, Romania",45.74466760000001,21.2522749,True,155243
incremental s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,Strada Emil Zola,10,"Strada Emil Zola 10, Timișoara, Romania",45.72594019999999,21.218059,True,155243
imprimeria mirton s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300125,Strada Samuel Clain Micu,7,"Strada Samuel Clain Micu 7, Timișoara 300125, Romania",45.7633,21.2517,True,155243
human resources consulting srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,Strada Borsec,,"Strada Borsec, Timișoara, Romania",45.758966,21.223257,True,155243
greenforest s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300133,Strada Simion Bărnuțiu,28,"Strada Simion Bărnuțiu 28, Timișoara 300133, Romania",45.7634903,21.2532238,True,155243
grafoprint srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300425,Splaiul Tudor Vladimirescu,34,"Splaiul Tudor Vladimirescu 34, Timișoara 300425, Romania",45.7453024,21.2046333,True,155243
gittanos company s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300094,Strada Dacilor,14,"Strada Dacilor 14, Timișoara 300094, Romania",45.7592788,21.2494382,True,155243
eta2u s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300079,Strada Gheorghe Dima,1,"Sediu central:, Strada Gheorghe Dima 1, Timișoara 300079, Romania",45.75534769999999,21.2267066,True,155243
sc pasmatex sa,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,,,"Str. Jiul, 2, Timisoara, Timis, Timișoara, Romania",45.75148,21.2176,True,155243
sc multinstal srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,,,"Cal. Sagului, 141-143, Timisoara, Timis, 300517, Timișoara, Romania",45.7206,21.1989,True,155243
sc metronom b srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,,,"Cal. Mosnitei, 4, Timisoara, Timis, 300547, Timișoara, Romania",45.7445958,21.272954,True,155243
sc leonard collection srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300115,Strada Johann Heinrich Pestalozzi,20,"Strada Johann Heinrich Pestalozzi 20, Timișoara 300115, Romania",45.7544622,21.2462334,True,155243
sc europroducts srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,,,"Timisoara, Timis, 300049, Timișoara, Romania",45.7589,21.2342,True,155243
sc continental transcom srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300704,Strada Siemens,1,"Strada Siemens 1, Timișoara 300704, Romania",45.734542,21.2669861,True,155243
sc a.s.k. tim srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,Calea Bogdăneștilor,17,"Calea Bogdăneștilor 17, Timișoara, Romania",45.7566899,21.2142355,True,155243
s.c.nano inteliform s.r.l. timisoara,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,307285,Calea Moşniţei,21,"Calea Moşniţei 21, Timișoara 307285, Romania",45.744934,21.2744614,True,155243
spital clinic de obstetrica ginecologie dr. dumitru popescu,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,Bulevardul 16 Decembrie 1989,22-24,"Bulevardul 16 Decembrie 1989 22-24, Timișoara, Romania",45.7445432,21.2146381,True,155243
universitatea tibiscus din timisoara,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,Strada Lascăr Catargiu,4-6,"Strada Lascăr Catargiu 4-6, Timișoara, Romania",45.75056049999999,21.2434769,True,155243
"universitatea ""politehnica"" din timisoara",RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300006,Piața Victoriei,2,"Piața Victoriei 2, Timișoara 300006, Romania",45.75395399999999,21.22535599999999,True,155243
