nuts1_name,nuts1_code,nuts2_name,nuts2_code,nuts3_name,nuts3_code,lau1_name,lau1_code,lau2_name,lau2_code,population,territory,density
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Nový Svet,SK010_582549,30,9.39,3.19
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Kráľová pri Senci,SK010_503894,1505,23.73,63.42
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Tureň,SK010_508284,678,6.13,110.53
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Tomášov,SK010_508276,2230,23.8,93.7
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Kostolná pri Dunaji,SK010_503851,844,9.63,87.69
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Boldog,SK010_503681,199,5.52,36.03
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Senec,SK010_508217,15973,46.47,343.73
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Most pri Bratislave,SK010_508110,1479,22.96,64.42
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Miloslavov,SK010_508098,1372,12.33,111.31
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Malinovo,SK010_508071,1559,10.99,141.84
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Kalinkovo,SK010_507997,1019,16.04,63.55
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Veľký Biel,SK010_508292,2186,12.29,177.9
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Dunajská Lužná,SK010_545333,2995,32.05,93.44
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Igram,SK010_555487,432,10.04,43.01
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Ivanka pri Dunaji,SK010_507938,5715,17.18,332.68
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Hurbanova Ves,SK010_503819,257,6.77,37.97
Slovakia,SK0,Bratislava Region,SK01,Bratislavský kraj,SK010,Senec,57,Hrubý Šúr,SK010_503801,282,7.31,38.59
