beneficiary,benef_type,lau2_name,lau2_code
Mesto Banská Bystrica,city,Banská Bystrica,SK032_508438
Mesto Banská Štiavnica,city,Banská Štiavnica,SK032_516643
Mesto Bytča,city,Bytča,SK031_517461
Mesto Detva,city,Detva,SK032_518263
Mesto Dobšiná,city,Dobšiná,SK042_525634
Mesto Dolný Kubín,city,Dolný Kubín,SK031_509540
Mesto Dubnica nad Váhom,city,Dubnica nad Váhom,SK022_513016
Mesto Dudince,city,Dudince,SK032_518387
Mesto Dunajská Streda,city,Dunajská Streda,SK021_501433
Mesto Fiľakovo,city,Fiľakovo,SK032_511391
Mesto Galanta,city,Galanta,SK021_503665
Mesto Gbely,city,Gbely,SK021_504351
Mesto Gelnica,city,Gelnica,SK042_526509
Mesto Giraltovce,city,Giraltovce,SK041_519197
Mesto Handlová,city,Handlová,SK022_513997
Mesto Hanušovce nad Topľou,city,Hanušovce nad Topľou,SK041_544213
Mesto Hlohovec,city,Hlohovec,SK021_507032
Mesto Hnúšťa,city,Hnúšťa,SK032_514829
Mesto Humenné,city,Humenné,SK041_520004
Mesto Hurbanovo,city,Hurbanovo,SK023_501140
Mesto Ilava,city,Ilava,SK022_513156
Mesto Jelšava,city,Jelšava,SK032_525791
Mesto Komárno,city,Komárno,SK023_501026
Mesto Kremnica,city,Kremnica,SK032_516970
Mesto Krompachy,city,Krompachy,SK042_543268
Mesto Kráľovský Chlmec,city,Kráľovský Chlmec,SK042_528447
Mesto Kysucké Nové Mesto,city,Kysucké Nové Mesto,SK031_509256
Mesto Leopoldov,city,Leopoldov,SK021_507253
Mesto Levoča,city,Levoča,SK041_543292
Mesto Lipany,city,Lipany,SK041_524778
Mesto Liptovský Hrádok,city,Liptovský Hrádok,SK031_510726
Mesto Liptovský Mikuláš,city,Liptovský Mikuláš,SK031_510262
Mesto Lučenec,city,Lučenec,SK032_511218
Mesto Malacky,city,Malacky,SK010_508063
Mesto Martin,city,Martin,SK031_512036
Mesto Medzilaborce,city,Medzilaborce,SK041_520471
Mesto Myjava,city,Myjava,SK022_504581
Mesto Nemšová,city,Nemšová,SK022_506281
Mesto Nitra,city,Nitra,SK023_500011
Mesto Nová Dubnica,city,Nová Dubnica,SK022_513440
Mesto Nováky,city,Nováky,SK022_514268
Mesto Nové Mesto nad Váhom,city,Nové Mesto nad Váhom,SK022_506338
Mesto Nové Zámky,city,Nové Zámky,SK023_503011
Mesto Námestovo,city,Námestovo,SK031_509868
Mesto Pezinok,city,Pezinok,SK010_508179
Mesto Podolínec,city,Podolínec,SK041_526975
Mesto Poltár,city,Poltár,SK032_511765
Mesto Poprad,city,Poprad,SK041_523381
Mesto Považská Bystrica,city,Považská Bystrica,SK022_512842
Mesto Prešov,city,Prešov,SK041_524140
Mesto Prievidza,city,Prievidza,SK022_513881
Mesto Púchov,city,Púchov,SK022_513610
Mesto Rajec,city,Rajec,SK031_517917
Mesto Rajecké Teplice,city,Rajecké Teplice,SK031_517933
Mesto Revúca,city,Revúca,SK032_526142
Mesto Rimavská Sobota,city,Rimavská Sobota,SK032_514462
Mesto Rožňava,city,Rožňava,SK042_525529
Mesto Ružomberok,city,Ružomberok,SK031_510998
Mesto Senec,city,Senec,SK010_508217
Mesto Senica,city,Senica,SK021_504203
Mesto Sereď,city,Sereď,SK021_504009
Mesto Sečovce,city,Sečovce,SK042_528722
Mesto Skalica,city,Skalica,SK021_504815
Mesto Sliač,city,Sliač,SK032_518808
Mesto Spišské Podhradie,city,Spišské Podhradie,SK041_543578
Mesto Stará Turá,city,Stará Turá,SK022_506524
Mesto Stropkov,city,Stropkov,SK041_527840
Mesto Strážske,city,Strážske,SK042_523101
Mesto Stupava,city,Stupava,SK010_508233
Mesto Svidník,city,Svidník,SK041_527106
Mesto Svit,city,Svit,SK041_523925
Mesto Tisovec,city,Tisovec,SK032_515680
Mesto Tornaľa,city,Tornaľa,SK032_515612
Mesto Trenčianske Teplice,city,Trenčianske Teplice,SK022_506613
Mesto Trenčín,city,Trenčín,SK022_505820
Mesto Trstená,city,Trstená,SK031_510106
Mesto Tvrdošín,city,Tvrdošín,SK031_510114
Mesto Veľký Krtíš,city,Veľký Krtíš,SK032_515850
Mesto Vranov nad toplou,city,Vranov nad Topľou,SK041_544051
Mesto Vrbové,city,Vrbové,SK021_507750
Mesto Vráble,city,Vráble,SK023_500933
Mesto Vrútky,city,Vrútky,SK031_557358
Mesto Vysoke Tatry,city,Vysoké Tatry,SK041_560103
Mesto Zlaté Moravce,city,Zlaté Moravce,SK023_500968
Mesto Zvolen,city,Zvolen,SK032_518158
Mesto Šahy,city,Šahy,SK023_502782
Mesto Šamorín,city,Šamorín,SK021_501905
Mesto Šaľa,city,Šaľa,SK023_504025
Mesto Šaštín-Stráže,city,Šaštín-Stráže,SK021_504891
Mesto Žiar n/H,city,Žiar,SK031_511200
Mesto Žilina,city,Žilina,SK031_517402
Mesto Štúrovo,city,Štúrovo,SK023_503584
Mesto Šurany,city,Šurany,SK023_503592
NsP Nové Mesto nad Váhom n.o.,city,Nové Mesto nad Váhom,SK022_506338
Odborné učilište Kysucké Nové Mesto,city,Kysucké Nové Mesto,SK031_509256
Slovenské Nové Mesto,city,Slovenské Nové Mesto,SK042_543756
Spojená škola internátna Námestovo,city,Námestovo,SK031_509868
"ZŠ, Dolinský potok č. 1114, Kysucké Nové Mesto",city,Kysucké Nové Mesto,SK031_509256
mesto Snina,city,Snina,SK041_520802
"Špeciálna základná škola, Nové Mesto nad Váhom",city,Nové Mesto nad Váhom,SK022_506338
1. prešovská nástrojáreň,identified,Prešov,SK041_524140
A.G.E.S. s.r.o. Olcnava ,identified,Olcnava,SK042_543411
"A.T.S. - Automatik - Tür - Systeme Nitra, s.r.o.",identified,Nitra,SK023_500011
"AGROFARMA BUDMERICE,s .r.o.",identified,Budmerice,SK010_507849
"AGROHONT DUDINCE, družstvo ",identified,Dudince,SK032_518387
"AGROPROFIT Bešeňov, a.s.",identified,Bešeňov,SK023_503070
AGROSPOL Želovce s.r.o,identified,Želovce,SK032_516571
"AKB Martinská kaliareň, s. r. o.",identified,Martin,SK031_512036
"AKE Skalica, s.r.o.",identified,Skalica,SK021_504815
APHRODITE - Rajecké Teplice,identified,Rajecké Teplice,SK031_517933
APZ Somotor n.o.,identified,Somotor,SK042_543772
"AQUA ENERGY GYŇOV, s.r.o.",identified,Gyňov,SK042_521388
