beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
"aza slovakia, s.r.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
bau3mex a.s.,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
agnitio,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"agt real, s.r.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
akademia wellness,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
alojz kuchar,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"alt, a.s.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"amareon, s.r.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
anna smehilova effeta - chranena dielna,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
aristo,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
asu sav,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
3log-in s.r.o.,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
4-success,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"a1synth, s. r. o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
action media,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
adria - avp s.r.o.,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
adustum,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
aefes truck system spol. s.r.o.,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
ag - bizuteria s.r.o,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
agentura pro ekon. rozvoj vsetinska,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
2u spol. s.r.o.,SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava II,,821 02,Trnavská cesta,84,"Trnavská cesta 84, 821 02 Bratislava, Slovakia",48.1643,17.150112,True,529320
"bonitas, n.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
boos,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
brncalka,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"c4u, s.r.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"car-dok jk, s.r.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"castoria, a.s.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
cck oblastni spolek brno-mesto,SK,Slovakia,project,,,,,,,Czechia,Jihomoravský kraj,Brno-město,,602 00,Křenová,66,"Křenová 219/66, 602 00 Brno-střed, Czechia",49.1910797,16.6249842,True,
celim slovakia,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
centrum pre medzinarodnopravnu ochr,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
centrum pro komunitni praci msk,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
centrum regionalneho rozvoja n.o.,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"centrum rozvoja, n. o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
centrum vzdelavania nezisk. o.,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"cernovske drevenice, s. r. o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
cesky svaz ochrancu prirody  ,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"cetp, s. r. o. ",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
cevete,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
chartikano o.z.,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"chemosvit environchem, a.s.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
chrysso cassoviensis s.r.o.,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
chu sav,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"ci regio, spol. s.r.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"bopal, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Nitriansky kraj,Topoľčany,Nemčice,955 01,Hlohovská cesta,29,"Hlohovská cesta 397/29, 955 01 Nemčice, Slovakia",48.5552859,18.1254216,True,581305
"ckv consult, s.r.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
coolfood s.r.o.,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
crr cr,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"cusus, s.r.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
cvpmnmd,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"d.j.k., s.r.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"dareto, s.r.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"db hotels, s.r.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"dca industry, s. r. o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
ddass klas,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"decom, a.s.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"deleon, s.r.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
dianovum oz,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
dirmat s.r.o.,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
dk zdrav. postih. deti a mlad.,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
doddy spol. s r.o.,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"domka,ustredie",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"double p., spol. s r.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
drahuska a my... ,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"drevoapal, s.r.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"dti,s.r.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"dualita, s.r.o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"dunajskrob starch, a.s.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"duvia, o.z.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
ebenove slnko,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
ec group s.r.o.,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
"eco pwr, s. r. o.",SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
eco-global spol. s r.o.,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
ecoland s.r.o.,SK,Slovakia,project,,,,,,,,,,,,,,,,,True,
