project_id,project_description,beneficiary,total_amount,eu_cofinancing_amount,member_state_amount,paid_eu_funding,project_title,operational_program,fund_acronym,nuts3,lau2,start_date,management_authority,priority_label,source,beneficiary_url
1,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,INDUKTIO D.O.O.,186484.98,158512.23,27972.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
2,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,RTCZ D.O.O,181876.62,154595.13,27281.49,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,ZASAVSKA,HRASTNIK,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
3,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,TEB D.O.O,186484.98,158512.23,27972.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,SPODNJEPOSAVSKA,KRŠKO,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
4,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,JKP ŠALOVCI D.O.O.,101742.9,86481.46,15261.43,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,POMURSKA,ŠALOVCI,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
5,JAVNI RAZPIS ZA SOFINANCIRANJE STROŠKOV PROJEKTNIH INTERDISCIPLINARNIH SKUPIN (ŠT. I),BIA D.O.O.,36463.44,30993.92,5469.52,,LABORATORIJSKI INFORMACIJSKI SISTEMI - BIA LIMS,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2010,JAVNI RAZPIS,PODJETNIŠTVO,OU,
6,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,SENSUM D.O.O.,181876.62,154595.13,27281.49,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
7,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2009,SENSUM D.O.O.,155018.27,131765.53,23252.74,,PROGRAM DELA MLADEGA RAZISKOVALCA IZ GOSPODARSTVA - MR-09/93,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2009,JAVNI RAZPIS,PODJETNIŠTVO,OU,
8,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,RESISTEC UPR D.O.O. & CO.K.D.,144496.14,122821.72,21674.42,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,SPODNJEPOSAVSKA,KOSTANJEVICA NA KRKI,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
9,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,REKONSTRUKCIJA IZTOK CIGLARIČ S.P.,181876.62,154595.13,27281.49,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OBALNO-KRAŠKA,MARIBOR,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
10,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,EKO PRODUKT D.O.O,186484.98,158512.23,27972.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
