"nuts1_name","nuts1_code","nuts2_name","nuts2_code","nuts3_name","nuts3_code","nuts3_code_eurostat","lau1_name","lau1_code","lau2_name","lau2_code","population","territory","density"
Slovenia,SI0,Zahodna Slovenija,SI04,Goriška,SI023,SI043,Ajdovščina,"01",Ajdovščina,SI023_001,17917,284.08,63.07
Slovenia,SI0,Zahodna Slovenija,SI04,Goriška,SI023,SI043,Ajdovščina,"01",Vipava,SI023_136,5329,124.21,42.9
Slovenia,SI0,Vzhodna Slovenija,SI03,Posavska,SI016,SI036,Brežice,"02",Brežice,SI016_009,23333,309.81,75.31
Slovenia,SI0,Vzhodna Slovenija,SI03,Savinjska,SI014,SI034,Celje,"03",Celje,SI014_011,47251,112.47,420.14
Slovenia,SI0,Vzhodna Slovenija,SI03,Savinjska,SI014,SI034,Celje,"03",Štore,SI014_127,4049,32.65,124.02
Slovenia,SI0,Vzhodna Slovenija,SI03,Savinjska,SI014,SI034,Celje,"03",Dobrna,SI014_155,2072,36.18,57.27
Slovenia,SI0,Vzhodna Slovenija,SI03,Savinjska,SI014,SI034,Celje,"03",Vojnik,SI014_139,8304,87.84,94.54
Slovenia,SI0,Vzhodna Slovenija,SI03,Primorsko-notranjska,SI018,SI038,Cerknica,"04",Cerknica,SI018_013,10586,278.4,38.02
Slovenia,SI0,Vzhodna Slovenija,SI03,Primorsko-notranjska,SI018,SI038,Cerknica,"04",Loška dolina,SI018_065,3696,192.69,19.18
Slovenia,SI0,Vzhodna Slovenija,SI03,Primorsko-notranjska,SI018,SI038,Cerknica,"04",Bloke,SI018_150,1549,88.09,17.58
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Domžale,"06",Moravče,SI021_077,4975,71.57,69.51
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Domžale,"06",Mengeš,SI021_072,6699,26.56,252.26
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Domžale,"06",Trzin,SI021_186,3083,9.81,314.34
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Domžale,"06",Domžale,SI021_023,30923,85.3,362.5
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Domžale,"06",Lukovica,SI021_068,5323,86.51,61.53
Slovenia,SI0,Vzhodna Slovenija,SI03,Koroška,SI013,SI033,Dravograd,"07",Dravograd,SI013_025,8520,124.35,68.52
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Gornja Radgona,"08",Gornja Radgona,SI011_029,7537,87.17,86.46
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Gornja Radgona,"08",Sveti Jurij,SI011_116,3311,61.12,54.17
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Gornja Radgona,"08",Radenci,SI011_100,4824,39.05,123.53
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI032,Gornja Radgona,"08",Apače,SI011_195,3631,63.3,57.37
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Grosuplje,"09",Dobrepolje,SI021_020,3785,119.55,31.66
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Grosuplje,"09",Grosuplje,SI021_032,18343,153.59,119.43
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Grosuplje,"09",Ivančna Gorica,SI021_039,14261,260.21,54.81
Slovenia,SI0,Vzhodna Slovenija,SI03,Zasavska,SI015,SI035,Hrastnik,"10",Hrastnik,SI015_034,9490,69.41,136.71
Slovenia,SI0,Zahodna Slovenija,SI04,Goriška,SI023,SI043,Idrija,"11",Cerkno,SI023_014,4939,154.28,32.01
Slovenia,SI0,Zahodna Slovenija,SI04,Goriška,SI023,SI043,Idrija,"11",Idrija,SI023_036,11272,341.94,32.96
Slovenia,SI0,Vzhodna Slovenija,SI03,Primorsko-notranjska,SI018,SI038,Ilirska Bistrica,"12",Ilirska Bistrica,SI018_038,13894,552.4,25.15
Slovenia,SI0,Zahodna Slovenija,SI04,Obalno-kraška,SI024,SI044,Izola/Isola,"13",Isola,SI024_040,14384,33.56,428.65
Slovenia,SI0,Zahodna Slovenija,SI04,Gorenjska,SI022,SI042,Jesenice,"14",Kranjska Gora,SI022_053,5267,300.66,17.52
Slovenia,SI0,Zahodna Slovenija,SI04,Gorenjska,SI022,SI042,Jesenice,"14",Jesenice,SI022_041,20976,88.67,236.56
Slovenia,SI0,Zahodna Slovenija,SI04,Gorenjska,SI022,SI042,Jesenice,"14",Žirovnica,SI022_192,4451,49.68,89.6
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Kamnik,"15",Kamnik,SI021_043,27470,309.81,88.67
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Kamnik,"15",Komenda,SI021_164,4910,29.41,166.92
Slovenia,SI0,Zahodna Slovenija,SI04,Obalno-kraška,SI024,SI044,Koper,"17",Capodistria,SI024_050,47921,358.33,133.73
Slovenia,SI0,Vzhodna Slovenija,SI03,Jugovzhodna Slovenija,SI017,SI037,Kočevje,"16",Osilnica,SI017_088,356,42.0,8.48
Slovenia,SI0,Vzhodna Slovenija,SI03,Jugovzhodna Slovenija,SI017,SI037,Kočevje,"16",Kostel,SI017_165,509,63.1,8.07
Slovenia,SI0,Vzhodna Slovenija,SI03,Jugovzhodna Slovenija,SI017,SI037,Kočevje,"16",Kočevje,SI017_048,16349,638.96,25.59
Slovenia,SI0,Zahodna Slovenija,SI04,Gorenjska,SI022,SI042,Kranj,"18",Cerklje na Gorenjskem,SI022_012,6319,90.98,69.45
Slovenia,SI0,Zahodna Slovenija,SI04,Gorenjska,SI022,SI042,Kranj,"18",Preddvor,SI022_095,3275,101.18,32.37
Slovenia,SI0,Zahodna Slovenija,SI04,Gorenjska,SI022,SI042,Kranj,"18",Šenčur,SI022_117,8770,47.61,184.19
Slovenia,SI0,Zahodna Slovenija,SI04,Gorenjska,SI022,SI042,Kranj,"18",Jezersko,SI022_163,697,80.06,8.71
Slovenia,SI0,Zahodna Slovenija,SI04,Gorenjska,SI022,SI042,Kranj,"18",Kranj,SI022_052,49980,175.18,285.3
Slovenia,SI0,Zahodna Slovenija,SI04,Gorenjska,SI022,SI042,Kranj,"18",Naklo,SI022_082,5512,32.62,168.97
Slovenia,SI0,Vzhodna Slovenija,SI03,Posavska,SI016,SI036,Krško,"19",Kostanjevica na Krki,SI016_197,2750,68.7,40.03
Slovenia,SI0,Vzhodna Slovenija,SI03,Posavska,SI016,SI036,Krško,"19",Krško,SI016_054,24753,332.31,74.49
Slovenia,SI0,Vzhodna Slovenija,SI03,Savinjska,SI014,SI034,Laško,"20",Radeče,SI014_099,3432,60.35,56.87
Slovenia,SI0,Vzhodna Slovenija,SI03,Savinjska,SI014,SI034,Laško,"20",Laško,SI014_057,13578,228.79,59.35
Slovenia,SI0,Vzhodna Slovenija,SI03,Podravska,SI012,SI032,Lenart,"21",Benedikt,SI012_148,2405,28.78,83.56
Slovenia,SI0,Vzhodna Slovenija,SI03,Podravska,SI012,SI032,Lenart,"21",Cerkvenjak,SI012_153,1997,29.4,67.92
Slovenia,SI0,Vzhodna Slovenija,SI03,Podravska,SI012,SI032,Lenart,"21",Sveta Ana,SI012_181,2354,44.3,53.14
Slovenia,SI0,Vzhodna Slovenija,SI03,Podravska,SI012,SI032,Lenart,"21",Lenart,SI012_058,7309,72.78,100.42
Slovenia,SI0,Vzhodna Slovenija,SI03,Podravska,SI012,SI032,Lenart,"21",Sveta Trojica v Slov. goricah,SI012_204,2184,29.32,74.49
Slovenia,SI0,Vzhodna Slovenija,SI03,Podravska,SI012,SI032,Lenart,"21",Sveti Jurij v Slov. goricah,SI012_210,2118,37.15,57.02
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Lendava,"22",Turnišče,SI011_132,3615,27.95,129.32
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Lendava,"22",Velika Polana,SI011_187,1531,22.09,69.31
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Lendava,"22",Dobronak,SI011_156,1411,36.34,38.82
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Lendava,"22",Črenšovci,SI011_015,4378,39.04,112.13
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Lendava,"22",Kobilje,SI011_047,631,23.44,26.92
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Lendava,"22",Lendva,SI011_059,11176,143.65,77.8
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Lendava,"22",Odranci,SI011_086,1619,8.44,191.87
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Litija,"23",Šmartno pri Litiji,SI021_194,5484,111.44,49.21
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Litija,"23",Litija,SI021_060,13331,256.65,51.94
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Ljubljana,"24",Horjul,SI021_162,2781,38.3,72.6
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Ljubljana,"24",Dobrova - Polhov Gradec,SI021_021,6925,136.84,50.61
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Ljubljana,"24",Vodice,SI021_138,4154,35.92,115.63
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Ljubljana,"24",Brezovica,SI021_008,9663,105.25,91.81
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Ljubljana,"24",Ljubljana,SI021_061,239757,320.54,747.99
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Ljubljana,"24",Škofljica,SI021_123,6766,49.67,136.23
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Ljubljana,"24",Medvode,SI021_071,14391,90.92,158.28
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Ljubljana,"24",Ig,SI021_037,5764,115.24,50.02
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Ljubljana,"24",Dol pri Ljubljani,SI021_022,4510,39.0,115.65
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Ljubljana,"24",Velike Lašče,SI021_134,3849,119.42,32.23
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Ljutomer,"29",Križevci,SI011_166,3664,55.29,66.27
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Ljutomer,"29",Ljutomer,SI011_063,11861,124.7,95.12
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Ljutomer,"29",Veržej,SI011_188,1437,14.01,102.55
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Ljutomer,"29",Razkrižje,SI011_176,1274,11.66,109.24
Slovenia,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI021,SI041,Logatec,"30",Logatec,SI021_064,11800,201.15,58.66
Slovenia,SI0,Vzhodna Slovenija,SI03,Podravska,SI012,SI032,Maribor,"64",Maribor,SI012_070,107765,174.34,618.14
Slovenia,SI0,Vzhodna Slovenija,SI03,Podravska,SI012,SI032,Maribor,"64",Duplek,SI012_026,6711,46.16,145.38
Slovenia,SI0,Vzhodna Slovenija,SI03,Podravska,SI012,SI032,Maribor,"64",Hoče - Slivnica,SI012_160,9823,62.21,157.9
Slovenia,SI0,Vzhodna Slovenija,SI03,Podravska,SI012,SI032,Maribor,"64",Rače - Fram,SI012_098,6508,60.37,107.81
Slovenia,SI0,Vzhodna Slovenija,SI03,Podravska,SI012,SI032,Maribor,"64",Starše,SI012_115,3672,38.84,94.54
Slovenia,SI0,Vzhodna Slovenija,SI03,Podravska,SI012,SI032,Maribor,"64",Miklavž na Dravskem polju,SI012_169,5641,15.25,369.88
Slovenia,SI0,Vzhodna Slovenija,SI03,Jugovzhodna Slovenija,SI017,SI037,Metlika,"34",Metlika,SI017_073,8012,125.21,63.99
Slovenia,SI0,Vzhodna Slovenija,SI03,Savinjska,SI014,SI034,Mozirje,"35",Rečica ob Savinji,SI014_209,2244,35.13,63.88
Slovenia,SI0,Vzhodna Slovenija,SI03,Savinjska,SI014,SI034,Mozirje,"35",Mozirje,SI014_079,3770,60.94,61.86
Slovenia,SI0,Vzhodna Slovenija,SI03,Savinjska,SI014,SI034,Mozirje,"35",Solčava,SI014_180,545,120.41,4.53
Slovenia,SI0,Vzhodna Slovenija,SI03,Savinjska,SI014,SI034,Mozirje,"35",Luče,SI014_067,1545,128.79,12.0
Slovenia,SI0,Vzhodna Slovenija,SI03,Savinjska,SI014,SI034,Mozirje,"35",Ljubno,SI014_062,2763,92.13,29.99
Slovenia,SI0,Vzhodna Slovenija,SI03,Savinjska,SI014,SI034,Mozirje,"35",Gornji Grad,SI014_030,2529,104.81,24.13
Slovenia,SI0,Vzhodna Slovenija,SI03,Savinjska,SI014,SI034,Mozirje,"35",Nazarje,SI014_083,2588,51.03,50.71
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Murska Sobota,"36",Murska Sobota,SI011_080,19684,76.67,256.72
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Murska Sobota,"36",Beltinci,SI011_002,8368,73.24,114.25
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Murska Sobota,"36",Tišina,SI011_010,4120,44.93,91.7
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Murska Sobota,"36",Gornji Petrovci,SI011_031,2293,80.61,28.45
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Murska Sobota,"36",Šalovci,SI011_033,1724,68.06,25.33
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Murska Sobota,"36",Kuzma,SI011_056,1704,25.7,66.31
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Murska Sobota,"36",Moravske Toplice,SI011_078,6161,169.85,36.27
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Murska Sobota,"36",Puconci,SI011_097,6367,125.95,50.55
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Murska Sobota,"36",Rogašovci,SI011_105,2879,48.55,59.3
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Murska Sobota,"36",Cankova,SI011_152,2033,36.33,55.97
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Murska Sobota,"36",Grad,SI011_158,2461,44.13,55.76
Slovenia,SI0,Vzhodna Slovenija,SI03,Pomurska,SI011,SI031,Murska Sobota,"36",Hodos,SI011_161,369,21.12,17.47
Slovenia,SI0,Zahodna Slovenija,SI04,Goriška,SI023,SI043,Nova Gorica,"37",Brda,SI023_007,5463,83.11,65.73
Slovenia,SI0,Zahodna Slovenija,SI04,Goriška,SI023,SI043,Nova Gorica,"37",Renče - Vogrsko,SI023_201,4425,35.88,123.32
Slovenia,SI0,Zahodna Slovenija,SI04,Goriška,SI023,SI043,Nova Gorica,"37",Šempeter - Vrtojba,SI023_183,5993,17.16,349.19
Slovenia,SI0,Zahodna Slovenija,SI04,Goriška,SI023,SI043,Nova Gorica,"37",Nova Gorica,SI023_084,31983,323.42,98.89
Slovenia,SI0,Zahodna Slovenija,SI04,Goriška,SI023,SI043,Nova Gorica,"37",Kanal,SI023_044,5801,170.45,34.03
Slovenia,SI0,Zahodna Slovenija,SI04,Goriška,SI023,SI043,Nova Gorica,"37",Miren - Kostanjevica,SI023_075,3878,71.63,54.14
Slovenia,SI0,Vzhodna Slovenija,SI03,Jugovzhodna Slovenija,SI017,SI037,Novo Mesto,"38",Mirna Peč,SI017_170,2635,57.14,46.12
Slovenia,SI0,Vzhodna Slovenija,SI03,Jugovzhodna Slovenija,SI017,SI037,Novo Mesto,"38",Šentjernej,SI017_119,6581,110.0,59.83
Slovenia,SI0,Vzhodna Slovenija,SI03,Jugovzhodna Slovenija,SI017,SI037,Novo Mesto,"38",Šmarješke Toplice,SI017_206,2843,38.73,73.4
Slovenia,SI0,Vzhodna Slovenija,SI03,Jugovzhodna Slovenija,SI017,SI037,Novo Mesto,"38",Dolenjske Toplice,SI017_157,3384,127.26,26.59
Slovenia,SI0,Vzhodna Slovenija,SI03,Jugovzhodna Slovenija,SI017,SI037,Novo Mesto,"38",Novo mesto,SI017_085,33831,272.5,124.15
Slovenia,SI0,Vzhodna Slovenija,SI03,Jugovzhodna Slovenija,SI017,SI037,Novo Mesto,"38",Žužemberk,SI017_193,4497,190.56,23.6
Slovenia,SI0,Vzhodna Slovenija,SI03,Jugovzhodna Slovenija,SI017,SI037,Novo Mesto,"38",Straža,SI017_203,3562,32.97,108.05
Slovenia,SI0,Vzhodna Slovenija,SI03,Jugovzhodna Slovenija,SI017,SI037,Novo Mesto,"38",Škocjan,SI017_121,3403,69.44,49.0
Slovenia,SI0,Vzhodna Slovenija,SI03,Podravska,SI012,SI032,Ormož,"39",Sveti Tomaž,SI012_205,2079,45.87,45.32
Slovenia,SI0,Vzhodna Slovenija,SI03,Podravska,SI012,SI032,Ormož,"39",Središče ob Dravi,SI012_202,2306,38.24,60.31
