NUTS_3;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA
ES111;n.a.;15001;no;Abegondo;Abegondo;5664;83809559;3
ES111;n.a.;15002;no;Ames;Ames;29689;80043456;3
ES111;n.a.;15003;no;Aranga;Aranga;2051;119646492;3
ES111;n.a.;15004;no;Ares;Ares;5801;18309622;2
ES111;n.a.;15005;no;Arteixo;Arteixo;31005;93679610;3
ES111;n.a.;15006;no;Arzúa;Arzúa;6276;155476981;3
ES111;n.a.;15007;no;Baña, A;Baña, A;3849;98189502;3
ES111;n.a.;15008;no;Bergondo;Bergondo;6738;32720438;2
ES111;n.a.;15009;no;Betanzos;Betanzos;13445;24188514;2
ES111;n.a.;15010;no;Boimorto;Boimorto;2154;82341238;3
ES111;n.a.;15011;no;Boiro;Boiro;19144;86578812;2
ES111;n.a.;15012;no;Boqueixón;Boqueixón;4370;73179326;3
ES111;n.a.;15013;no;Brión;Brión;7435;74896208;3
ES111;n.a.;15014;no;Cabana de Bergantiños;Cabana de Bergantiños;4716;100227763;3
ES111;n.a.;15015;no;Cabanas;Cabanas;3287;30304356;3
ES111;n.a.;15016;no;Camariñas;Camariñas;5874;51597675;3
ES111;n.a.;15017;no;Cambre;Cambre;23999;40739518;2
ES111;n.a.;15018;no;Capela, A;Capela, A;1366;57995996;3
ES111;n.a.;15019;no;Carballo;Carballo;31366;186088109;3
ES111;n.a.;15020;no;Carnota;Carnota;4504;70897431;3
ES111;n.a.;15021;no;Carral;Carral;6123;48029809;3
ES111;n.a.;15022;no;Cedeira;Cedeira;7246;85419917;3
ES111;n.a.;15023;no;Cee;Cee;7808;57453229;2
ES111;n.a.;15024;no;Cerceda;Cerceda;5265;111265482;3
ES111;n.a.;15025;no;Cerdido;Cerdido;1258;52718397;3
ES111;n.a.;15026;no;Cesuras;Cesuras;2131;79461351;3
ES111;n.a.;15027;no;Coirós;Coirós;1751;33870227;3
ES111;n.a.;15028;no;Corcubión;Corcubión;1654;6515819;2
ES111;n.a.;15029;no;Coristanco;Coristanco;6875;141276235;3
ES111;n.a.;15030;no;Coruña, A;Coruña, A;245923;37830149;1
ES111;n.a.;15031;no;Culleredo;Culleredo;29415;61728010;2
ES111;n.a.;15032;no;Curtis;Curtis;4112;116573453;3
ES111;n.a.;15033;no;Dodro;Dodro;2934;36117212;3
ES111;n.a.;15034;no;Dumbría;Dumbría;3216;125193078;3
ES111;n.a.;15035;no;Fene;Fene;13639;26305867;2
ES111;n.a.;15036;no;Ferrol;Ferrol;71232;82651443;1
ES111;n.a.;15037;no;Fisterra;Fisterra;4907;29431284;3
ES111;n.a.;15038;no;Frades;Frades;2509;81562119;3
ES111;n.a.;15039;no;Irixoa;Irixoa;1442;68587254;3
ES111;n.a.;15040;no;Laxe;Laxe;3267;36776598;3
ES111;n.a.;15041;no;Laracha, A;Laracha, A;11375;125950755;3
ES111;n.a.;15042;no;Lousame;Lousame;3493;93648511;3
ES111;n.a.;15043;no;Malpica de Bergantiños;Malpica de Bergantiños;5875;61219181;3
ES111;n.a.;15044;no;Mañón;Mañón;1507;82205777;3
ES111;n.a.;15045;no;Mazaricos;Mazaricos;4141;187304492;3
ES111;n.a.;15046;no;Melide;Melide;7313;101301101;3
ES111;n.a.;15047;no;Mesía;Mesía;2849;107069842;3
ES111;n.a.;15048;no;Miño;Miño;5786;32970435;3
ES111;n.a.;15049;no;Moeche;Moeche;1335;48499541;3
ES111;n.a.;15050;no;Monfero;Monfero;2109;171673579;3
ES111;n.a.;15051;no;Mugardos;Mugardos;5470;12770976;2
ES111;n.a.;15052;no;Muxía;Muxía;5162;121186602;3
ES111;n.a.;15053;no;Muros;Muros;9281;72909245;3
ES111;n.a.;15054;no;Narón;Narón;39450;66911350;2
ES111;n.a.;15055;no;Neda;Neda;5413;24461304;2
ES111;n.a.;15056;no;Negreira;Negreira;7091;115104392;3
ES111;n.a.;15057;no;Noia;Noia;14659;37208406;2
ES111;n.a.;15058;no;Oleiros;Oleiros;34470;43661715;2
ES111;n.a.;15059;no;Ordes;Ordes;12939;157229615;3
ES111;n.a.;15060;no;Oroso;Oroso;7431;72592626;3
ES111;n.a.;15061;no;Ortigueira;Ortigueira;6064;210027619;3
ES111;n.a.;15062;no;Outes;Outes;7010;99735234;3
ES111;n.a.;15063;no;Oza dos Ríos;Oza dos Ríos;3204;72136670;3
ES111;n.a.;15064;no;Paderne;Paderne;2534;39830867;3
ES111;n.a.;15065;no;Padrón;Padrón;8707;48374163;3
ES111;n.a.;15066;no;Pino, O;Pino, O;4708;132145238;3
ES111;n.a.;15067;no;Pobra do Caramiñal, A;Pobra do Caramiñal, A;9646;32511691;2
