Date,Price,Open,High,Low,Change %
"Dec 31, 2013",8.8504,8.8642,8.8869,8.8164,-0.19%
"Dec 30, 2013",8.8671,8.9416,8.9837,8.8411,-0.88%
"Dec 27, 2013",8.946,8.9625,9.0028,8.9334,-0.21%
"Dec 26, 2013",8.9649,8.983,8.9986,8.9506,-0.22%
"Dec 25, 2013",8.985,8.9724,9.0132,8.9543,0.10%
"Dec 24, 2013",8.9758,8.9864,9.0233,8.9571,-0.15%
"Dec 23, 2013",8.9891,9.0036,9.0157,8.9621,-0.20%
"Dec 20, 2013",9.0068,9.003,9.016,8.9545,-0.02%
"Dec 19, 2013",9.0082,8.9763,9.0226,8.9201,0.32%
"Dec 18, 2013",8.9797,9.0185,9.0368,8.9404,-0.50%
"Dec 17, 2013",9.0251,9.0472,9.0917,9.0027,-0.28%
"Dec 16, 2013",9.0504,9.0309,9.0595,9.0004,0.19%
"Dec 13, 2013",9.0336,9.0694,9.1029,9.0125,-0.45%
"Dec 12, 2013",9.0748,9.0257,9.1043,9.0089,0.53%
"Dec 11, 2013",9.0274,8.9936,9.0437,8.9819,0.36%
"Dec 10, 2013",8.9946,8.9693,9.0348,8.9583,0.27%
"Dec 09, 2013",8.9707,8.9102,8.9816,8.9039,0.62%
"Dec 06, 2013",8.9158,8.8661,8.9558,8.8515,0.53%
"Dec 05, 2013",8.8684,8.8293,8.8911,8.8162,0.41%
"Dec 04, 2013",8.832,8.8508,8.868,8.8154,-0.25%
"Dec 03, 2013",8.8544,8.8878,8.8971,8.8381,-0.40%
"Dec 02, 2013",8.8904,8.9162,8.9192,8.845,-0.36%
"Nov 29, 2013",8.9226,8.8981,8.9675,8.888,0.21%
"Nov 28, 2013",8.9035,8.9286,8.9707,8.8944,-0.34%
"Nov 27, 2013",8.9335,8.9198,8.945,8.8964,0.12%
"Nov 26, 2013",8.9232,8.8772,8.9301,8.857,0.48%
"Nov 25, 2013",8.8807,8.9049,8.931,8.8629,-0.37%
"Nov 22, 2013",8.9136,8.9394,8.9639,8.8742,-0.32%
"Nov 21, 2013",8.9418,8.923,8.9669,8.9096,0.15%
"Nov 20, 2013",8.928,8.9454,8.9779,8.89,-0.24%
"Nov 19, 2013",8.9497,8.9268,8.9803,8.9133,0.20%
"Nov 18, 2013",8.9319,8.9424,8.9785,8.9007,-0.19%
"Nov 15, 2013",8.9486,8.9428,8.98,8.9208,0.00%
"Nov 14, 2013",8.9486,8.9527,9.0104,8.9354,-0.07%
"Nov 13, 2013",8.955,8.9362,9.0026,8.9179,0.17%
"Nov 12, 2013",8.9395,8.7933,8.944,8.7883,1.63%
"Nov 11, 2013",8.7965,8.8028,8.8306,8.7873,-0.21%
"Nov 08, 2013",8.8154,8.7614,8.8602,8.7466,0.56%
"Nov 07, 2013",8.7662,8.7782,8.7952,8.6848,-0.16%
"Nov 06, 2013",8.7805,8.7911,8.8016,8.7609,-0.16%
"Nov 05, 2013",8.7942,8.7947,8.8217,8.7756,-0.05%
"Nov 04, 2013",8.7983,8.8124,8.8358,8.7614,-0.21%
"Nov 01, 2013",8.8171,8.8007,8.8397,8.7788,0.12%
"Oct 31, 2013",8.8061,8.7725,8.8268,8.7698,0.35%
"Oct 30, 2013",8.7752,8.7687,8.8119,8.7471,0.01%
"Oct 29, 2013",8.7744,8.7442,8.7969,8.7273,0.32%
"Oct 28, 2013",8.7463,8.7202,8.7589,8.7068,0.26%
