nuts1_name,nuts1_code,nuts2_name,nuts2_code,nuts3_name,nuts3_code,lau1_name,lau1_code,lau2_name,lau2_code,population,territory,density
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Upplands Väsby,SE110_0114,36758,133.24,275.87
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Vallentuna,SE110_0115,27612,589.45,46.84
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Österåker,SE110_0117,37851,504.16,75.08
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Värmdö,SE110_0120,35640,664.25,53.65
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Järfälla,SE110_0123,60093,100.55,597.65
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Ekerö,SE110_0125,25459,607.43,41.91
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Huddinge,SE110_0126,91638,220.29,415.99
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Botkyrka,SE110_0127,77319,330.21,234.15
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Salem,SE110_0128,14761,112.44,131.27
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Haninge,SE110_0136,72563,699.72,103.7
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Tyresö,SE110_0138,38559,114.63,336.39
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Upplands-Bro,SE110_0139,22075,520.53,42.41
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Nykvarn,SE110_0140,8611,279.25,30.84
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Täby,SE110_0160,61872,104.86,590.07
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Danderyd,SE110_0162,32496,42.99,755.93
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Sollentuna,SE110_0163,60444,91.2,662.75
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Stockholm,SE110_0180,770906,331.66,2324.41
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Södertälje,SE110_0181,81378,961.19,84.66
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Nacka,SE110_0182,80467,161.17,499.28
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Sundbyberg,SE110_0183,37723,12.82,2943.03
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Solna,SE110_0184,68131,32.58,2090.92
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Lidingö,SE110_0186,42292,50.85,831.64
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Vaxholm,SE110_0187,10268,94.12,109.09
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Norrtälje,SE110_0188,53634,3367.91,15.93
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Sigtuna,SE110_0191,36812,557.47,66.03
Östra Sverige,SE1,Stockholm,SE11,Stockholms län,SE110,Stockholms län,1,Nynäshamn,SE110_0192,24183,566.35,42.7
Östra Sverige,SE1,Östra Mellansverige,SE12,Uppsala län,SE121,Uppsala län,3,Håbo,SE121_0305,18404,299.69,61.41
Östra Sverige,SE1,Östra Mellansverige,SE12,Uppsala län,SE121,Uppsala län,3,Älvkarleby,SE121_0319,8800,380.96,23.1
Östra Sverige,SE1,Östra Mellansverige,SE12,Uppsala län,SE121,Uppsala län,3,Knivsta,SE121_0330,13820,474.77,29.11
Östra Sverige,SE1,Östra Mellansverige,SE12,Uppsala län,SE121,Uppsala län,3,Heby,SE121_0331,13549,1984.44,6.83
Östra Sverige,SE1,Östra Mellansverige,SE12,Uppsala län,SE121,Uppsala län,3,Tierp,SE121_0360,19648,2612.45,7.52
Östra Sverige,SE1,Östra Mellansverige,SE12,Uppsala län,SE121,Uppsala län,3,Uppsala,SE121_0380,184313,3610.29,51.05
Östra Sverige,SE1,Östra Mellansverige,SE12,Uppsala län,SE121,Uppsala län,3,Enköping,SE121_0381,38423,2117.07,18.15
Östra Sverige,SE1,Östra Mellansverige,SE12,Uppsala län,SE121,Uppsala län,3,Östhammar,SE121_0382,21077,2404.22,8.77
Östra Sverige,SE1,Östra Mellansverige,SE12,Södermanlands län,SE122,Södermanlands län,4,Vingåker,SE122_0428,9045,693.13,13.05
