Date,Price,Open,High,Low,Change %
"Dec 31, 2013",1.2046,1.1953,1.2056,1.1937,0.77%
"Dec 30, 2013",1.1954,1.1989,1.2008,1.1939,-0.33%
"Dec 27, 2013",1.1993,1.1985,1.1997,1.191,0.06%
"Dec 26, 2013",1.1986,1.1948,1.2007,1.1942,0.28%
"Dec 25, 2013",1.1952,1.1963,1.1974,1.1887,-0.12%
"Dec 24, 2013",1.1966,1.1939,1.1986,1.1926,0.20%
"Dec 23, 2013",1.1942,1.1945,1.1971,1.1916,-0.06%
"Dec 20, 2013",1.1949,1.198,1.2007,1.1932,-0.30%
"Dec 19, 2013",1.1985,1.1976,1.2,1.1945,0.06%
"Dec 18, 2013",1.1978,1.181,1.1986,1.1807,1.40%
"Dec 17, 2013",1.1813,1.1841,1.1863,1.1807,-0.25%
"Dec 16, 2013",1.1843,1.1861,1.1879,1.1823,-0.14%
"Dec 13, 2013",1.186,1.1885,1.1896,1.1843,-0.22%
"Dec 12, 2013",1.1886,1.1876,1.1919,1.1856,0.06%
"Dec 11, 2013",1.1879,1.1949,1.1959,1.1856,-0.60%
"Dec 10, 2013",1.1951,1.1957,1.1978,1.1913,-0.07%
"Dec 09, 2013",1.1959,1.1906,1.1963,1.1891,0.25%
"Dec 06, 2013",1.1929,1.1949,1.1989,1.1916,-0.19%
"Dec 05, 2013",1.1952,1.205,1.2061,1.193,-0.83%
"Dec 04, 2013",1.2052,1.2061,1.2088,1.2018,-0.08%
"Dec 03, 2013",1.2062,1.2076,1.211,1.2052,-0.14%
"Dec 02, 2013",1.2079,1.2037,1.2123,1.2031,0.29%
"Nov 29, 2013",1.2044,1.2011,1.2056,1.1978,0.27%
"Nov 28, 2013",1.2012,1.1993,1.2031,1.1967,0.14%
"Nov 27, 2013",1.1995,1.1944,1.2006,1.1917,0.39%
"Nov 26, 2013",1.1948,1.1949,1.1963,1.1913,-0.04%
"Nov 25, 2013",1.1953,1.1965,1.1991,1.1938,-0.12%
"Nov 22, 2013",1.1967,1.2012,1.2026,1.1955,-0.41%
"Nov 21, 2013",1.2016,1.1981,1.202,1.1961,0.28%
"Nov 20, 2013",1.1983,1.1903,1.2014,1.1873,0.65%
"Nov 19, 2013",1.1906,1.1927,1.1938,1.1894,-0.19%
"Nov 18, 2013",1.1929,1.1938,1.1962,1.19,-0.14%
"Nov 15, 2013",1.1946,1.1934,1.1966,1.1919,0.08%
"Nov 14, 2013",1.1936,1.1904,1.1964,1.1878,0.25%
"Nov 13, 2013",1.1906,1.1835,1.194,1.1811,0.58%
"Nov 12, 2013",1.1837,1.1925,1.1938,1.1828,-0.75%
"Nov 11, 2013",1.1927,1.1985,1.1995,1.1906,-0.43%
