organization,org_type,units,codes,distribution_type
NATIONAL BUSINESS COLLEGE LIMITED 107164,college,"South Yorkshire, West Yorkshire","UKE3,UKE4",nuts2
North Highland College,college,Highlands and Islands,UKM6,nuts2
UNIVERSITY HOSPITALS OF LEICESTER NATIONAL 118354,college,Leicester,UKF21,nuts3
University Of The West Of England,college,"Bristol, City of",UKK11,nuts3
University of Wales,college,Cardiff and Vale of Glamorgan,UKL22,nuts3
University of Wales Newport,college,Monmouthshire and Newport,UKL21,nuts3
University of the Highlands and Islands,college,Highlands and Islands,UKM6,nuts2
University of the West of Scotland,college,South Western Scotland,UKM3,nuts2
West Highland College,college,Highlands and Islands,UKM6,nuts2
BEDFORD COLLEGE 106319,college,Bedford,UKH24,nuts3
BIRMINGHAM METROPOLITAN COLLEGE 106368,college,Birmingham,UKG31,nuts3
BLACKPOOL AND THE FYLDE COLLEGE 108529,college,Blackpool,UKD42,nuts3
"BOURNEMOUTH AND POOLE COLLEGE, THE 106532",college,Bournemouth and Poole,UKK21,nuts3
BRADFORD COLLEGE 108311,college,Bradford,UKE41,nuts3
BURTON AND SOUTH DERBYSHIRE COLLEGE 105347,college,Derby,UKF11,nuts3
Bedford College,college,Bedford,UKH24,nuts3
Belfast Bible College Limited,college,Belfast,UKN01,nuts3
Belfast Metropolitan College,college,Belfast,UKN01,nuts3
Birmingham Metropolitan College,college,Birmingham,UKG31,nuts3
CASTLE COLLEGE NOTTINGHAM 106977,college,Nottingham,UKF14,nuts3
CENTRAL BEDFORDSHIRE COLLEGE 105017,college,Central Bedfordshire,UKH25,nuts3
CENTRAL COLLEGE NOTTINGHAM 108485,college,Nottingham,UKF14,nuts3
COVENTRY UNIVERSITY 108253,college,Coventry,UKG33,nuts3
Castle College Nottingham,college,Nottingham,UKF14,nuts3
Central Bedfordshire College,college,Central Bedfordshire,UKH25,nuts3
Coventry University,college,Coventry,UKG33,nuts3
Coventry University (Health Design and Technology Institute),college,Coventry,UKG33,nuts3
Coventry University Enterprises,college,Coventry,UKG33,nuts3
DARLINGTON COLLEGE 105941,college,Darlington,UKC13,nuts3
DERBY BUSINESS COLLEGE LIMITED 112490,college,Derby,UKF11,nuts3
DERBY COLLEGE 112173,college,Derby,UKF11,nuts3
DUDLEY COLLEGE 106374,college,Dudley,UKG36,nuts3
Durham University,college,Durham CC,UKC14,nuts3
EAST BERKSHIRE COLLEGE 107745,college,Berkshire,UKJ11,nuts3
EAST DEVON COLLEGE 110213,college,Devon CC,UKK43,nuts3
EAST DURHAM COLLEGE 108659,college,Durham CC,UKC14,nuts3
EAST KENT COLLEGE 106743,college,Kent CC,UKJ42,nuts3
EAST KENT HOSPITALS UNIVERSITY NHS 118570,college,Kent CC,UKJ42,nuts3
EAST SURREY COLLEGE 110214,college,Surrey,UKJ23,nuts3
