"query_country_code","lau","sum"
AT,AT335_70915,101795
AT,AT323_50101,41983374
AT,AT125_31634,651549
AT,AT323_50307,62363
AT,AT313_41106,128932
AT,AT122_32337,2551302
AT,AT224_60435,1088108
AT,AT335_70911,37318
AT,AT314_41521,224071
AT,AT225_61612,229739
AT,AT122_31814,162967
AT,AT313_41603,222584
AT,AT121_30544,116301
AT,AT313_41341,223541
AT,AT113_10510,29429
AT,AT224_60414,46101
AT,AT312_40508,169450
AT,AT222_61239,4456733
AT,AT335_70928,171894
AT,AT225_60315,371571
AT,AT313_41107,56245
AT,AT111_10824,24446
AT,AT126_32142,377220
AT,AT335_70910,80269
AT,AT333_70708,87921
AT,AT322_50626,63642
AT,AT125_31043,133116
AT,AT334_70617,258296
AT,AT223_61305,989647
AT,AT225_60341,136903
AT,AT221_60656,170297
AT,AT112_10312,114946
AT,AT312_41602,206408
AT,AT224_60734,70084
AT,AT314_41509,167745
AT,AT112_10717,172318
AT,AT223_60218,96831
AT,AT126_32132,146160
AT,AT223_61103,157773
AT,AT125_31041,51964
AT,AT225_60316,13952
AT,AT224_61712,232426
AT,AT225_61044,86415
AT,AT341_80121,26185
AT,AT311_40427,1681443
AT,AT121_31514,163453
AT,AT341_80122,595530
AT,AT311_40410,57866
AT,AT124_30913,1028310
AT,AT331_70826,106365
AT,AT125_31052,147330
AT,AT341_80101,705956
AT,AT334_70218,84005
AT,AT311_40820,32715
AT,AT124_32516,102697
AT,AT112_10306,42841
AT,AT321_50501,17595
AT,AT342_80210,70407
AT,AT332_70367,1327995
AT,AT332_70346,1088491
AT,AT223_60213,155700
AT,AT113_10407,36839
AT,AT315_41743,331337
AT,AT213_20923,4904405
AT,AT213_20504,90651
AT,AT222_61224,35907
AT,AT213_20911,126150
AT,AT124_31356,71419
AT,AT311_41216,11759
AT,AT122_31842,5382
AT,AT112_10609,131128
AT,AT341_80115,332963
AT,AT322_50601,322087
AT,AT124_31326,55083
AT,AT112_10614,47656
AT,AT113_10932,15161
AT,AT312_41604,97585
AT,AT124_32522,92403
AT,AT322_50612,153137
AT,AT121_32002,2832915
AT,AT341_80236,454311
AT,AT332_70330,102479
AT,AT314_40903,46202
AT,AT221_60614,240208
AT,AT224_61509,71755
AT,AT313_41333,21483
AT,AT121_30501,228678
AT,AT224_60402,14210
AT,AT130_90001,410661093
AT,AT124_30910,113611
AT,AT314_40917,138362
AT,AT313_41314,55806
AT,AT311_40808,1382679
AT,AT221_60647,42050
AT,AT224_61508,73762
AT,AT335_70912,388548
AT,AT226_60823,162816
AT,AT224_61745,84587
AT,AT224_61744,45201
AT,AT112_10706,44590
AT,AT224_60413,31541
AT,AT125_31636,44256
AT,AT335_70907,282337
AT,AT225_60343,2316282
AT,AT341_80209,537457
AT,AT124_30906,28833
AT,AT122_32318,241308
AT,AT221_60616,24304
AT,AT125_31035,100058
AT,AT312_41617,233843
AT,AT224_61706,80178
AT,AT226_60904,92435
AT,AT221_60602,108115
AT,AT315_41708,711203
AT,AT112_10606,397524
AT,AT321_50514,14010
AT,AT127_32417,38788
AT,AT341_80103,1682566
AT,AT334_70205,67699
AT,AT212_21006,196968
AT,AT125_31028,77162
AT,AT313_41302,22567
AT,AT121_32003,532343
AT,AT221_60629,329701
AT,AT332_70331,203119
AT,AT212_20610,83467
AT,AT315_41742,499155
AT,AT123_31904,68474
