query_country_code,lau,sum
BE,BE236_46020,235986.2489956270096
BE,BE322_52025,940892.741533373470922
BE,BE331_61031,1907919.789464870435492
BE,BE242_24043,848492.8431903511008
BE,BE253_33041,119858.68219685857565
BE,BE211_11050,245974.3134704316030
BE,BE323_53053,76787527.05807414908996
BE,BE322_52055,1349822.365711944141346
BE,BE335_63046,436619.761725361079014
BE,BE241_23103,218615.3800919334606
BE,BE327_57027,793423.295403234328420
BE,BE241_23077,575433.9157197309243
BE,BE335_63084,697345.485347181685778
BE,BE327_57064,2197483.769217881488775
BE,BE256_36007,357213.6766833318601
BE,BE254_34009,459764.5530407614063
BE,BE213_13053,241948.1372662358423
BE,BE255_35011,627255.5222138682919
BE,BE213_13012,142921.5686550959840
BE,BE100_21018,806868.0018994642
BE,BE213_13044,125067.1438237105673
BE,BE221_71047,798790.9920041250214
BE,BE342_82032,589435.612374273931619
BE,BE241_23062,461411.5101821447773
BE,BE223_73009,531702.5092411139860
BE,BE241_23094,5065616.7987528308308
BE,BE253_33037,424125.0148041662721
BE,BE334_64025,262537.830466478282074
BE,BE325_55010,1889721.683152402219984
BE,BE332_62011,630281.106379018529271
BE,BE326_56001,934319.798544300998506
BE,BE232_42003,169577.4763346078281
BE,BE326_56078,2605130.764047360451872
BE,BE241_23081,289374.0277154840026
BE,BE310_25110,3177953.30161871362523
BE,BE353_93056,1627916.709571414705426
BE,BE253_33040,422463.7367835595023
BE,BE335_63086,202879.496406625402790
BE,BE353_93022,835725.653708208616631
BE,BE211_11004,197398.2451917846964
BE,BE351_91030,2659047.433254956440414
BE,BE255_35014,453209.0858247817450
BE,BE213_13035,230521.9947341811629
BE,BE211_11053,313831.1546134449955
BE,BE327_57072,404797.098717289010365
BE,BE253_33039,231650.0227850538812
BE,BE241_23064,77727.3740558550903
BE,BE222_72041,1133911.9773645346699
BE,BE255_35029,504349.5004035687307
BE,BE223_73001,614348.7747932636155
BE,BE332_62100,1064087.054358065846411
BE,BE335_63038,665424.400752410902381
BE,BE323_53070,3028274.95350761513560
BE,BE213_13004,512471.4631809903311
BE,BE100_21003,1471097.05426620311
BE,BE251_31005,7091784.654522323829
BE,BE332_62027,420748.509141990030773
BE,BE326_56088,364798.33589354109211
BE,BE258_38002,148649.2591498070522
BE,BE351_91059,516537.129531526717482
BE,BE242_24137,101186.4933201405921
BE,BE327_57003,645430.938390417978204
BE,BE352_92094,28541459.70072196391972
