"query_country_code","lau","sum"
BG,BG322_72998,1791
BG,BG425_66740,248758
BG,BG422_65588,139099
BG,BG342_15944,3626486
BG,BG421_23385,641862
BG,BG321_22232,2275233
BG,BG313_69972,268364
BG,BG324_87624,1904026
BG,BG421_51980,14945942
BG,BG314_32531,282932
BG,BG415_15446,103525
BG,BG421_11627,799156
BG,BG425_20755,346206
BG,BG423_86115,129292
BG,BG414_72223,2067568
BG,BG412_31228,306740
BG,BG412_53607,388916
BG,BG341_06553,1063
BG,BG343_48787,723008
BG,BG332_63046,17057
BG,BG334_58298,97075
BG,BG422_05904,800
BG,BG332_03157,569
BG,BG325_35938,23085
BG,BG422_05298,813
BG,BG325_22798,313394
BG,BG321_83418,1024
BG,BG413_44762,711
BG,BG325_03527,690
BG,BG321_40035,462
BG,BG341_67920,479770
BG,BG312_59118,110746
BG,BG332_40097,936346
BG,BG424_39637,2374
BG,BG315_03486,1188
BG,BG344_53576,474376
BG,BG412_17289,1362
BG,BG424_31351,780
BG,BG334_37811,341219
BG,BG312_38159,467894
BG,BG321_52057,589
BG,BG325_70665,77888
BG,BG344_06478,345
BG,BG311_61011,578047
BG,BG332_67622,282202
BG,BG313_49223,1002647
BG,BG332_53120,3218542
BG,BG333_69729,37996
BG,BG412_14461,1235780
BG,BG325_04772,1217
BG,BG334_15045,18396
BG,BG415_68535,55854
BG,BG311_73924,132794
BG,BG341_30234,607857
BG,BG425_35732,26653
BG,BG325_15031,1418399
BG,BG415_39116,1576512
BG,BG415_23323,64053
BG,BG422_69691,510974
BG,BG331_38114,400119
BG,BG321_20434,1024
BG,BG311_61039,350441
BG,BG424_20465,5855690
BG,BG334_47634,905152
BG,BG341_62102,312955
BG,BG323_22277,482672
BG,BG332_22988,649249
BG,BG425_68151,828
BG,BG342_65499,1763837
BG,BG331_61741,1720368
BG,BG424_73883,869
BG,BG341_29249,232874
BG,BG424_11572,1187
BG,BG421_14996,119234
BG,BG334_21703,147168
BG,BG425_87672,482710
BG,BG315_87014,3161322
BG,BG322_00641,345
BG,BG323_03808,550
BG,BG322_24133,582
BG,BG421_34028,4226363
BG,BG321_61892,462
BG,BG333_17573,705054
BG,BG332_77284,123579
BG,BG311_41263,1226734
BG,BG421_49117,253768
BG,BG413_77414,785
BG,BG325_00240,417
BG,BG324_70860,719
BG,BG313_73643,4209292
BG,BG322_16376,605408
BG,BG413_49179,143540
BG,BG341_00271,2659
BG,BG425_12423,849
BG,BG323_55988,329306
BG,BG422_06803,713
BG,BG413_37263,88332
BG,BG422_20674,71331
BG,BG321_72312,1024
BG,BG425_48845,509171
BG,BG414_65084,154609
BG,BG344_44687,137516
BG,BG315_05445,1188
BG,BG334_57008,666319
BG,BG422_66831,250581
BG,BG413_04399,746
BG,BG425_53713,695
BG,BG314_53583,1507782
BG,BG323_39520,414864
BG,BG322_14218,109994033
BG,BG331_51826,156014
BG,BG412_18294,189198
BG,BG322_02207,345
BG,BG321_87326,20328
BG,BG321_56602,269193
BG,BG322_46869,1001
BG,BG425_22784,1148
BG,BG323_78433,78824
BG,BG321_06015,345
BG,BG421_39579,2061230
BG,BG312_80354,40169
BG,BG322_49237,1791
BG,BG315_83212,1056469
BG,BG414_20256,170601
BG,BG323_06673,510
BG,BG341_21141,813548
BG,BG334_39368,557
BG,BG423_55155,55190228
BG,BG344_20211,2494
BG,BG425_87309,758
BG,BG425_29564,828
BG,BG315_23060,190803
BG,BG325_38707,174108
BG,BG313_43462,484362
BG,BG322_47127,582
BG,BG421_72093,808036
BG,BG413_14581,317619
BG,BG424_57916,1187
BG,BG323_80652,95886
BG,BG424_40806,898
BG,BG321_22160,969230
BG,BG331_00624,469
BG,BG321_03054,462
BG,BG341_67307,27165
BG,BG412_65419,345524
BG,BG413_77222,424632
BG,BG321_62270,1024
BG,BG333_67708,2385172
BG,BG415_72045,255098
BG,BG425_57039,281105
BG,BG344_70586,2288253
BG,BG334_16420,210456
BG,BG321_81668,589
BG,BG332_57861,16069
BG,BG414_03887,847
BG,BG344_10224,291924
BG,BG411_39791,2842877
BG,BG424_40326,801
BG,BG321_80515,462
BG,BG414_02230,862
BG,BG412_56558,13868
BG,BG423_32888,1791932
BG,BG425_56589,136696
BG,BG343_35794,525954
BG,BG342_66812,482093
BG,BG322_37575,1001
BG,BG422_48297,713
BG,BG312_22945,174866
BG,BG412_44389,303659
BG,BG321_66189,1024
BG,BG423_55556,1091697
BG,BG425_15878,516432
BG,BG421_46752,421718
BG,BG322_51603,1001
BG,BG415_61457,108008
BG,BG322_57546,1001
BG,BG343_69883,65980
BG,BG343_80306,540799
BG,BG422_61131,2743
BG,BG311_24431,400444
BG,BG425_18410,1481
BG,BG325_32839,932445
BG,BG344_46098,865790
BG,BG334_38323,89750
BG,BG321_02364,1024
BG,BG332_57234,187708
BG,BG412_43832,1103
BG,BG333_02244,441
BG,BG425_24459,695
BG,BG412_61652,34363
BG,BG424_32559,869
BG,BG415_31200,69667
BG,BG411_44063,10307164
BG,BG341_00833,2659
BG,BG322_87120,1129916
BG,BG315_03558,1188
BG,BG322_39685,1001
BG,BG413_06306,1255
BG,BG424_78505,921
BG,BG423_70648,145636
BG,BG334_32473,234131
BG,BG311_54434,53481
BG,BG322_21261,15723
BG,BG422_11867,896523
BG,BG322_07185,345
BG,BG425_86030,1287
BG,BG314_03068,757
BG,BG414_76114,182935
BG,BG415_23282,380870
BG,BG325_58709,102182
BG,BG324_17498,326660
BG,BG343_23978,225940
BG,BG341_11096,904100
BG,BG312_03722,1208
BG,BG414_05760,841
BG,BG412_77236,1192
BG,BG341_10327,441576
BG,BG312_14283,250170
BG,BG333_23340,732622
BG,BG421_06361,720
BG,BG344_03407,1454
BG,BG425_18321,210109
BG,BG322_22352,582
BG,BG415_38474,415688
BG,BG424_00669,345
BG,BG311_10937,122311
BG,BG324_58877,130498
BG,BG315_20420,255836
BG,BG321_30721,462
BG,BG415_38635,173991
BG,BG425_30154,191764
BG,BG412_22229,1027
BG,BG322_11507,1001
BG,BG332_58935,55334
BG,BG422_59197,800
BG,BG414_27601,49147
BG,BG421_23950,189737
BG,BG322_07404,345
BG,BG313_43400,364359
BG,BG413_35105,41346
BG,BG344_70531,166947
BG,BG315_03143,1498
BG,BG314_53655,536074
BG,BG322_57532,1791
BG,BG425_07747,1148
BG,BG325_05124,405
BG,BG321_23431,770520
BG,BG414_29622,130105
BG,BG321_53014,406779
BG,BG311_66473,473923
BG,BG313_37798,7578487
BG,BG423_66202,1712789
BG,BG413_24267,1515552
BG,BG422_12382,473036
BG,BG313_63450,586984
BG,BG341_38947,367754
BG,BG425_44080,203820
BG,BG321_36837,2385886
BG,BG424_07911,869
BG,BG412_03890,1027
BG,BG331_37037,46261
BG,BG425_49480,758
BG,BG315_32500,927
BG,BG425_65961,1287
BG,BG334_68881,14494
BG,BG424_14605,54607
BG,BG425_48917,1287
