"query_country_code","lau","sum"
DK,DK042_8127,173808
DK,DK042_8133,6005
DK,DK022_7549,4641
DK,DK031_7727,9865
DK,DK041_9130,307124
DK,DK050_8466,98581
DK,DK042_9262,7796
DK,DK022_7668,29235
DK,DK022_7672,804782
DK,DK031_9139,544918
DK,DK050_8662,25239
DK,DK022_7366,9617
DK,DK031_7882,37539
DK,DK031_7677,279189
DK,DK032_8981,57494
DK,DK022_7363,475372
DK,DK050_8722,133626
DK,DK013_7415,152859
DK,DK021_7168,255579
DK,DK022_9249,39312
DK,DK042_8211,24475
DK,DK042_8213,135142
DK,DK032_9286,208646
DK,DK041_9209,10144
DK,DK032_8983,96116
DK,DK013_7395,62876
DK,DK032_7911,98340
DK,DK032_8944,23825
DK,DK041_8602,58785
DK,DK050_8317,40742
DK,DK042_8196,18204
DK,DK041_8539,1672
DK,DK032_8993,180555
DK,DK022_7254,27155
DK,DK031_9257,2683
DK,DK041_8000,30275
DK,DK041_8554,1356
DK,DK032_9011,113265
DK,DK032_7982,203112
DK,DK050_8422,344421
DK,DK041_8587,2945
DK,DK042_8219,15281
DK,DK032_7946,144833
DK,DK050_8678,11855
DK,DK050_8518,26054
DK,DK021_7179,94625
DK,DK050_8373,2554166
DK,DK041_8780,36816
DK,DK013_7407,80668
DK,DK042_8224,2704
DK,DK041_8770,186199
DK,DK041_8836,328771
DK,DK050_8644,93671
DK,DK050_8401,330060
DK,DK050_8483,26557
DK,DK041_8781,50475
DK,DK042_8230,1078
DK,DK022_7291,25681
DK,DK050_8409,12835
DK,DK032_9099,214866
DK,DK022_7551,6875
DK,DK050_8274,22267
DK,DK022_7349,70325
DK,DK031_7849,5791
DK,DK050_8451,302239
DK,DK013_7457,13094
DK,DK022_7337,50408
DK,DK031_7709,66853
DK,DK041_8603,77573
DK,DK041_8805,114197
DK,DK042_8513,24152
DK,DK042_8263,2460
DK,DK032_8884,9809
DK,DK031_9131,1629198
DK,DK022_7475,40597
DK,DK032_8887,36749
DK,DK042_8610,33095
DK,DK032_8895,144074
DK,DK042_7955,3259
DK,DK013_7423,74309
DK,DK042_7994,54913
DK,DK042_8264,17842
DK,DK041_8484,11499
DK,DK021_7177,101990
DK,DK042_8045,9592
DK,DK042_8046,5198
DK,DK050_8431,40689
DK,DK042_9151,116748
DK,DK013_7444,168196
DK,DK012_7155,664492
DK,DK031_7807,6840
DK,DK022_7550,16214
DK,DK032_9026,32880
DK,DK032_9092,1182602
DK,DK011_7062,1648136
DK,DK031_7778,466664
DK,DK050_8710,113899
DK,DK032_8962,91203
DK,DK041_8754,55813
DK,DK031_7889,4487
DK,DK042_8041,4591
DK,DK041_8776,35560
DK,DK041_9275,26611
DK,DK042_8486,2414
DK,DK050_9227,420
DK,DK041_7974,57594
DK,DK042_8112,27711
DK,DK022_7510,381056
DK,DK031_7796,66382
DK,DK032_9024,80602
DK,DK022_7259,73530
DK,DK041_8639,10322
DK,DK042_8227,1016
DK,DK021_9108,90411
DK,DK042_8236,1800
DK,DK031_7744,14554
DK,DK031_7838,47815
DK,DK032_9054,49049
DK,DK021_7159,1726513
DK,DK032_8953,74999
DK,DK022_7323,11484
DK,DK022_7496,12440
DK,DK041_8839,10931
DK,DK031_7734,17813
DK,DK032_9016,71031
DK,DK022_7513,10030
DK,DK050_8350,85566
DK,DK050_8452,130149
DK,DK022_9160,247729
DK,DK032_8976,40012
DK,DK050_8471,8261
DK,DK050_8671,20586
DK,DK041_8769,331658
DK,DK022_7494,19410
DK,DK011_7025,1132497
DK,DK031_7776,1306108
DK,DK013_7413,3668
DK,DK022_7364,153876
DK,DK022_7579,102021
DK,DK050_8304,106262
DK,DK022_7336,12700
DK,DK032_7981,10542
DK,DK042_8109,847362
DK,DK031_7810,35634
DK,DK041_8641,22500
DK,DK041_8789,174595
DK,DK050_8377,4010149
DK,DK022_7486,89033
DK,DK042_8059,3291
DK,DK050_8687,111036
DK,DK042_8142,1652
DK,DK014_7573,150267
DK,DK041_9091,75220
DK,DK022_7616,26660
DK,DK041_8809,77166
DK,DK021_7175,99638
DK,DK031_7712,55163
DK,DK022_7654,91157
DK,DK022_7651,474058
DK,DK032_8896,68248
DK,DK012_9134,976313
DK,DK031_7818,13515
DK,DK050_8436,129688
DK,DK050_8444,179644
DK,DK050_8205,19430
DK,DK042_9132,91793
DK,DK032_7894,513007
DK,DK012_7135,3512
DK,DK041_8533,4867
DK,DK041_8822,2218
DK,DK041_8808,42960
DK,DK042_8488,5474
DK,DK041_8581,3929
DK,DK042_8087,55929
DK,DK022_7463,15500
DK,DK022_7650,79382
DK,DK041_8739,43295
DK,DK042_7961,11880
DK,DK013_9240,27621
DK,DK031_7722,42558
DK,DK050_8333,2145970
DK,DK042_8232,2692
DK,DK011_7070,277934
DK,DK013_7460,26097
DK,DK031_7881,72671
DK,DK042_8247,286161
DK,DK050_8724,98380
DK,DK032_8979,22548
DK,DK011_7061,998131
DK,DK031_7692,141261
DK,DK012_7122,11499
DK,DK041_8625,7719
DK,DK031_7829,156155
DK,DK042_8064,5139
DK,DK041_8655,22719
DK,DK013_7427,3188
DK,DK022_7365,27773
DK,DK032_9273,21629
DK,DK050_8725,18469
DK,DK050_8734,89918
DK,DK041_9276,29280
DK,DK011_7057,1539488
DK,DK031_7803,10620
DK,DK041_8823,13982
DK,DK022_7481,257719
DK,DK041_8851,10040
DK,DK031_7798,59442
DK,DK041_8538,1163
DK,DK042_8175,1345
DK,DK042_8076,2419
DK,DK031_9148,1250525
DK,DK022_7360,67114
DK,DK032_8900,391467
DK,DK031_7790,885993
DK,DK022_7646,428987
DK,DK031_7824,144807
DK,DK022_7628,108211
DK,DK022_7522,77910
