query_country_code,lau,sum
FI,FI1D1_213,6847721.16152865507
FI,FI1D6_255,4913539.73572504992
FI,FI1D7_047,2104391.76514018239
FI,FI1C1_019,1277149.64161394863
FI,FI1C4_489,1134121.36170199822
FI,FI1B1_858,3845172.8706102398
FI,FI200_766,7887.9735265858276
FI,FI1D1_618,4085812.39825640435
FI,FI200_417,95034.305048308029
FI,FI197_887,2440014.8719778098
FI,FI1D6_436,1076189.06449968626
FI,FI1B1_504,276238.33531247676
FI,FI193_992,10407853.8670682183
FI,FI1D1_491,79413525.1828803662
FI,FI1C1_322,3113359.05520367606
FI,FI1D1_768,3985223.30761817414
FI,FI1D7_758,18127961.65186101245
FI,FI197_108,2292668.15591880489
FI,FI1C3_398,44797713.3120281756
FI,FI197_837,70160213.069805922
FI,FI1D6_977,13927539.67083623083
FI,FI197_604,3598672.51516148442
FI,FI195_905,16875737.6162638088
FI,FI1D3_848,5839200.1624771524
FI,FI1D2_925,5227467.62970746888
FI,FI1D6_071,5765779.46277082394
FI,FI200_295,22401.844815505254
FI,FI1D3_260,14577029.9058777042
FI,FI1D3_248,2525452.83857813911
FI,FI1D7_845,8271155.87502889826
FI,FI1D4_620,2927930.36973557037
FI,FI1D1_593,31435305.0460279538
FI,FI1D5_924,3600862.14980012376
FI,FI1D6_317,2635611.39702202183
FI,FI1C2_086,2410194.51266322458
FI,FI1C1_838,142485.42148261027
FI,FI200_771,64933.798070857526
FI,FI200_065,28081.185754645068
FI,FI1C2_061,11076413.0857572262
FI,FI196_413,158815.96303668676
FI,FI193_275,1163181.79960659635
FI,FI1D5_074,1576662.829924470374
FI,FI1D2_476,442185.34057717579
FI,FI1D2_174,4616435.71694560661
FI,FI1C2_109,13372325.4337620728
FI,FI1D4_765,26245804.71558334749
FI,FI1D7_498,4132181.40604599213
FI,FI1C3_532,5844148.58141254683
FI,FI197_790,12242711.6191379723
FI,FI1D1_246,4282359.27393164512
FI,FI1B1_106,6975237.4719489937
FI,FI1D3_911,2403103.66082359264
FI,FI1C3_560,7290039.03329585735
FI,FI1C5_441,1782756.08649504952
FI,FI1B1_078,1169863.00702688333
FI,FI197_581,3268218.72394813789
FI,FI1B1_091,81023486.917111664
FI,FI195_280,893929.42339719493
FI,FI1C1_529,3981696.8882597205
FI,FI1D5_236,4643564.49913897071
FI,FI197_536,9170005.3159951866
FI,FI197_635,2651684.27794621942
FI,FI196_102,5169196.95470463772
FI,FI1D6_139,6716804.66352534842
FI,FI1D4_105,3867555.05789868001
FI,FI193_435,226111.220652566499
FI,FI1D2_204,6184383.29389267718
FI,FI1D1_178,7650756.16982990103
FI,FI193_592,1694961.38800575795
FI,FI1C1_423,4399410.51233067139
FI,FI193_729,9509174.31746401852
FI,FI1B1_235,1366917.70259467795
FI,FI1D2_239,3926601.37929818983
FI,FI197_177,2118989.42558731082
FI,FI197_562,2980416.74947695313
FI,FI1C3_016,3302363.16428000179
FI,FI1C1_561,457159.428068021093
FI,FI197_936,3793201.38842781817
FI,FI1B1_927,3361087.6232072447
FI,FI1C3_081,1780338.05838115217
FI,FI1D2_263,7922185.55270064749
FI,FI194_233,9362071.3859592792
FI,FI194_010,3729370.59699138147
FI,FI1D6_678,15714481.6654475336
FI,FI194_218,704939.763956655567
FI,FI1D3_146,9168077.72483498974
FI,FI1C5_153,10691201.6554324834
FI,FI1D2_140,30086433.9723904657
FI,FI1D6_625,2766554.74288523666
FI,FI1D1_681,6507802.16170085691
FI,FI1D3_607,5996671.18094314264
FI,FI200_941,26756.006202175344
FI,FI1C4_286,39133811.4511719057
FI,FI197_211,7020223.6909093111
FI,FI195_440,1594639.3101445073
FI,FI196_214,6942064.66902266059
FI,FI1D1_171,5425877.99629576728
FI,FI193_892,1056735.18706225657
FI,FI197_143,1853283.8948039455
FI,FI1D5_421,987159.074840844971
FI,FI1D6_009,1919971.97171561422
FI,FI194_989,3366078.12052249713
FI,FI196_050,5932395.098369141
FI,FI1D1_623,2005837.15999926602
FI,FI1C1_738,665701.98651967824
FI,FI200_060,153594.62050967864
FI,FI1D6_615,11354575.36759083172
FI,FI1D7_698,74146999.1062804227
FI,FI194_301,5823261.10613485903
FI,FI196_609,46960577.1167661149
FI,FI1D6_791,4249598.21750680597
FI,FI1C1_761,2210139.20335794753
FI,FI194_846,4083498.61344154693
FI,FI197_908,10187813.0677956795
FI,FI1C2_165,2904882.11128221372
FI,FI1D6_084,9135833.842023412
FI,FI1B1_540,711420.85010727017
FI,FI193_931,6433204.01452789031
FI,FI1D6_069,8294711.37681192322
FI,FI1D1_097,3170441.07296379322
FI,FI1D6_889,2199507.49823589146
FI,FI1D6_567,8661535.6902915136
FI,FI1D6_208,18710513.64995013598
FI,FI196_531,2663684.03044191948
FI,FI1B1_257,3843367.3472786151
FI,FI197_702,2447296.98367883799
FI,FI193_216,2423104.373276020015
FI,FI196_484,1839455.31678635741
FI,FI196_271,3530537.57588845866
FI,FI1C3_316,1802847.01045335919
FI,FI1D6_072,803194.638922241875
FI,FI194_863,1234509.84199661503
FI,FI1D2_534,6817851.30941855931
FI,FI197_418,4987244.2871631064
FI,FI1D1_696,3834289.75960212194
FI,FI1D3_309,15491504.97756920502
FI,FI194_151,1246564.19713512431
FI,FI1D5_584,4134969.39014907756
FI,FI1B1_755,675839.29358905358
FI,FI1D1_090,3579848.09819141449
FI,FI197_508,5940779.92735646142
FI,FI1C1_481,1810557.53200920113
FI,FI194_759,852312.96019668007
FI,FI193_601,4947596.35672955005
FI,FI1C1_853,46064370.2734733418
FI,FI196_684,21020102.7740322658
FI,FI193_172,2827260.43708536206
FI,FI196_747,977416.53573678319
FI,FI1C1_704,1197343.68306339968
FI,FI1C5_580,2213995.75841954699
FI,FI1C1_304,641335.020825646646
FI,FI1D6_563,5606894.35346298156
FI,FI1C3_111,11412889.3258061955
FI,FI195_598,6258345.5156207114
FI,FI1C1_503,1679662.05585975689
FI,FI1C1_202,6731909.9033776408
FI,FI193_226,6191828.45506865654
FI,FI1C1_734,15777628.5044046157
FI,FI194_232,8240358.79271854121
FI,FI1B1_224,1020057.36216935618
FI,FI200_478,640377.24278223064
FI,FI1D2_921,1286207.071397426
FI,FI1D6_305,24690693.3012585426
FI,FI1B1_753,2213762.1789984243
FI,FI1C1_577,2362783.61266454281
FI,FI1D3_276,16230123.43505740226
FI,FI194_005,6673989.23642060604
FI,FI1D4_697,1223310.599776614351
FI,FI1D6_972,597869.26405355582
FI,FI1D4_785,3199339.60241254651
FI,FI194_145,3301505.30256301133
FI,FI1D4_578,4130885.63737303664
FI,FI193_265,937122.624072640429
FI,FI1B1_505,2027733.85118676
FI,FI1D6_626,8389443.33212891719
FI,FI196_783,2511272.72926697188
FI,FI1D3_426,15080914.41659048753
FI,FI196_051,2879442.1250527241
FI,FI193_249,7282488.95832787767
FI,FI200_043,57172.032120694519
FI,FI1D6_535,15636170.30629038167
FI,FI1D6_746,3900599.53243911593
FI,FI1C5_775,177972.818098943055
FI,FI1C3_576,981029.10796436749
FI,FI1D6_691,3297260.22861834832
FI,FI1D6_630,4594020.75639268463
FI,FI196_319,988244.81569914984
FI,FI196_442,1636203.97513869222
FI,FI193_182,12326759.1573162862
FI,FI1D7_241,8069722.50754559447
FI,FI194_052,2201063.33812242002
FI,FI193_500,4465719.4152306462
FI,FI194_408,5364825.6453768204
FI,FI1D2_297,144101384.1475215868
FI,FI1C5_831,1374651.82138876173
FI,FI1C5_405,38690875.0815373646
FI,FI1B1_543,4333194.0350501073
FI,FI1D6_859,2576312.9788735204
FI,FI1C2_694,10746558.6744922704
FI,FI194_164,2604797.71339644555
FI,FI1D7_890,1574538.027757763491
FI,FI197_619,733195.08941777389
FI,FI1D3_167,135838060.4820484015
FI,FI1D2_595,3449590.98061424784
FI,FI1D7_851,26893460.9097129696
FI,FI1C1_284,1039411.36355264645
FI,FI195_288,1450234.0131418363
FI,FI1D1_507,8465642.67381703443
FI,FI1B1_616,279229.45984769644
FI,FI195_946,2394127.71321592869
FI,FI1B1_149,657944.87965123769
FI,FI1C2_981,1006493.05256627856
FI,FI1D7_261,12859213.85223620095
FI,FI1C5_689,1050340.14447713102
FI,FI1D2_402,9095254.43900865571
FI,FI196_230,1445307.45988061112
FI,FI193_077,1946394.03948629332
FI,FI195_893,2176857.98428101989
FI,FI1B1_638,7239370.4783711915
FI,FI195_231,827791.88854856284
FI,FI1C1_445,6861195.86209878717
FI,FI1D6_483,673247.914298253988
FI,FI1B1_049,38107464.670894243
FI,FI1D5_849,6187644.32672549051
FI,FI1D1_046,1444581.07616323186
FI,FI197_250,1265073.16213737382
FI,FI1D6_425,6929191.89862563967
FI,FI196_099,716856.8012058429
FI,FI1C4_075,8047470.6916950623
FI,FI1D2_686,2096211.20711842161
FI,FI1D7_683,4329629.64350518951
FI,FI200_438,22969.778909418824
FI,FI1D7_583,5174077.881304148078
FI,FI1B1_434,2167908.58774196962
FI,FI1C4_935,1546525.51051800198
FI,FI200_318,18868.032675594791
FI,FI196_181,671380.70206329541
FI,FI194_300,2270912.08697753762
FI,FI197_922,914024.68557098613
FI,FI1D1_740,42005126.8392525281
FI,FI193_410,8531300.2940393036
FI,FI1C4_285,28006305.192765654
FI,FI1D2_762,3404793.28002715797
FI,FI195_399,2178585.15905566915
FI,FI195_499,6448991.4962494273
FI,FI1D7_742,1086411.105672501647
