query_country_code,lau,sum
FR,FR611_24336,70193
FR,FR716_69064,549148
FR,FR624_32031,16880
FR,FR432_39278,21714
FR,FR514_72123,5694
FR,FR910_97113,24858649
FR,FR621_09128,36459
FR,FR531_16329,87721
FR,FR261_21646,129564
FR,FR623_31278,43369
FR,FR214_52445,10863
FR,FR721_03164,24380
FR,FR718_74268,1764573
FR,FR251_14752,559811
FR,FR421_67260,18147
FR,FR814_48038,53023
FR,FR625_46006,38760
FR,FR411_54039,808551
FR,FR431_25220,64374
FR,FR261_21263,86890
FR,FR813_34205,37912
FR,FR411_54336,188125
FR,FR213_51057,9538
FR,FR633_87118,168861
FR,FR533_79070,45296
FR,FR532_17338,313508
FR,FR718_74263,466824
FR,FR102_77286,1041
FR,FR414_88464,45913
FR,FR251_14670,62787
FR,FR628_82059,34807
FR,FR615_64409,106518
FR,FR421_67297,53915
FR,FR251_14502,18461
FR,FR263_71483,69648
FR,FR432_39525,45126
FR,FR301_59628,135666
FR,FR211_08141,26321
FR,FR231_27693,131241
FR,FR102_77412,1405
FR,FR261_21048,33239
FR,FR717_73077,50078
FR,FR715_42230,125200
FR,FR512_49142,13387
FR,FR511_44090,190122
FR,FR621_09130,181708
FR,FR263_71111,53294
FR,FR432_39007,18254
FR,FR223_80276,49444
FR,FR302_62694,36140
FR,FR246_45293,79072
FR,FR414_88294,22529
FR,FR714_38266,46849
FR,FR531_16420,38674
FR,FR232_76210,53217
FR,FR514_72152,51154
FR,FR244_37007,13975
FR,FR222_60283,2275
FR,FR722_15216,79292
FR,FR523_35038,38309
FR,FR414_88065,23236
FR,FR223_80410,1054741
FR,FR212_10441,27199
FR,FR212_10304,18744
FR,FR514_72325,95817
FR,FR103_78138,5871553
FR,FR628_82131,196808
FR,FR714_38474,1313134
FR,FR611_24127,36431
FR,FR522_29220,816484
FR,FR614_47201,2769204
FR,FR813_34047,61321
FR,FR717_73204,56819
FR,FR533_79225,112090
FR,FR422_68382,88614
FR,FR531_16137,35453
FR,FR612_33186,128430
FR,FR261_21010,26228
FR,FR223_80759,34265
FR,FR811_11261,76441
FR,FR533_79048,1255681
FR,FR615_64487,32335
FR,FR223_80375,67103
FR,FR813_34199,1354180
FR,FR422_68266,136250
FR,FR723_43128,13366
FR,FR231_27658,26628
FR,FR231_27162,20970
FR,FR826_84101,8861
FR,FR213_51591,49013
FR,FR421_67006,18977
FR,FR245_41286,10724
FR,FR813_34229,102028
FR,FR532_17458,18805
FR,FR431_25447,21341
FR,FR714_38524,736049
FR,FR263_71504,5552
FR,FR621_09334,135235
FR,FR432_39494,31824
FR,FR514_72177,33084
FR,FR302_62712,178149
FR,FR211_08500,9430
FR,FR611_24333,8337
FR,FR624_32065,32691
FR,FR611_24183,40514
FR,FR712_07081,12013
FR,FR814_48176,7017
FR,FR721_03236,311674
FR,FR813_34095,1055573
FR,FR825_83148,183511
FR,FR302_62102,39901
FR,FR521_22072,14706
FR,FR412_55243,22462
FR,FR302_62623,113066
FR,FR512_49333,408236
FR,FR811_11023,310222
FR,FR821_04170,1679
FR,FR533_79118,40248
FR,FR832_2B093,669703
FR,FR422_68319,61080
FR,FR824_13096,5323294
FR,FR102_77295,15396
FR,FR231_27055,35011
FR,FR813_34296,160777
FR,FR212_10065,12135
FR,FR623_31407,181849
FR,FR246_45327,276972
FR,FR246_45202,83297
FR,FR302_62398,46908
FR,FR262_58070,7822
FR,FR221_02089,89704
FR,FR714_38087,452469
FR,FR531_16059,18232
FR,FR232_76010,68248
FR,FR104_91184,2250
FR,FR522_29277,251681
FR,FR713_26247,12619
FR,FR515_85082,280641
FR,FR515_85306,52423
FR,FR623_31114,24945
FR,FR628_82098,141934
FR,FR724_63330,33380
FR,FR413_57756,31150
FR,FR433_70228,98419
FR,FR532_17043,56669
FR,FR513_53276,107942
FR,FR711_01081,62946
FR,FR223_80124,119379
FR,FR811_11171,3135
FR,FR231_27631,31671
FR,FR718_74185,150638
FR,FR213_51454,42190480
FR,FR718_74164,547092
FR,FR626_65186,0
FR,FR413_57389,45363
FR,FR625_46125,55461
FR,FR714_38248,65750
FR,FR825_83044,5912
FR,FR724_63088,6906
FR,FR624_32465,70694
FR,FR102_77411,2157
FR,FR622_12133,703718
FR,FR611_24475,34710
FR,FR221_02119,20190
FR,FR613_40005,22615
FR,FR822_05101,61603
FR,FR713_26001,26485
FR,FR512_49368,179942
FR,FR513_53198,26267
FR,FR212_10288,38915
FR,FR814_48041,9555
FR,FR625_46128,440452
FR,FR222_60541,40974
FR,FR232_76079,15185
FR,FR422_68201,418870
FR,FR624_32438,12409
FR,FR826_84100,1366
FR,FR421_67445,468820
FR,FR432_39140,3818
FR,FR301_59083,44283
FR,FR628_82176,56511
FR,FR222_60013,119361
FR,FR432_39026,14889
FR,FR413_57204,48712
FR,FR632_23041,47992
FR,FR302_62434,33133
FR,FR302_62680,117930
FR,FR411_54349,14791
FR,FR811_11034,77403
FR,FR252_50442,58834
FR,FR717_73253,74242
FR,FR261_21195,9459
FR,FR822_05130,369687
FR,FR253_61418,53024
FR,FR213_51578,13420
FR,FR263_71478,12130
FR,FR433_70017,25222
FR,FR812_30301,24106
FR,FR613_40048,34564
FR,FR813_34013,161269
FR,FR513_53196,22819
FR,FR245_41274,8454
FR,FR712_07029,26352
FR,FR623_31333,7185
FR,FR626_65151,9203
FR,FR414_88309,13582
FR,FR301_59192,209454
FR,FR413_57613,181299
FR,FR524_56143,294463
FR,FR301_59407,77733
FR,FR626_65041,14155
FR,FR825_83110,21491
FR,FR241_18183,11717
FR,FR243_36127,177043
FR,FR612_33155,20503
FR,FR716_69196,36066
FR,FR102_77367,2215
FR,FR832_2B156,3335
FR,FR251_14515,2340187
FR,FR104_91248,1165
FR,FR717_73250,360929
FR,FR214_52214,4185
FR,FR621_09290,30161
FR,FR713_26144,290628
FR,FR627_81241,39708
FR,FR628_82044,171833
FR,FR823_06065,127683
FR,FR531_16385,123690
FR,FR623_31034,26970
FR,FR626_65061,6035
FR,FR223_80479,74671
FR,FR261_21714,35798
FR,FR222_60159,24670824
FR,FR711_01336,104132
FR,FR513_53182,641015
FR,FR533_79156,73174
FR,FR831_2A359,263601
FR,FR412_55182,24314
FR,FR815_66180,783637
FR,FR301_59617,104316
FR,FR223_80779,142391
FR,FR512_49343,316574
FR,FR712_07307,49733
FR,FR613_40229,179037
FR,FR721_03128,267995
FR,FR831_2A189,854087
FR,FR301_59600,80478
FR,FR625_46293,138329
FR,FR823_06156,7075
FR,FR411_54413,37442
FR,FR302_62536,98433
FR,FR223_80711,372876
FR,FR724_63452,6676
FR,FR626_65064,13145
FR,FR811_11102,186879
FR,FR243_36076,4964
FR,FR622_12197,248424
FR,FR412_55364,106130
FR,FR512_49361,385708
FR,FR264_89323,16544
FR,FR433_70273,7153
FR,FR302_62906,1490249
FR,FR612_33449,5592769
FR,FR621_09155,22190
FR,FR613_40296,411742
FR,FR264_89118,87400
FR,FR713_26189,8986
FR,FR212_10275,54973
FR,FR222_60355,70749
FR,FR627_81034,63344
FR,FR521_22205,13409
FR,FR714_38080,45168
FR,FR514_72194,39008
FR,FR412_55139,0
FR,FR524_56103,22352
FR,FR716_69292,436648
FR,FR246_45236,28889
FR,FR621_09157,605332
FR,FR243_36052,14075
FR,FR302_62235,742587
FR,FR214_52110,21141
FR,FR263_71376,94269
FR,FR723_43086,17497
FR,FR513_53139,43610
FR,FR212_10250,20542
FR,FR626_65237,36865
FR,FR523_35205,18604
FR,FR532_17359,140588
FR,FR301_59527,2364637
FR,FR104_91035,2796
FR,FR623_31007,8541
FR,FR718_74224,697589
FR,FR626_65100,882565
FR,FR724_63392,66017
FR,FR826_84127,196942
FR,FR222_60338,372801
FR,FR531_16134,102482
FR,FR413_57674,17613
FR,FR261_21079,7555
FR,FR433_70396,2996
FR,FR252_50352,39512
FR,FR252_50135,27653
FR,FR724_63158,11458
FR,FR103_78242,110500
FR,FR222_60237,5914
FR,FR514_72031,47007
FR,FR261_21597,3096
FR,FR243_36097,24713
FR,FR624_32391,12595
FR,FR301_59081,94118
FR,FR713_26063,926520
FR,FR812_30274,495784
FR,FR831_2A048,204580
FR,FR302_62516,2114909
FR,FR724_63040,519053
FR,FR531_16135,30229
FR,FR413_57032,451204
FR,FR811_11100,3037
FR,FR242_28306,11061
FR,FR414_88233,194679
FR,FR231_27273,51911
FR,FR511_44181,128545
FR,FR711_01241,129098
FR,FR221_02792,16063
FR,FR221_02004,15697
FR,FR241_18122,18227
FR,FR102_77415,15695
FR,FR813_34072,11064
FR,FR626_65415,52146
FR,FR246_45042,97907
FR,FR108_95014,24
FR,FR512_49374,124767
FR,FR241_18189,45258
FR,FR432_39188,26470
FR,FR302_62164,191953
FR,FR263_71113,14557
FR,FR612_33538,52670
FR,FR718_74293,323068
FR,FR623_31589,205596
FR,FR421_67343,334049
FR,FR261_21468,6020
FR,FR421_67093,0
FR,FR714_38436,217596
FR,FR711_01116,50975
FR,FR713_26321,12674
FR,FR412_55179,19621
FR,FR432_39146,73255
FR,FR252_50084,82120
FR,FR622_12255,89114
FR,FR613_40160,27316
FR,FR623_31116,881003
FR,FR411_54047,32746
FR,FR625_46012,78372
FR,FR213_51179,24853
FR,FR831_2A154,52129
FR,FR532_17464,22840
FR,FR533_79316,78899
FR,FR103_78423,4950575
FR,FR521_22198,679669
FR,FR261_21526,0
FR,FR623_31294,12656
FR,FR813_34266,75481
FR,FR521_22372,173500
FR,FR431_25478,6061
FR,FR633_87038,252574
FR,FR432_39473,11096
FR,FR411_54094,25713
FR,FR532_17101,34907
FR,FR422_68110,86743
FR,FR512_49351,128459
FR,FR522_29132,46990
FR,FR626_65417,919259
FR,FR522_29262,51132
FR,FR626_65272,13427
FR,FR626_65116,25284
FR,FR413_57402,54027
FR,FR264_89376,18076
FR,FR246_45196,163208
FR,FR623_31531,8948
FR,FR213_51158,91623
FR,FR531_16162,23119
FR,FR623_31030,8948
FR,FR512_49312,52066
FR,FR624_32341,22444
FR,FR232_76470,73910
FR,FR102_77075,6484
FR,FR622_12057,181012
FR,FR211_08344,131789
FR,FR920_97228,20408050
FR,FR213_51402,20219
FR,FR718_74155,63494
FR,FR626_65309,108
FR,FR611_24532,30585
FR,FR264_89202,38172
FR,FR232_76100,189497
FR,FR102_77023,1859
FR,FR262_58251,55099
FR,FR246_45024,216793
FR,FR414_88235,11903
FR,FR102_77284,2863462
FR,FR302_62830,28214
FR,FR244_37248,28392
FR,FR724_63023,89366
FR,FR414_88335,17095
FR,FR532_17174,89348
FR,FR622_12030,40138
FR,FR815_66116,25121
FR,FR103_78246,21867
FR,FR244_37205,87164
FR,FR221_02266,0
FR,FR622_12260,19498
FR,FR211_08219,15165
FR,FR713_26162,69661
FR,FR421_67511,65221
FR,FR103_78343,68538
FR,FR302_62473,1844692
FR,FR301_59088,253257
FR,FR103_78006,16540
FR,FR815_66101,242906
FR,FR534_86257,87076
FR,FR521_22367,3677
FR,FR221_02218,48273
FR,FR411_54059,82660
FR,FR514_72215,85422
FR,FR222_60482,168684
FR,FR221_02737,47344
FR,FR532_17164,219529
FR,FR414_88140,29497
FR,FR615_64290,69389
FR,FR612_33443,8476
FR,FR624_32213,218296
FR,FR611_24242,43623
FR,FR414_88012,87482
FR,FR722_15030,45172
FR,FR714_38295,60908
FR,FR413_57691,6693
FR,FR531_16359,147329
FR,FR814_48195,11852
FR,FR301_59646,4662802
