"query_country_code","lau","sum"
GR,EL306_50030101,21510388
GR,EL432_72020108,103110
GR,EL412_56010106,2115742
GR,EL533_17010203,405227
GR,EL621_33010307,1377717
GR,EL633_39050406,596747
GR,EL632_37020312,239779
GR,EL511_03010302,878040
GR,EL642_29040107,60077
GR,EL521_08030201,1906701
GR,EL612_22030102,427241
GR,EL513_01030102,24736542
GR,EL611_23050204,2822620
GR,EL633_39030302,280863
GR,EL434_74060312,236203
GR,EL431_71060105,142930
GR,EL632_37040408,6136313
GR,EL411_53011205,1559083
GR,EL641_28040404,730803
GR,EL412_54010103,188681
GR,EL652_42040104,740172
GR,EL422_67020401,330707
GR,EL541_21020301,1751535
GR,EL632_37030408,1977
GR,EL523_09020110,499804
GR,EL543_18050206,332947
GR,EL543_18020101,7565388
GR,EL644_27040201,2057850
GR,EL434_74060209,470258
GR,EL543_18050503,425147
GR,EL653_43020316,1465112
GR,EL543_18030407,92469
GR,EL651_40030309,10909
GR,EL422_60010105,6987234
GR,EL531_14040303,844325
GR,EL631_38060401,228117
GR,EL542_20030133,94714
GR,EL631_38060112,129837
GR,EL433_73010110,1023017
GR,EL653_43010705,224292
GR,EL631_38070204,169108
GR,EL642_29050402,331364
GR,EL422_60010106,894638
GR,EL431_71040108,590113
GR,EL421_69050000,2776591
GR,EL651_40010504,18250533
GR,EL434_74060401,1771520
GR,EL422_67020302,2120275
GR,EL633_39020107,1038741
GR,EL632_37040110,5829497
GR,EL533_17010404,927969
GR,EL631_38030302,4535846
GR,EL433_73030209,1237084
GR,EL641_28040102,342496
GR,EL525_11010505,701822
GR,EL652_42010401,3837632
GR,EL645_31020208,124927
GR,EL631_38031008,5867336
GR,EL531_15010109,2391745
GR,EL653_44030309,720081
GR,EL624_36010211,384077
GR,EL651_40030509,121358
GR,EL526_12070402,173245
GR,EL305_49060401,3925838
GR,EL541_19020307,486415
GR,EL611_26020106,1144398
GR,EL653_44030406,2415755
GR,EL434_74040203,709131
GR,EL645_31020405,103786
GR,EL541_21020305,416359
GR,EL651_40040312,59278
GR,EL644_27010204,1478093
GR,EL644_27070204,1576077
GR,EL643_30010104,228785
GR,EL632_37030207,1546388
GR,EL422_70010207,368591
GR,EL434_74070004,492875
GR,EL621_33010601,3663574
GR,EL523_09020405,543980
GR,EL651_40010106,13152379
GR,EL421_61020000,2583738
GR,EL632_37040413,6662282
GR,EL531_15010404,1021340
GR,EL653_44060103,259698
GR,EL421_69010906,660272
GR,EL642_29050401,533415
GR,EL651_40050101,3241277
GR,EL301_46100101,1970827
GR,EL541_21020306,708067
GR,EL631_38010103,751549
GR,EL543_18060104,32738
GR,EL431_71040105,1038186
GR,EL433_73050111,640086
GR,EL644_27040101,4180837
GR,EL642_29070201,1475468
GR,EL543_18030412,101138
GR,EL631_38070302,165988
GR,EL611_26030504,174318
GR,EL512_06040007,489646
GR,EL611_23040113,539840
GR,EL513_01020104,1310044
GR,EL307_52030000,1333580
GR,EL521_08020304,695011
GR,EL531_14020302,726419
GR,EL531_15010502,525753
GR,EL523_09010301,1377517
GR,EL434_74010403,2534236
GR,EL641_28040201,3542760
GR,EL632_37010502,6278735
GR,EL642_29070102,550720
GR,EL633_39030404,944152
GR,EL653_43010208,422756
GR,EL434_74050306,516361
GR,EL632_37040405,3155818
GR,EL645_31010501,11931655
GR,EL303_45030000,10802024
GR,EL432_72020113,334686
GR,EL521_08020402,307243
GR,EL644_27040401,1546403
GR,EL652_42060304,114707
GR,EL514_02050206,384264
GR,EL622_32011108,868780
GR,EL531_14030112,51216
GR,EL433_73030107,925567
GR,EL653_44030711,2508669
GR,EL513_01030201,57255729
GR,EL543_18020702,723344
GR,EL651_41020202,177848
GR,EL631_38030509,321899
GR,EL611_23040207,434427
GR,EL633_39010105,843842
GR,EL526_12010401,3000442
GR,EL653_44030407,1579532
GR,EL633_39020113,781594
GR,EL513_01020114,272643
GR,EL653_44030108,843966
GR,EL522_07090301,3386381
GR,EL532_16020303,673061
GR,EL641_28040105,561737
GR,EL622_32011403,1394621
GR,EL514_02020201,2870894
GR,EL526_12030404,197259
GR,EL633_39060109,105187
GR,EL543_18030102,472461
GR,EL433_73020112,1341157
GR,EL434_74020207,578488
GR,EL527_13010106,602799
GR,EL652_42050116,39159
GR,EL533_17010311,1260255
GR,EL653_43050303,1653878
GR,EL642_29010401,8507162
GR,EL612_22050507,315708
GR,EL622_32011401,736685
GR,EL411_53011305,802605
GR,EL543_18070101,5072390
GR,EL543_18050107,450759
GR,EL653_44030302,944622
GR,EL632_37050306,57685
GR,EL631_38060104,119018
GR,EL632_37020601,2373718
GR,EL515_05030503,905946
GR,EL431_71050101,19164959
GR,EL422_70010201,155270
GR,EL622_32010506,284513
GR,EL543_18050202,688943
GR,EL632_37050118,95479
GR,EL631_38040204,299695
GR,EL642_29030204,561470
GR,EL413_57010601,3441521
GR,EL513_01010111,583925
GR,EL653_44050305,212891
GR,EL531_15010704,353375
GR,EL514_02050202,1372966
GR,EL644_27050208,33665
GR,EL641_28050201,1656198
GR,EL644_27050204,72281
GR,EL511_03010104,215206
GR,EL413_57010606,75408
GR,EL624_36010206,274879
GR,EL543_18030203,75131
GR,EL543_18020701,693618
GR,EL413_57010301,655628
GR,EL631_38060508,54099
GR,EL611_23040111,4887305
GR,EL623_35010404,6231905
GR,EL431_71060102,94298
GR,EL413_57010707,915365
GR,EL411_53011201,30222226
GR,EL431_71050201,2847253
GR,EL643_30010504,78122
GR,EL631_38030706,3482359
GR,EL622_32010606,1263796
GR,EL623_35010612,3153608
GR,EL541_21020304,355961
GR,EL651_40030104,39543
GR,EL433_73050306,432160
GR,EL522_07090403,4180992
GR,EL303_45080201,311736
GR,EL434_74010404,178201
GR,EL633_39050306,81761
GR,EL541_21020401,1055033
GR,EL434_74060111,350009
GR,EL523_09010110,1020157
GR,EL632_37030402,652568
GR,EL525_11010303,593713
GR,EL431_71020310,1492800
GR,EL645_31010402,4459366
GR,EL633_39050111,165645
GR,EL513_01030103,17373707
GR,EL432_72040202,1232669
GR,EL511_03030202,738435
GR,EL433_73050102,665568
GR,EL624_36010104,3083915
GR,EL532_16010905,767438
GR,EL432_72010112,890435
GR,EL653_44060105,20324
GR,EL611_23060305,845045
GR,EL653_43050102,1086471
GR,EL611_26020505,243888
GR,EL622_32010505,1620707
GR,EL651_41020201,440810
GR,EL523_09020205,675644
GR,EL532_16010707,75013
GR,EL526_12010607,478714
GR,EL434_74060316,839593
GR,EL433_73010105,194175
GR,EL632_37030409,1411920
GR,EL624_36010205,579881
GR,EL653_43030000,3839691
GR,EL524_10040203,870193
GR,EL612_22040201,1339366
GR,EL611_23030102,1552396
GR,EL643_30020505,604838
