"query_country_code","lau","sum"
HU,HU2784,995539
HU,HU2560,47843
HU,HU3385,7882764
HU,HU0360,54898
HU,HU0446,1453384
HU,HU0232,11663115
HU,HU1051,635291
HU,HU0523,82641081
HU,HU1147,1033
HU,HU0881,366027
HU,HU1973,403413
HU,HU2731,39417866
HU,HU1439,9428
HU,HU3085,495341
HU,HU2898,452109
HU,HU1667,903734
HU,HU2135,40575909
HU,HU3427,1458415
HU,HU2476,732971
HU,HU1453,2815330
HU,HU2296,11448
HU,HU0469,23077651
HU,HU1525,5106068
HU,HU1114,10056
HU,HU1578,1686417
HU,HU1688,361305
HU,HU3371,22671
HU,HU0882,904421
HU,HU1726,8786462
HU,HU1073,73760
HU,HU1332,257663
HU,HU1232,531236
HU,HU1548,0
HU,HU0421,15993
HU,HU1129,2079776
HU,HU3259,16521
HU,HU3074,1188574
HU,HU1750,34155
HU,HU3227,10801320
HU,HU1694,55058
HU,HU2241,15136099
HU,HU1058,2318246
HU,HU3255,41175069
HU,HU0288,571448
HU,HU2019,639888
HU,HU2941,2175501
HU,HU1974,56612
HU,HU2751,753910
HU,HU2609,822499
HU,HU2326,5836358
HU,HU1663,1172320
HU,HU1278,66391117
HU,HU0632,13423
HU,HU2295,372761
HU,HU1152,226949
HU,HU0310,1386432
HU,HU1419,19573
HU,HU3340,26577
HU,HU1718,1235252
HU,HU0206,9426609
HU,HU2952,9517
HU,HU0517,53599304
HU,HU3294,26173
HU,HU0473,603115
HU,HU2721,2249949
HU,HU3264,8440
HU,HU2826,2334
HU,HU1753,392790
HU,HU2534,1066819
HU,HU0368,1103832
HU,HU1326,1108098
HU,HU3297,1073517
HU,HU0731,377609
HU,HU0911,853186
HU,HU0653,1634461
HU,HU1411,2226841
HU,HU1279,11763291
HU,HU2331,17553
HU,HU1994,655147
HU,HU2309,170385
HU,HU2924,1057515
HU,HU1347,5159524
HU,HU2975,339157
HU,HU1848,25668037
HU,HU1547,385565
HU,HU1275,167439
HU,HU2066,244112
HU,HU2538,22132
HU,HU1445,51018169
HU,HU0606,71466
HU,HU0541,870861
HU,HU0857,605772
HU,HU2872,845932
HU,HU1378,204506
HU,HU0307,37785
HU,HU2119,640208
HU,HU0475,16414
HU,HU1325,6157985
HU,HU1104,49469
HU,HU2353,662087
HU,HU0265,4362682
HU,HU0774,21310
HU,HU0280,58546658
HU,HU0811,9966
HU,HU1567,11717
HU,HU0889,10350670
HU,HU2265,248719
HU,HU0878,6734
HU,HU1517,195598
HU,HU2178,1214251
HU,HU0891,1571
HU,HU0617,564634
HU,HU3065,3303569
HU,HU0291,27545972
HU,HU2869,74291
HU,HU0223,31286
HU,HU2113,3412
HU,HU3011,834543
HU,HU1140,20786
HU,HU1736,130474
HU,HU3270,7273
HU,HU1329,53491
HU,HU1747,5166923
HU,HU2863,48123
HU,HU2600,16745
HU,HU2380,1457187
HU,HU0975,25634
HU,HU1653,3457
HU,HU3429,4829030
HU,HU1762,666396
HU,HU1000,16700
HU,HU2774,606698
HU,HU1011,114118
HU,HU2820,4983
HU,HU2759,27796
HU,HU1219,4207577
HU,HU1941,694696054
HU,HU2351,35600
HU,HU1856,839240
HU,HU2229,2953437
HU,HU1706,1526
HU,HU0853,675680
HU,HU3397,30576
HU,HU2525,3412
HU,HU0385,309016
HU,HU3332,153309
HU,HU3032,9229564
HU,HU1116,436104
HU,HU1610,956095
HU,HU1777,910009
HU,HU1590,30258
HU,HU2875,4255878
HU,HU2551,1571
HU,HU1790,1219597
HU,HU1164,34972
HU,HU0729,548810
HU,HU0270,275176
HU,HU1255,44730
HU,HU2214,15559
HU,HU2512,12884
HU,HU2795,11161
HU,HU2545,246491
HU,HU1971,36401220
HU,HU0917,16790
HU,HU0976,153677926
HU,HU3278,234409
HU,HU1009,102097
HU,HU0804,23815
HU,HU2848,8998528
HU,HU0304,74630497
HU,HU2031,9877
HU,HU1713,1587575
HU,HU0876,3412
HU,HU0748,5709221
HU,HU0229,540040
HU,HU2735,60523
HU,HU1624,8709
HU,HU3386,9334376
HU,HU2284,741967
HU,HU0727,1425421
HU,HU2654,24467
HU,HU2743,118488
HU,HU2909,388142
HU,HU2208,6465
HU,HU0463,46044
HU,HU2694,1558395
HU,HU2370,210157
HU,HU2190,434070
HU,HU1291,3443794
HU,HU1039,17237465
HU,HU2254,871503
HU,HU1558,589463
HU,HU0641,10864
HU,HU2792,2675784
HU,HU2682,718192
HU,HU2856,28236480
HU,HU3369,26442
HU,HU2506,12866405
HU,HU1537,501568
HU,HU1527,60057
HU,HU1504,59487
HU,HU1992,33008
HU,HU1014,36822
HU,HU3224,9383
HU,HU2847,876075
HU,HU0423,1223723
HU,HU2276,151586119
HU,HU2527,15666328
HU,HU1645,7677
HU,HU3118,696406
HU,HU1476,149481
HU,HU0412,12227398
HU,HU1086,2559
HU,HU1817,172369
HU,HU1388,940233
HU,HU0715,511582
HU,HU2451,1490321
HU,HU2268,51942
HU,HU2835,19784168
HU,HU0399,249176
HU,HU1410,901159
HU,HU2888,1127177
HU,HU2815,4526017
HU,HU3402,1097909
HU,HU0499,6240
HU,HU1956,2186208
HU,HU3339,188398
HU,HU2824,1475663
HU,HU0381,17145321
HU,HU0490,576286
HU,HU1570,66048
HU,HU3256,7599630
HU,HU1406,16476
HU,HU2071,595161
HU,HU1248,200715
HU,HU2684,65702
HU,HU1416,978037
HU,HU3341,417406
HU,HU2643,76635
HU,HU0424,1588777
HU,HU1950,296933
HU,HU2637,26577
HU,HU0762,1608505
HU,HU0539,105547
HU,HU2633,99023
HU,HU0220,41796
HU,HU2037,96443
HU,HU0398,10909
HU,HU2248,477264
HU,HU3226,115322
HU,HU2260,393131
HU,HU1043,150267
HU,HU2443,565320
HU,HU0358,2137645
HU,HU1852,926274
HU,HU2742,7632
HU,HU1148,82523
HU,HU2806,2638303
HU,HU2717,1355767
HU,HU2096,49649
HU,HU1720,298558339
HU,HU1591,54994
HU,HU1782,5115798
HU,HU2344,26118
HU,HU2240,34552647
HU,HU3400,5420545
HU,HU0301,20786
HU,HU2202,14949
HU,HU0754,1075444
HU,HU3229,3190417
HU,HU3037,3110803
HU,HU1456,2615853
HU,HU1864,389745
HU,HU3152,14096
HU,HU2653,5932294
HU,HU2930,167534
HU,HU2644,3906
HU,HU1681,2308729
HU,HU2660,1363368
HU,HU1214,4514615
HU,HU3046,6359928
HU,HU2470,45054
HU,HU0436,25320
HU,HU0553,4310
HU,HU1534,3200993
HU,HU3021,7228
HU,HU2552,684753
HU,HU3225,334819
HU,HU2340,10976864
HU,HU0545,996873
HU,HU3404,353628
HU,HU0256,224023
HU,HU0577,1250391
HU,HU2291,116387
HU,HU3418,8611750
HU,HU3127,91592
HU,HU1111,611845
HU,HU2756,2469
HU,HU2522,5678268
HU,HU2109,31919
HU,HU0934,56202768
HU,HU0777,3434500
HU,HU1065,106041
HU,HU0851,201768314
HU,HU1995,3268143
HU,HU2569,484131
HU,HU0255,77187
HU,HU0583,10262829
HU,HU0722,792954
HU,HU1171,1483304
HU,HU0383,57524
HU,HU0279,76880
HU,HU0511,36292136
HU,HU2976,3771
HU,HU1854,582005
HU,HU1815,245134844
HU,HU1662,311266
HU,HU0633,1492725
HU,HU2859,1924865
HU,HU2948,12750
HU,HU1834,27540443
HU,HU0442,3965747
HU,HU2159,4489
HU,HU0828,4628880
HU,HU2509,44220
HU,HU0338,237617
HU,HU0441,248363
HU,HU2537,27699
HU,HU1553,2391021
HU,HU0549,11852
HU,HU0680,754036
HU,HU0409,4962820
HU,HU0460,1916614
HU,HU0391,274655
HU,HU0850,3053
HU,HU2144,905020
HU,HU3214,6599
HU,HU2352,5104654
HU,HU3313,107090
HU,HU1649,18884
HU,HU1306,118172
HU,HU2140,13199
HU,HU1459,259746
HU,HU2793,1721874
HU,HU0819,1669787
HU,HU2664,144216
HU,HU1821,207256
HU,HU0213,17284
HU,HU3119,3345213
HU,HU2176,4007730
HU,HU2437,1412974
HU,HU2186,570003
HU,HU1812,60401
HU,HU0808,1564085
HU,HU3295,3117673
HU,HU0929,24998
HU,HU2416,5232821
HU,HU3120,1689415
HU,HU1740,3627031
HU,HU2111,16973497
HU,HU1007,493983
HU,HU0554,1171270
HU,HU3344,391880
HU,HU0319,1747189
HU,HU0439,1478281
HU,HU2884,115268
HU,HU0287,114793
HU,HU3159,194627
HU,HU1895,9210
HU,HU2134,54051
HU,HU1200,7952036
HU,HU1503,1067269
HU,HU2561,532433
HU,HU0960,2753368
HU,HU3163,474968
HU,HU2288,1049207
HU,HU2088,30887
HU,HU1252,807616
HU,HU0798,10550
HU,HU2034,5082786
HU,HU3124,3394800
HU,HU2339,2082033
HU,HU0792,327109
HU,HU2251,247038
HU,HU0500,558826
HU,HU2710,248046
HU,HU0763,353613
HU,HU3194,51173234
HU,HU0883,685761
HU,HU2385,1591834
HU,HU2602,499362
HU,HU1580,1370661
HU,HU1056,58848
HU,HU2117,91706992
HU,HU1811,7093
HU,HU0544,20134949
HU,HU1141,9964924
HU,HU2257,8485
HU,HU2530,482649
HU,HU0557,39144754
HU,HU0508,498118
HU,HU1746,19143
HU,HU0682,1937023
HU,HU1345,10730
HU,HU0485,449550
HU,HU1560,2093185
HU,HU1712,31246
HU,HU2993,3144850
HU,HU3438,508447
HU,HU0533,60076
HU,HU1671,22177
HU,HU1598,7991
HU,HU2126,59553
HU,HU0451,18002
HU,HU2072,7229081
HU,HU2418,3257510
HU,HU0386,18832
HU,HU2164,9158
HU,HU1435,36182856
HU,HU2341,38400
HU,HU1926,1233984
HU,HU0852,6954794
HU,HU0847,658512
HU,HU2035,5364575
HU,HU2279,4044731
HU,HU0833,2065905
HU,HU1190,361409
HU,HU2667,12016358
HU,HU2769,1707029
HU,HU0468,1019804
HU,HU2915,38844
HU,HU0370,281322
HU,HU1257,15895600
HU,HU1176,261315788
HU,HU1457,829008
HU,HU2424,255667
HU,HU1143,16710158
HU,HU1819,977925
HU,HU3272,380637
HU,HU0397,534445
HU,HU1617,595971
HU,HU2944,240073
HU,HU1607,177388
HU,HU1101,4581815
HU,HU0775,27074
HU,HU1237,2873
HU,HU2391,2424
HU,HU2832,29362
HU,HU0487,82998
HU,HU3275,1066363
HU,HU0356,335957
HU,HU0908,7318
HU,HU0335,804126
HU,HU2375,50009
HU,HU2304,37121
HU,HU2478,26812584
HU,HU2042,808450
HU,HU3050,80459
HU,HU2891,298060
HU,HU2689,955764
HU,HU3415,9153358
HU,HU0874,15488
HU,HU1622,1870907
HU,HU1844,41706
HU,HU2330,4193440
HU,HU2813,30447005
HU,HU2250,769976
HU,HU1642,3915942
HU,HU1644,158470
HU,HU2900,120951
HU,HU3026,866496
HU,HU2292,31605
HU,HU1019,26807
HU,HU1868,56386
HU,HU2750,7093
HU,HU2937,1192456
HU,HU0897,347553
HU,HU1037,45
HU,HU0979,424252
HU,HU2878,387975
HU,HU3033,126139
HU,HU0357,934252
HU,HU2324,550338
HU,HU2233,4759
HU,HU1733,5472426
HU,HU3129,191219
HU,HU1827,21645
HU,HU2921,4305996
HU,HU0955,3711950
HU,HU0588,734030
HU,HU3181,5810955
HU,HU1110,302362
HU,HU0735,90983327
HU,HU3072,31512024
HU,HU0209,98885
HU,HU1321,2649443
HU,HU1563,5163
HU,HU0634,699016
HU,HU0737,4289909
HU,HU0587,2685341
HU,HU0558,449352
HU,HU2722,2097111
HU,HU3169,437953
HU,HU0899,240797
HU,HU2315,61491
HU,HU1494,3919964
HU,HU1708,318396
HU,HU2142,45884
HU,HU2345,151604
HU,HU2904,11324765
HU,HU2230,108558885
HU,HU1249,14635
HU,HU0440,222819
HU,HU0903,57758
HU,HU2317,16525116
HU,HU3410,3596441
HU,HU2216,636428
HU,HU2755,30459
HU,HU0331,117649
HU,HU2760,96185
HU,HU1953,873668
HU,HU3112,269531
HU,HU2840,5567
HU,HU1397,1104434
HU,HU0484,712203
HU,HU3428,12166
HU,HU3345,15062379
HU,HU0628,660298
HU,HU0770,1793392
HU,HU2145,6401862
HU,HU1635,75622
HU,HU2595,12353240
HU,HU1676,669838
HU,HU3434,58518676
HU,HU2517,460783
HU,HU3009,3315924
HU,HU1356,227956
HU,HU2398,1889724
HU,HU3070,606642
HU,HU0616,119216
HU,HU1660,1202135
HU,HU2369,5281655
HU,HU3306,43672
HU,HU0582,2394922
HU,HU2472,156222
HU,HU0477,8659924
HU,HU2949,657590
HU,HU0493,1774921
HU,HU2306,162542363
HU,HU3207,423013
HU,HU3019,1886
HU,HU0886,7977209
HU,HU1365,32139418
HU,HU0836,7991
HU,HU0408,137898
HU,HU2524,321221
HU,HU2473,3412
HU,HU2273,11358
HU,HU2965,398748
HU,HU0695,44693
HU,HU2436,1742183
HU,HU2749,4489
HU,HU2180,1205853
HU,HU1981,33760
HU,HU0230,25421044
HU,HU3235,2200
HU,HU1696,2063227
HU,HU0501,16301
HU,HU2946,572255
HU,HU3017,62626
HU,HU0283,10999
HU,HU2171,3103880
HU,HU1593,13322928
HU,HU0795,57440
HU,HU1265,282517
HU,HU2959,167867
HU,HU2567,1651054
HU,HU2960,3907070
HU,HU1987,195982
HU,HU1917,15443
HU,HU2446,33401
HU,HU0316,412846
HU,HU0459,25814
HU,HU2533,5037547
HU,HU1099,67848
HU,HU1408,133009
HU,HU2320,6465
HU,HU1462,1702645
HU,HU1781,1319007
HU,HU2650,130083
HU,HU0596,159211
HU,HU0983,155255
HU,HU3283,10505
HU,HU2363,3525491
HU,HU2957,2390089
HU,HU1328,260604
HU,HU2614,77127
HU,HU3308,18810
HU,HU3137,12346
HU,HU3237,43500
HU,HU3123,48701530
HU,HU1621,49521
HU,HU0993,40000
HU,HU1254,5809775
HU,HU3052,2746561
HU,HU1657,134693
HU,HU2170,53753
HU,HU0724,4592375
HU,HU2382,12534286
HU,HU1108,23094384
HU,HU2327,32363214
HU,HU0454,323053
HU,HU0328,10999
HU,HU0826,58388
HU,HU3067,6195
HU,HU0559,944265
HU,HU2085,2129685
HU,HU0236,1424612
HU,HU0221,10233267
HU,HU2494,107623
HU,HU2475,6852376
HU,HU2147,259147
HU,HU2686,232215
HU,HU1024,30703
HU,HU0525,98336
HU,HU2532,832018
HU,HU1714,1739239
HU,HU2575,3584727
HU,HU0995,20247
HU,HU3184,654964
HU,HU2781,70840
HU,HU1786,1349738
HU,HU0207,198642
HU,HU0362,2631656
HU,HU2631,63344
HU,HU2173,411869
HU,HU3391,30288
HU,HU0150,289636
HU,HU0379,18168
HU,HU2359,8325
HU,HU1281,1238499
HU,HU0701,8215
HU,HU2996,98780
HU,HU3261,8678095
HU,HU2671,231926
HU,HU3196,4503731
HU,HU2387,45660369
HU,HU3008,163138
HU,HU2426,13692
HU,HU2935,111922
HU,HU3388,465331
HU,HU2431,270729
HU,HU1474,682697
HU,HU0957,466566
HU,HU2354,4040
HU,HU3277,3477304
HU,HU0769,18227
HU,HU2761,725000
HU,HU1595,26667
HU,HU1600,1022042
HU,HU1020,81951
HU,HU1064,1751
HU,HU1079,30278
HU,HU1835,245447
HU,HU3133,1427544
HU,HU3131,2026838
HU,HU2529,9248
HU,HU2136,27519
HU,HU0526,755049
HU,HU0924,26083869
HU,HU1780,985558
HU,HU1552,4413087
HU,HU3116,830754
HU,HU1359,2143217
HU,HU0904,266929
HU,HU0296,1912824
HU,HU2638,46375
HU,HU2985,452769
HU,HU2715,5649637
HU,HU0814,7318
HU,HU0387,399549
HU,HU1324,3603198
HU,HU1883,144661
HU,HU1273,9652
HU,HU0919,16835
HU,HU0918,1653307
HU,HU2794,1644246
HU,HU0429,756591
HU,HU0916,1578652
HU,HU1123,2883326
HU,HU1084,13872
HU,HU2500,827948
HU,HU2920,89340
HU,HU1756,39622
HU,HU0337,4839319
HU,HU1297,46851
HU,HU2368,3159800
HU,HU2733,8107165
HU,HU1369,47138
HU,HU2808,308708
HU,HU0216,7369012
HU,HU0977,2323773
HU,HU1146,3232
HU,HU3232,1376116
HU,HU0690,525582
HU,HU0842,3756907
HU,HU1701,960600
HU,HU3053,718897
HU,HU1585,1773372
HU,HU3293,3421549
HU,HU1113,902879
HU,HU3143,2694
HU,HU3262,37621
HU,HU0614,784177
HU,HU2177,26352
HU,HU0382,793175
HU,HU0486,35994595
HU,HU2622,105418
HU,HU1805,1355449
HU,HU0314,45863
HU,HU1664,15915167
HU,HU1050,60373
HU,HU2246,10675
HU,HU2065,19888
HU,HU2027,689309
HU,HU1483,5040208
HU,HU3084,1373322
HU,HU2455,7009616
HU,HU0420,326229
HU,HU2001,1995935
HU,HU0915,6734
HU,HU0668,12929
HU,HU0372,3547
HU,HU1464,19439
HU,HU3231,12914
HU,HU1383,15278186
HU,HU3376,2015560
HU,HU2026,2110595
HU,HU1376,1693027
HU,HU2844,300564
HU,HU1638,95898
HU,HU2235,263407
HU,HU1584,24646
HU,HU1186,650452
HU,HU2950,1347
HU,HU3122,1492605
HU,HU0949,2329853
HU,HU3060,44085
HU,HU3132,4947047
HU,HU2845,468927
HU,HU2165,6307671
HU,HU2269,515136
HU,HU1201,138501
HU,HU2087,1685665
HU,HU1807,1809462
HU,HU1904,1236417
HU,HU0676,21639
HU,HU2270,3771
HU,HU0374,7991
HU,HU1528,1046792
HU,HU2307,3412
HU,HU1824,8221530
HU,HU2239,3142541
HU,HU1472,25601
HU,HU3192,775814
HU,HU1968,1534501
HU,HU1760,56657
HU,HU2409,787318
HU,HU3248,8417157
HU,HU1194,428713
HU,HU2444,13776
HU,HU2024,619058
HU,HU2829,830366
HU,HU2771,23524
HU,HU1988,1210789
HU,HU3302,21777121
HU,HU1604,6231745
HU,HU0869,308653
HU,HU3394,758895
HU,HU2812,10460
HU,HU2163,8536728
HU,HU2970,56866
HU,HU2902,8209736
HU,HU1488,404572
HU,HU2056,14635
HU,HU2836,9652
HU,HU0516,12570
HU,HU2956,92233
HU,HU0659,187330
HU,HU2365,2360540
