"query_country_code","lau","sum"
IE,IE021_03007,690238
IE,IE012_12074,43675
IE,IE012_08060,11339
IE,IE023_20011,76426
IE,IE012_12046,58344
IE,IE023_21090,86169
IE,IE013_27058,451290
IE,IE012_08087,8964
IE,IE025_19128,44385
IE,IE022_11040,20161
IE,IE025_17019,593374
IE,IE024_14073,23391
IE,IE011_33140,6041
IE,IE013_29080,15056
IE,IE011_28077,20231
IE,IE024_24038,130
IE,IE025_17002,1046720
IE,IE013_29092,19096
IE,IE011_31061,22760
IE,IE025_18231,64981
IE,IE013_29147,31407
IE,IE022_11076,24775
IE,IE025_18196,172571
IE,IE024_25034,309401
IE,IE021_04005,18183
IE,IE024_25047,309148
IE,IE024_23161,22052
IE,IE011_28063,18305
IE,IE021_02003,6051427
IE,IE012_12051,59011
IE,IE023_21018,95477
IE,IE022_15082,82191
IE,IE013_27113,274289
IE,IE021_02098,234
IE,IE022_15010,196939
IE,IE022_06061,162568
IE,IE024_14045,40100
IE,IE024_07038,41085
IE,IE022_15060,67420
IE,IE025_18128,171403
IE,IE013_29038,36468
IE,IE025_18153,77433
IE,IE025_18113,43775
IE,IE013_30108,24376
IE,IE022_06052,25047
IE,IE011_33036,27219
IE,IE025_19039,22315
IE,IE024_23094,38211
IE,IE024_25018,232368
IE,IE021_02084,234
IE,IE021_02131,1081173
IE,IE013_27095,264887
IE,IE013_27029,41286
IE,IE024_01024,47158
IE,IE024_14010,80199
IE,IE023_16035,32740
IE,IE021_02072,840663
IE,IE025_18225,122764
IE,IE023_21114,201162
IE,IE025_18311,42131
IE,IE013_27181,469276
IE,IE024_01015,37235
IE,IE024_01001,509209
IE,IE013_29076,31369
IE,IE023_21064,229985
IE,IE011_32065,13449
IE,IE021_04035,215853
IE,IE025_18010,823747
IE,IE024_07041,16741
IE,IE013_29059,7128
IE,IE025_18168,112842
IE,IE023_21107,243496
IE,IE011_32075,14185
IE,IE011_33061,9520
IE,IE012_08041,18053
IE,IE011_34012,35490
IE,IE021_03012,505343
IE,IE011_33035,10436
IE,IE024_07001,347392
IE,IE025_18298,113620
IE,IE022_11001,101456
IE,IE025_18220,177434
IE,IE022_15013,27454
IE,IE012_13072,3231
IE,IE024_25020,84129
IE,IE025_19044,10273
IE,IE011_33016,104504
IE,IE013_29081,74647
IE,IE021_02036,1487273
IE,IE011_31056,64160
IE,IE013_29100,14560
IE,IE025_18167,96110
