"query_country_code","lau","sum"
LV,LV007_0809600,21672314
LV,LV008_0940200,19308757
LV,LV009_0546701,17864863
LV,LV003_0624200,5083477
LV,LV009_0326100,12079918
LV,LV008_0500200,51771569
LV,LV007_0741001,15411521
LV,LV008_0964700,7168674
LV,LV009_0561800,9603207
LV,LV007_0740202,79872193
LV,LV005_0781800,14997434
LV,LV005_0766300,14311094
LV,LV008_0700800,6387031
LV,LV003_0880200,91996443
LV,LV008_0360800,8946568
LV,LV007_0905700,6489062
LV,LV005_0760202,23599699
LV,LV007_0806900,12842935
LV,LV007_0801200,45128676
LV,LV003_0840200,63245541
LV,LV007_0741401,17477029
LV,LV003_0270000,116804563
LV,LV007_0901201,22071231
LV,LV007_0801000,41655875
LV,LV007_0800600,12235693
LV,LV009_0568700,10099343
LV,LV008_0420200,38333997
LV,LV007_0801601,36305945
LV,LV009_0407700,9186453
LV,LV009_0460800,18033549
LV,LV008_0960200,13530109
LV,LV009_0540200,53864486
LV,LV008_0967300,4658358
LV,LV005_0380200,32330026
LV,LV008_0701800,8149174
LV,LV005_0761201,29456602
LV,LV005_0600202,27577671
LV,LV005_0440200,65532485
LV,LV005_0601000,20097963
LV,LV006_0010000,1179523757
LV,LV007_0740600,20570857
LV,LV005_0440801,18913376
LV,LV003_0980200,37683220
LV,LV005_0684901,8198064
LV,LV009_0090000,131057284
LV,LV008_0250000,52931236
LV,LV008_0425700,5512850
LV,LV009_0327100,8648642
LV,LV009_0560800,4860148
LV,LV007_0905100,19810697
LV,LV003_0885100,13331379
LV,LV007_0661000,13623040
LV,LV008_0429300,9489978
LV,LV003_0887600,4917070
LV,LV008_0967101,18115619
LV,LV008_0941800,8814654
LV,LV009_0460200,48899158
LV,LV007_0130000,119768398
LV,LV007_0800800,40811499
LV,LV007_0900200,72560918
LV,LV005_0680200,31895811
LV,LV005_0210000,73654511
LV,LV007_0809200,6149982
LV,LV008_0427700,8444505
LV,LV008_0360200,39409003
LV,LV005_0769101,4976467
LV,LV008_0427500,8854031
LV,LV008_0421200,8286995
LV,LV005_0050000,199140716
LV,LV009_0321000,13238891
LV,LV003_0649300,8320369
LV,LV007_0808400,14560497
LV,LV005_0387500,5514734
LV,LV008_0961000,8302746
LV,LV008_0427300,20259724
LV,LV003_0840601,17322472
LV,LV005_0780200,65712574
LV,LV003_0647900,8824959
LV,LV007_0807600,19715400
LV,LV003_0620200,61608308
LV,LV003_0621200,16573639
LV,LV007_0801800,19325348
LV,LV008_0961600,12856754
LV,LV007_0805200,11378020
LV,LV003_0170000,230240718
LV,LV009_0468900,8571244
LV,LV005_0681801,7705820
LV,LV009_0409500,20744436
LV,LV007_0804400,14689037
LV,LV005_0604300,9762840
LV,LV007_0801400,11947586
LV,LV009_0406400,19305641
LV,LV008_0705500,6830027
LV,LV009_0321400,12427213
LV,LV009_0110000,49357587
LV,LV008_0424701,12581111
LV,LV007_0807400,9458783
LV,LV007_0804900,20278318
LV,LV009_0320200,19361209
LV,LV003_0640600,28973673
LV,LV003_0641000,27862501
LV,LV003_0888301,16831302
LV,LV005_0681000,14799336
LV,LV009_0566900,14628072
LV,LV003_0641401,9144354
LV,LV008_0941600,28922774
LV,LV009_0400200,56595218
LV,LV003_0640801,9589896
LV,LV007_0806000,13693959
LV,LV003_0648500,5741055
LV,LV008_0700200,56408270
LV,LV008_0701400,5841652
LV,LV007_0660200,44490407
LV,LV005_0381600,13896889
LV,LV005_0384400,3059517
LV,LV009_0560200,13687398
LV,LV003_0641600,18299444
LV,LV007_0661400,21867340
LV,LV009_0328200,8626812
