"query_country_code","lau","sum"
LT,LT003_8801,22417548
LT,LT009_4350,3331985
LT,LT00A_8580,3458298
LT,LT005_27,72121365
LT,LT006_5475,3781740
LT,LT00A_8967,2501734
LT,LT00A_8657,764980
LT,LT004_8405,1707502
LT,LT005_6749,5330567
LT,LT006_6529,2839482
LT,LT003_7557,770238
LT,LT00A_1321,51790706
LT,LT006_9120,11469584
LT,LT008_7810,21228686
LT,LT002_4946,1174524
LT,LT006_3260,8290563
LT,LT007_9435,2211837
LT,LT002_7251,2523570
LT,LT004_8435,3013808
LT,LT009_4525,6285928
LT,LT009_3422,5404249
LT,LT009_4528,5439934
LT,LT005_6664,4741300
LT,LT002_7209,2980298
LT,LT009_3413,1800607
LT,LT00A_4107,1302312
LT,LT002_5226,26815219
LT,LT00A_4216,1060064
LT,LT004_3910,7620382
LT,LT002_4601,16107577
LT,LT001_5904,427869
LT,LT005_6724,3043908
LT,LT003_5566,47752618
LT,LT008_6120,11798774
LT,LT001_3353,4834183
LT,LT006_6558,2615021
LT,LT004_3926,1206858
LT,LT003_8840,2651323
LT,LT008_7819,4786809
LT,LT005_6738,3347447
LT,LT00A_4209,736574
LT,LT00A_8613,1096836
LT,LT008_7869,6144797
LT,LT002_7226,1364896
LT,LT005_6704,1567751
LT,LT004_8479,703302
LT,LT009_4330,2106971
LT,LT002_5317,2665540
LT,LT002_4635,10448391
LT,LT005_5777,1817325
LT,LT009_4559,1937915
LT,LT00A_4102,12496685
LT,LT003_8897,3437553
LT,LT006_4747,2517365
LT,LT003_8866,1903876
LT,LT007_7778,9531397
LT,LT002_1908,92021464
LT,LT006_9148,5241976
LT,LT002_7273,1645145
LT,LT006_3245,7094625
LT,LT003_8806,5514188
LT,LT001_3348,4910080
LT,LT008_7881,4411138
LT,LT006_4731,2886826
LT,LT001_3879,1058057
LT,LT003_5510,3495627
LT,LT004_3977,6532842
LT,LT005_6706,3699978
LT,LT003_5656,3130916
LT,LT006_7108,3783863
LT,LT00A_1312,121482906
LT,LT008_7440,448898
