"query_country_code","lau","sum"
MT,MT001_MT01101,116114940
MT,MT001_MT01432,689541
MT,MT001_MT01104,1440601
MT,MT002_MT02625,385390
MT,MT001_MT01340,202075
MT,MT001_MT01450,9332046
MT,MT001_MT01221,6594705
MT,MT001_MT01108,1641454
MT,MT001_MT01117,615392
MT,MT001_MT01227,4002770
MT,MT001_MT01407,2428365
MT,MT002_MT02656,498873
MT,MT001_MT01351,433076
MT,MT001_MT01326,1008950
MT,MT001_MT01537,1577287
MT,MT001_MT01259,2188339
MT,MT001_MT01331,412299
MT,MT001_MT01416,691782
MT,MT002_MT02663,791365
MT,MT001_MT01349,1424286
MT,MT001_MT01412,3344249
MT,MT001_MT01165,11942536
MT,MT001_MT01336,4338172
MT,MT001_MT01103,535540
MT,MT001_MT01162,2341140
MT,MT001_MT01555,12752845
MT,MT001_MT01544,7267058
MT,MT002_MT02642,235227
MT,MT002_MT02654,206408
MT,MT001_MT01252,862863
MT,MT001_MT01145,88866365
MT,MT001_MT01315,30419608
MT,MT001_MT01118,8152635
MT,MT002_MT02622,739447
MT,MT001_MT01253,3733705
MT,MT001_MT01241,97272414
MT,MT001_MT01413,2099132
MT,MT001_MT01335,35933497
MT,MT001_MT01539,42528733
MT,MT001_MT01129,48637965
MT,MT002_MT02623,937156
MT,MT001_MT01310,6864092
MT,MT001_MT01402,184016
MT,MT001_MT01134,100034121
MT,MT002_MT02630,624763
MT,MT001_MT01320,10573848
MT,MT001_MT01247,748412
MT,MT001_MT01524,797708
MT,MT001_MT01133,25752644
MT,MT001_MT01428,322872
MT,MT001_MT01260,2178419
MT,MT001_MT01367,3346070
MT,MT001_MT01261,211094
MT,MT001_MT01468,1873688
MT,MT002_MT02611,41271174
MT,MT001_MT01157,695856
MT,MT002_MT02666,3310729
MT,MT001_MT01206,4431808
MT,MT001_MT01246,2996421
MT,MT001_MT01214,29948367
MT,MT001_MT01105,2265677
MT,MT001_MT01538,24501364
MT,MT002_MT02619,200649
MT,MT002_MT02643,858616
MT,MT001_MT01409,4012774
MT,MT002_MT02664,3554366
MT,MT001_MT01258,6014063
MT,MT002_MT02648,324706
