query_country_code,lau,sum
PL,PL122_114261502,3817519.2492142517115357
PL,PL414_430580904,6645263.4302234845458994
PL,PL522_516320303,9052360.169700469915929
PL,PL323_318331705,34887872.532812814362497
PL,PL635_622421601,23423906.827581284917995
PL,PL115_110171004,7276154.1208856454417728
PL,PL128_114272511,13880192.026781489214497
PL,PL325_318351003,15944603.645728969882547
PL,PL332_326531201,13624870.8789472629455667
PL,PL312_306100607,5039533.0260039785250834
PL,PL518_502041801,15635006.8902676235898275
PL,PL522_516320906,10959654.5290486368741456
PL,PL311_306091905,7914316.7983984318988434
PL,PL414_430581012,16735885.500873541694903
PL,PL323_318331702,7596970.3504554279218541
PL,PL114_110152007,7211538.5542752097745958
PL,PL128_114273602,4885050.8309979868235888
PL,PL115_110170102,15639192.315897941707628
PL,PL215_212221105,19577768.758006303323716
PL,PL122_114262609,11803103.9945181253918856
PL,PL621_628540201,16262532.162774123896672
PL,PL115_110170706,4342413.2386906811472150
PL,PL614_604071705,12508827.032501165125240
PL,PL314_306110901,68709503.725348219599311
PL,PL225_224440204,104527841.320302758439019
PL,PL121_114251903,13148514.9518448612863914
PL,PL631_622410108,3700395.1256088434538466
PL,PL517_502030203,11177132.539164978290736
PL,PL414_430580903,3375551.3171925387202774
PL,PL515_502012505,8203112.8585120148764059
PL,PL522_516321107,29043240.115797047837736
PL,PL634_622401501,19708433.471075790300326
PL,PL332_326530206,18181967.030779809082417
PL,PL622_628561406,32368619.2505586759630028
PL,PL622_628560101,24726846.706051210119722
PL,PL623_628550605,4782605.7427920282923400
PL,PL128_114272307,5925117.4649427961936294
PL,PL224_224460414,5668862.3559700760464552
PL,PL614_604071601,7138648.8978545894360625
PL,PL432_408140405,12614766.232120803093987
PL,PL312_306102013,15261851.369844031959440
PL,PL214_212200105,11930745.3228572653013794
PL,PL613_604061504,25236904.952867073524316
PL,PL418_430612114,50497674.561867494723910
PL,PL129_114291404,46311059.393098575930093
PL,PL614_604070501,16285524.689725559750774
PL,PL521_516310402,55435422.676988547291598
PL,PL326_318361102,13771794.2638017059739650
PL,PL521_516310104,25414610.210173484393203
PL,PL332_326530602,8268528.7539185771129453
PL,PL312_306100201,46729955.064822558532247
PL,PL312_306102011,7280821.4537450748446570
PL,PL214_212200613,16210584.0792776160032056
PL,PL432_408140901,18728508.8261926439788708
PL,PL323_318331704,9183837.5124749054803005
PL,PL326_318360803,10880754.5273849017256585
PL,PL416_430571806,7688646.3735145510251737
PL,PL326_318361105,26333355.317612010543622
PL,PL215_212220708,8283638.257572135409627
PL,PL326_318362003,17544384.575896268788804
PL,PL522_516321101,10940569.2690395849358716
PL,PL323_318330203,9439231.2127641367803093
PL,PL315_306121204,13124914.3285343000326737
PL,PL311_306091904,3841591.8397059873818326
PL,PL522_516320204,10649871.291719138670946
PL,PL614_604071406,9277464.023180202984680
PL,PL522_516320203,21731929.428834030047483
PL,PL115_110171605,5697317.4851064437841490
PL,PL623_628551802,7930826.5785330371073289
PL,PL516_502020401,37141328.164030657631203
PL,PL432_408141102,52285330.276581364783844
PL,PL114_110152004,39610947.254938947483957
PL,PL122_114262907,5080032.1778257601396271
PL,PL623_628550601,41362698.496585284409854
PL,PL312_306106401,69696418.062478343658706
PL,PL216_212231308,11204618.6050149116461207
PL,PL214_212201406,4878629.4074988313129069
PL,PL613_604061507,14672786.673418831040164
PL,PL326_318361804,11331457.2789892132275982
PL,PL345_320391207,21567818.5896235935518353
PL,PL331_326520412,37962414.003020324866732
PL,PL613_604060302,10039636.5467711946611814
PL,PL343_320370214,20477558.9579214992208911
PL,PL414_430582706,5916520.7309674443624788
PL,PL514_502056401,2606706382.88412956095287
PL,PL614_604071606,20835980.739565479671102
PL,PL227_224491205,8070065.496578691979934
PL,PL635_622420605,5356737.1823147075947730
PL,PL312_306100401,30299789.925956329475903
PL,PL414_430580304,6918162.0526691493746167
PL,PL215_212221014,18098225.583553983188926
PL,PL227_224491509,13536166.619291692916878
PL,PL314_306110914,27059474.2784237599432538
PL,PL518_502042302,77446068.828461788454857
PL,PL345_320390901,11714773.1524087698132182
PL,PL631_622410306,8766184.1453470109280132
PL,PL128_114272513,14710723.657637013964559
PL,PL623_628550610,10294418.9281619066298629
PL,PL324_318340901,18656737.440646681422117
PL,PL122_114261505,16547095.847362489275454
PL,PL314_306110902,18203735.8343844266399116
PL,PL325_318351607,58238405.0421983531995376
PL,PL114_110150807,20402412.7718931124837396
PL,PL224_224460407,13988699.752061809204369
PL,PL422_432631305,15087394.1459791136740003
PL,PL621_628541202,29657461.666200045396901
PL,PL622_628561401,67133135.054398130024087
PL,PL614_604071603,4260215.9300495219844244
PL,PL122_114262607,5580048.1092192743444785
PL,PL225_224440309,12064633.760797267521175
