query_country_code,lau,sum
PT,PT168_091139,347182.3985423264779
PT,PT165_180904,2443105.1942603852753
PT,PT117_181207,1018479.791776869121
PT,PT172_151003,11366333.83420100981
PT,PT171_111406,14739317.22323041858
PT,PT171_110502,6860985.82108528613
PT,PT117_170405,0
PT,PT111_160804,3144653.054503843153
PT,PT117_171403,2747826.7551109034442
PT,PT150_081502,2753163.9943920184938
PT,PT16B_101201,5830974.8493595147407
PT,PT172_151208,2691033.745963092172
PT,PT162_060404,7786770.361468951748
PT,PT16B_111319,371330.655740768387
PT,PT162_060507,6396380.018253691819
PT,PT117_040317,223852.20646526618153
PT,PT171_111109,6716811.959591649638
PT,PT117_181507,912260.7654533060476
PT,PT165_180616,390501.4592473894785
PT,PT117_171424,23925380.973020291843
PT,PT112_030257,1076915.7851545390965
PT,PT117_170407,13473597.7724184298325
PT,PT111_160425,328655.6741118801997
PT,PT112_031334,170340.83108496988214
PT,PT16B_101402,11109415.367852727354
PT,PT185_140907,1989930.4063601487486
PT,PT165_181612,579568.339359016925
PT,PT163_100911,6113523.442809120625
PT,PT168_091107,980459.5446959883881
PT,PT161_011809,4959092.771983961371
PT,PT16C_142004,3700250.6704962920907
PT,PT172_150708,1676276.799875700166
PT,PT16B_110109,1559249.7601569890844
PT,PT161_010102,2411916.6009739526928
PT,PT113_131402,5591489.671157105987
PT,PT162_061003,5682973.733213048374
PT,PT16A_050429,2370843.1377354352894
PT,PT172_151004,1302834.072240661138
PT,PT118_170330,815829.9794481233392
PT,PT113_030708,1585893.669840017975
PT,PT168_090916,96107.7657457225752
PT,PT117_170809,2061200.7549947000467
PT,PT112_030319,18178465.656079917201
PT,PT113_030916,1126703.6645924569532
PT,PT165_180309,519555.3513159371127
PT,PT117_171429,3424797.0803943003572
PT,PT164_061208,1546561.9427574552829
PT,PT115_030506,1140954.0857686881913
PT,PT300_310402,3851806.439952835808
PT,PT200_460305,9493768.1379832350835
PT,PT167_091216,1347123.6300432487013
PT,PT184_020513,66461647.496401040145
PT,PT165_181107,117511.59747905034896
