"query_country_code","lau","sum"
SK,SK023_545350,287371
SK,SK031_512036,89372768
SK,SK022_505994,331397
SK,SK023_500933,20025657
SK,SK041_559598,616540
SK,SK010_507873,1344335
SK,SK031_510203,8312635
SK,SK042_544043,441047
SK,SK023_556157,1487294
SK,SK022_582301,5571464
SK,SK041_520128,410423
SK,SK010_507831,416300
SK,SK042_521221,1861308
SK,SK010_503797,325631
SK,SK042_560022,1074790
SK,SK031_510424,478710
SK,SK041_527602,289472
SK,SK023_542717,3248158
SK,SK042_543365,2904309
SK,SK041_524930,503331
SK,SK041_520772,500619
SK,SK032_516538,257188
SK,SK041_527505,2496591
SK,SK023_502758,170489
SK,SK031_509493,66418882
SK,SK010_508306,1299679
SK,SK031_509213,3416600
SK,SK042_521833,63710
SK,SK021_507121,4000543
SK,SK022_505480,87884
SK,SK041_528056,105144
SK,SK041_525430,1325692
SK,SK032_518298,4045727
SK,SK031_512575,75056
SK,SK031_510696,335937
SK,SK023_500399,236920
SK,SK041_519464,776373
SK,SK041_520527,111065
SK,SK041_523461,49417
SK,SK032_517348,2746880
SK,SK041_520357,1575783
SK,SK021_507709,3270769
SK,SK032_515833,1632406
SK,SK042_599310,77248
SK,SK041_529206,3471
SK,SK032_517267,1226538
SK,SK042_528447,8258092
SK,SK022_545651,566175
SK,SK031_517682,3588512
SK,SK032_516988,393396
SK,SK023_501255,1218711
SK,SK042_543560,1629625
SK,SK010_507849,2207883
SK,SK041_543314,115028
SK,SK023_503631,3015975
SK,SK041_520721,427643
SK,SK023_581704,583413
SK,SK041_519987,763271
SK,SK031_509507,10488879
SK,SK032_518999,75826
SK,SK022_543055,695939
SK,SK022_513253,14885133
SK,SK042_528579,409369
SK,SK023_581895,266280
SK,SK023_503223,728009
SK,SK010_529338,28097192
SK,SK042_543497,8030768
SK,SK041_523607,2605004
SK,SK023_500976,225189
SK,SK041_529231,197006
SK,SK042_528374,746387
SK,SK041_526851,572990
SK,SK021_503827,538641
SK,SK041_525341,1872189
SK,SK041_519090,130907
SK,SK021_504815,42779695
SK,SK023_503436,1229805
SK,SK023_502651,754899
SK,SK022_557714,578187
SK,SK023_502375,2223373
SK,SK022_505315,27500060
SK,SK042_521809,245283
SK,SK031_512460,2058226
SK,SK041_519065,947909
SK,SK010_508322,1167609
SK,SK031_510700,334308
SK,SK023_503398,2251327
SK,SK042_528404,686554
SK,SK021_503771,4503707
SK,SK023_501085,1460879
SK,SK041_520675,45694
SK,SK041_519529,368177
SK,SK021_582522,202957
SK,SK042_522759,2074801
SK,SK042_521752,284305
SK,SK041_521051,3257331
SK,SK032_508985,3879359
SK,SK023_500607,664303
SK,SK041_529079,575317
SK,SK032_516961,612918
SK,SK010_503681,790401
SK,SK032_516333,325771
SK,SK041_527491,481588
SK,SK031_509566,650595
SK,SK042_523356,506860
SK,SK023_556220,113225
SK,SK041_519812,466056
SK,SK031_509442,1153909
SK,SK041_528773,966804
SK,SK031_512311,154012
SK,SK023_504092,4239930
SK,SK021_503967,685870
SK,SK032_514586,56963
SK,SK041_523518,2951070
SK,SK041_524026,705034
SK,SK041_520748,123580
SK,SK041_519979,865486
SK,SK032_516759,13231779
SK,SK023_503711,2339450
SK,SK023_503525,1413036
SK,SK032_514861,988940
SK,SK031_512214,209164
SK,SK031_517925,4706071
SK,SK022_514004,1191701
SK,SK031_517739,4493412
SK,SK041_524549,1540841
SK,SK023_501310,392707
SK,SK032_511838,979132
SK,SK041_526738,389890
SK,SK021_507555,5162455
SK,SK041_526819,1180560
SK,SK022_513407,1406089
SK,SK041_523984,2403779
SK,SK031_547590,14566082
SK,SK032_518468,17897955
SK,SK032_508811,568532
SK,SK031_510564,712073
SK,SK022_506150,4876668
SK,SK041_527637,639303
SK,SK041_524069,342305
SK,SK031_510599,4167896
SK,SK023_505641,1920872
SK,SK032_508527,6409280
SK,SK042_518107,93176
SK,SK023_545635,844199
SK,SK042_521507,555071
SK,SK023_503568,3058648
SK,SK032_518361,379651
SK,SK041_525405,7406392
SK,SK041_528862,583206
SK,SK041_520977,434639
SK,SK032_511315,3755302
SK,SK032_514501,542348
SK,SK031_509876,4525240
SK,SK031_581984,1621287
SK,SK021_507351,487623
SK,SK042_522643,696855
SK,SK041_527092,2350973
SK,SK041_525375,444969
SK,SK032_515931,1009
SK,SK031_558168,480080
SK,SK041_519472,589083
SK,SK022_513245,232965
SK,SK042_528501,993960
SK,SK042_522490,193544
SK,SK022_557510,65899
SK,SK021_506745,122645218
SK,SK031_547557,1685009
SK,SK042_544001,750972
SK,SK032_516449,83712
SK,SK032_514691,485079
SK,SK041_543454,70994
SK,SK031_512044,104299
SK,SK032_514616,129058
SK,SK042_528668,578006
SK,SK041_528765,283792
SK,SK023_500241,957908
SK,SK023_500658,1381031
SK,SK022_506087,1751165
SK,SK022_505129,362396
SK,SK022_557561,133653
SK,SK041_520209,313624
SK,SK042_521485,443579
SK,SK042_523364,800312
SK,SK023_582425,472933
SK,SK042_543331,7824755
SK,SK042_526436,3113781
SK,SK022_513474,2004862
SK,SK042_523135,250748
SK,SK023_502880,124791
SK,SK041_527041,2463622
SK,SK023_505561,57045
SK,SK031_512222,715472
SK,SK041_527513,433703
SK,SK031_509744,584776
SK,SK021_504149,1560862
SK,SK032_515736,1031572
SK,SK021_507491,872490
SK,SK021_507466,1226070
SK,SK032_517259,721742
SK,SK023_503312,362133
SK,SK041_524913,291068
SK,SK031_512451,147188
SK,SK032_508471,210118
SK,SK042_559865,111492
SK,SK023_555916,811853
SK,SK023_505251,280902
SK,SK010_508012,2651370
SK,SK041_519081,1540458
SK,SK022_542733,3856537
SK,SK041_529265,5290649
SK,SK031_511137,81585
SK,SK041_523534,2879779
SK,SK023_581623,600924
SK,SK032_514781,842069
SK,SK032_516902,1309151
SK,SK041_528978,125841
SK,SK022_505820,100718543
SK,SK042_523011,103598
SK,SK041_523771,496584
SK,SK032_518280,292471
SK,SK031_512524,1625007
SK,SK023_542695,162491
SK,SK032_516830,7096441
SK,SK041_559989,339367
SK,SK023_502588,1857560
SK,SK042_528331,1933588
SK,SK023_503479,1218184
SK,SK021_501808,2513727
SK,SK032_511226,223212
SK,SK023_501247,821507
SK,SK041_527203,535898
SK,SK032_515272,136178
SK,SK023_502171,427102
SK,SK042_528315,505232
SK,SK021_501468,986035
SK,SK031_509710,507398
SK,SK022_504408,328043
SK,SK042_599875,51221529
SK,SK031_512605,765184
SK,SK042_560049,273196
SK,SK021_501603,1058761
SK,SK032_515906,2214594
SK,SK021_503878,1370542
SK,SK023_505773,538468
SK,SK042_544035,739024
SK,SK032_516198,243068
SK,SK023_501166,2781487
SK,SK032_518255,404733
SK,SK023_503070,1594508
SK,SK041_523801,372438
SK,SK022_513903,17237974
SK,SK041_525146,19082551
SK,SK041_519880,203374
SK,SK032_526002,188031
SK,SK031_512753,360406
SK,SK010_507857,2845352
SK,SK041_526827,156435
SK,SK041_528081,698757
SK,SK022_513725,3780863
