"query_country_code","lau","sum"
SI,SI014_144,17871853
SI,SI012_171,5946533
SI,SI011_078,19037629
SI,SI021_064,9731856
SI,SI021_134,3988052
SI,SI023_084,92894288
SI,SI011_015,14230419
SI,SI021_021,6159221
SI,SI012_143,4383299
SI,SI013_175,9110223
SI,SI012_098,9395929
SI,SI014_209,2532198
SI,SI013_076,5933637
SI,SI024_035,9795452
SI,SI021_138,3270024
SI,SI011_152,4863830
SI,SI012_135,11844279
SI,SI014_173,9426627
SI,SI021_020,2655411
SI,SI021_140,13877120
SI,SI014_174,13989404
SI,SI023_036,34786383
SI,SI012_172,9217074
SI,SI013_016,3647989
SI,SI016_054,49895298
SI,SI011_158,10359043
SI,SI023_044,6727718
SI,SI014_155,5294451
SI,SI014_137,5713974
SI,SI012_045,28806660
SI,SI023_014,5891092
SI,SI012_169,7924480
SI,SI022_122,76847881
SI,SI021_061,693357288
SI,SI021_208,1857550
SI,SI024_049,10618244
SI,SI011_010,9030620
SI,SI018_091,19615959
SI,SI018_065,6246570
SI,SI013_101,18938320
SI,SI013_177,4545760
SI,SI014_067,3096819
SI,SI022_095,7974049
SI,SI024_019,13896566
SI,SI021_023,27638059
SI,SI011_188,4240451
SI,SI012_198,5359375
SI,SI011_100,15415962
SI,SI024_050,130270621
SI,SI017_119,17264550
SI,SI014_011,89073250
SI,SI023_075,8383759
SI,SI021_186,4007386
SI,SI011_105,7472598
SI,SI017_206,8970384
SI,SI022_192,6134718
SI,SI018_094,31493538
SI,SI014_189,6190615
SI,SI011_187,6391667
SI,SI023_183,32697323
SI,SI024_111,46142776
SI,SI012_113,50486084
SI,SI021_043,21061834
SI,SI023_006,13147161
SI,SI014_051,11175264
SI,SI022_052,105577691
SI,SI011_002,23287435
SI,SI017_073,22952604
SI,SI014_154,1026580
SI,SI022_004,16244578
SI,SI014_133,82709655
SI,SI015_142,40282356
SI,SI014_184,1616010
SI,SI023_201,7549579
SI,SI014_126,14047671
SI,SI022_012,32793439
SI,SI012_026,10240830
SI,SI014_107,7054288
SI,SI014_127,7762120
SI,SI012_178,9010162
SI,SI021_077,4395020
SI,SI017_085,120771399
SI,SI018_013,36292807
SI,SI017_170,6203294
SI,SI021_022,4147284
SI,SI018_038,29278269
SI,SI021_005,2888159
SI,SI014_083,5376180
SI,SI022_041,43377878
SI,SI014_079,11800510
SI,SI012_159,6481239
SI,SI011_116,8156789
SI,SI017_121,7396764
SI,SI012_191,4498376
SI,SI022_027,15417586
SI,SI022_082,13375138
SI,SI012_210,3622253
SI,SI023_136,11832687
SI,SI014_190,37257607
SI,SI011_080,72823342
SI,SI023_046,9680793
SI,SI013_093,3574871
SI,SI013_103,23723033
SI,SI011_166,9947173
SI,SI011_033,4013355
SI,SI022_131,15510083
SI,SI012_089,13193071
SI,SI017_193,8862886
SI,SI012_096,49716865
SI,SI021_039,17011991
SI,SI017_109,17434532
SI,SI017_066,7430251
SI,SI012_148,4637575
SI,SI015_129,22519619
SI,SI018_150,4410679
SI,SI016_009,44849341
SI,SI021_194,7989263
SI,SI017_165,4519707
SI,SI024_090,38394142
SI,SI021_060,20838568
SI,SI014_149,4562370
SI,SI012_204,4877707
SI,SI022_163,1296556
SI,SI014_030,2864432
SI,SI011_029,33694905
SI,SI023_128,45778491
SI,SI017_203,6924883
SI,SI017_017,43049090
SI,SI017_048,36806861
SI,SI011_056,4617730
SI,SI012_024,4438224
SI,SI011_156,5964071
SI,SI021_008,26522447
SI,SI012_181,4693368
SI,SI014_120,48219861
SI,SI013_141,6176814
SI,SI021_037,4864915
SI,SI014_151,7528599
SI,SI012_153,3102898
SI,SI012_058,14573374
SI,SI012_042,4272517
SI,SI017_157,11015578
SI,SI017_104,19781384
SI,SI021_162,2858880
SI,SI017_211,5580694
SI,SI012_018,5235155
SI,SI014_099,5007581
SI,SI012_196,6785461
SI,SI024_040,35472971
SI,SI011_063,32661656
SI,SI013_074,4899558
SI,SI011_176,4690329
SI,SI014_125,5886738
SI,SI022_102,32260558
SI,SI012_168,8077732
SI,SI022_207,8846044
SI,SI017_179,5929244
SI,SI022_146,57755719
SI,SI021_072,5408667
SI,SI017_130,25882750
SI,SI012_167,6026672
SI,SI016_197,3107876
SI,SI011_132,11135474
SI,SI011_195,9130348
SI,SI014_180,2256040
SI,SI023_007,18681570
SI,SI012_087,38569730
SI,SI012_182,1671547
SI,SI012_185,2669308
SI,SI011_097,26163348
SI,SI013_025,24207219
SI,SI011_031,4461694
SI,SI022_147,7931846
SI,SI012_160,15401892
SI,SI012_118,12399647
SI,SI012_205,4898730
SI,SI012_200,9968364
SI,SI015_034,15791435
SI,SI012_069,10922352
SI,SI012_055,7139236
SI,SI022_053,44344031
SI,SI011_047,1872096
SI,SI012_202,5029599
SI,SI014_106,25242501
SI,SI011_161,1623120
SI,SI011_059,37828494
SI,SI021_068,3961799
SI,SI021_123,5829969
SI,SI012_115,5060938
SI,SI022_117,12583620
SI,SI021_032,25026654
SI,SI021_164,3604289
SI,SI017_199,18575211
SI,SI014_124,17468134
SI,SI023_001,29360211
SI,SI012_028,7509070
SI,SI014_114,29752210
SI,SI014_092,15160506
SI,SI014_057,26988949
SI,SI017_088,1318116
SI,SI013_112,42226132
SI,SI011_086,5150119
SI,SI014_139,11150124
SI,SI014_062,4495098
SI,SI012_108,10036991
SI,SI013_081,4654369
SI,SI016_110,23605157
SI,SI022_003,21808175
SI,SI021_071,13532524
SI,SI012_070,285877695
