query_country_code,lau,sum
ES,ES423_16111,161351
ES,ES514_43072,37269
ES,ES242_44221,176989
ES,ES418_47094,120146
ES,ES120_33036,19739520
ES,ES423_16905,580898
ES,ES412_09438,477137
ES,ES512_17057,362016
ES,ES614_18048,3326111
ES,ES411_05064,88737
ES,ES413_24093,249748
ES,ES412_09169,75035
ES,ES617_29094,103857701
ES,ES611_04101,8000397
ES,ES213_48073,2542727
ES,ES111_15010,3301631
ES,ES616_23017,3042519
ES,ES432_10144,1351326
ES,ES230_26127,116353
ES,ES616_23095,15252522
ES,ES521_03041,7637437
ES,ES523_46252,150576
ES,ES220_31049,328505
ES,ES514_43145,2515710
ES,ES242_44158,662262
ES,ES412_09325,150266
ES,ES230_26170,298168
ES,ES417_42032,191722
ES,ES614_18902,28103179
ES,ES521_03136,430697
ES,ES415_37351,242654
ES,ES412_09352,88441
ES,ES417_42183,97897
ES,ES418_47118,126383
ES,ES513_25033,524978
ES,ES243_50280,294696
ES,ES412_09396,104738
ES,ES242_44076,1111382
ES,ES615_21045,1498117
ES,ES705_35021,17381240
ES,ES523_46148,1169181
ES,ES512_17181,1535820
ES,ES422_13088,618961
ES,ES411_05187,1461812
ES,ES413_24190,122928
ES,ES415_37122,70642
ES,ES618_41097,8022588
ES,ES220_31253,43122
ES,ES512_17178,666510
ES,ES213_48062,140694
ES,ES213_48042,816520
ES,ES432_10086,1255714
ES,ES614_18082,10308392
ES,ES243_50209,1484455
ES,ES416_40180,268343
ES,ES511_08105,3622521
ES,ES211_01044,81269
ES,ES243_50031,100040
ES,ES431_06043,4382703
ES,ES523_46063,1173628
ES,ES211_01039,110971
ES,ES614_18103,1888851
ES,ES415_37218,66423
ES,ES243_50173,70085
ES,ES511_08098,765467
ES,ES432_10047,2112436
ES,ES422_13013,17099078
ES,ES242_44265,82705
ES,ES413_24217,101044
ES,ES130_39096,462553
ES,ES419_49038,96318
ES,ES425_45004,512495
ES,ES511_08292,413508
ES,ES418_47063,99265
ES,ES511_08043,1027127
ES,ES416_40120,99348
ES,ES300_28088,108488
ES,ES423_16272,220358
ES,ES614_18112,407531
ES,ES424_19193,30643
ES,ES113_32067,2196926
ES,ES424_19255,93726
ES,ES120_33035,25711092
ES,ES421_02068,471985
ES,ES611_04031,6077477
ES,ES521_03036,85828
ES,ES425_45010,395475
ES,ES220_31183,281669
ES,ES511_08235,1623044
ES,ES243_50288,5378896
ES,ES300_28016,76781
ES,ES614_18004,1583400
ES,ES120_33002,13692172
ES,ES411_05232,88622
ES,ES514_43132,170647
ES,ES418_47186,334741718
ES,ES512_17064,120371
ES,ES424_19290,795225
ES,ES300_28166,118898
ES,ES613_14018,6611333
ES,ES412_09309,491296
ES,ES432_10094,923394
ES,ES243_50048,14857
ES,ES614_18102,16853571
ES,ES412_09255,63768
ES,ES424_19080,76096
ES,ES213_48913,759364
ES,ES243_50272,4497817
ES,ES130_39085,4044718
ES,ES511_08061,776700
ES,ES523_46171,12841048
ES,ES418_47004,3463171
ES,ES220_31105,1541191
ES,ES422_13061,6437090
ES,ES130_39102,1018835
ES,ES615_21024,1310233
ES,ES613_14042,52681849
ES,ES415_37355,141307
ES,ES412_09361,96379
ES,ES242_44077,65180
ES,ES424_19173,136074
ES,ES618_41019,8426673
ES,ES413_24065,2070018
ES,ES425_45089,1531589
ES,ES521_03009,36023499
ES,ES512_17110,768104
ES,ES523_46100,237574
ES,ES213_48086,923162
ES,ES612_11002,8527433
ES,ES611_04059,2439530
ES,ES411_05069,71494
ES,ES241_22242,43142
ES,ES615_21001,1365507
ES,ES709_38046,12490759
ES,ES523_46020,2904516
ES,ES416_40221,36155
ES,ES514_43143,27554
ES,ES521_03003,364330
ES,ES241_22122,28589
ES,ES424_19240,55509
ES,ES514_43119,309822
ES,ES513_25158,657151
ES,ES522_12008,183434
ES,ES532_07056,1839388
ES,ES230_26131,19443
ES,ES114_36037,4079821
ES,ES421_02083,258246
ES,ES431_06033,3589592
ES,ES513_25231,233416
ES,ES421_02006,783122
ES,ES419_49065,1059027
ES,ES425_45096,929852
ES,ES423_16079,32143
ES,ES419_49130,148514
ES,ES618_41020,33193751
ES,ES220_31160,32102
ES,ES523_46213,13442710
ES,ES424_19087,22759
ES,ES213_48902,15025905
ES,ES421_02007,1514422
ES,ES615_21042,28672128
ES,ES522_12132,441122
ES,ES412_09047,43942
ES,ES618_41062,2565244
ES,ES617_29097,7214462
ES,ES213_48083,4081098
ES,ES412_09175,92891
ES,ES113_32017,3724286
ES,ES521_03018,14958272
ES,ES425_45153,1684228
ES,ES617_29005,15598103
ES,ES514_43091,58026
ES,ES513_25104,53141
ES,ES230_26060,27038
ES,ES532_07057,4185191
ES,ES523_46097,535850
ES,ES523_46122,2011790
ES,ES414_34068,25904
ES,ES213_48040,825414
ES,ES513_25136,244170
ES,ES241_22012,35850
ES,ES424_19243,30930
ES,ES611_04019,386412
ES,ES113_32054,243872332
ES,ES230_26128,43985
ES,ES419_49153,122815
ES,ES241_22254,648703
ES,ES421_02004,926897
ES,ES130_39001,1382927
ES,ES419_49019,239133
ES,ES521_03903,1753404
