"query_country_code","lau","sum"
SE,SE110_0181,5742140
SE,SE332_2518,1569991
SE,SE211_0684,2690711
SE,SE232_1441,1520256
SE,SE331_2418,1590797
SE,SE313_2181,6096638
SE,SE213_0884,2536402
SE,SE110_0188,941632
SE,SE221_1081,3516528
SE,SE232_1460,998271
SE,SE232_1480,35723408
SE,SE232_1499,1559559
SE,SE110_0123,733402
SE,SE124_1860,368959
SE,SE331_2482,38150366
SE,SE123_0513,494586
SE,SE312_2062,5851706
SE,SE224_1275,480692
SE,SE331_2404,2394393
SE,SE313_2132,2620624
SE,SE124_1883,2770287
SE,SE232_1435,1916257
SE,SE322_2309,7371731
SE,SE312_2080,16662454
SE,SE331_2417,3196191
SE,SE224_1231,994309
SE,SE122_0482,741073
SE,SE224_1261,1783210
SE,SE122_0483,2404745
SE,SE121_0331,358680
SE,SE214_0980,7978797
SE,SE331_2425,1120898
SE,SE224_1293,3378609
SE,SE311_1785,6867897
SE,SE331_2422,1187996
SE,SE311_1764,1672981
SE,SE123_0560,167808
SE,SE110_0136,1500889
SE,SE224_1284,1568273
SE,SE322_2305,2879808
SE,SE331_2462,2775912
SE,SE313_2161,3876688
SE,SE211_0685,904449
SE,SE332_2582,8584708
SE,SE231_1383,2936825
SE,SE313_2101,1776487
SE,SE224_1272,765337
SE,SE332_2521,2156011
SE,SE125_1961,940005
SE,SE110_0140,209095
SE,SE221_1060,1469491
SE,SE110_0127,2551889
SE,SE224_1256,1218235
SE,SE110_0184,1099918
SE,SE125_1981,1395740
SE,SE313_2121,2906072
SE,SE224_1265,1524960
SE,SE123_0583,1819402
SE,SE332_2560,3213275
SE,SE121_0319,277140
SE,SE332_2581,20839345
SE,SE212_0765,1111381
SE,SE231_1315,537786
SE,SE331_2463,1182935
SE,SE311_1781,8970467
SE,SE332_2514,12456316
SE,SE232_1444,329272
SE,SE311_1762,748909
SE,SE224_1290,6123498
SE,SE311_1766,3630146
SE,SE213_0860,1184776
SE,SE224_1292,2566210
SE,SE232_1481,2050370
SE,SE232_1430,933275
SE,SE213_0862,466035
SE,SE232_1445,325077
SE,SE221_1080,7817960
SE,SE232_1490,11985516
SE,SE122_0488,451656
SE,SE312_2026,2678227
SE,SE232_1498,633416
SE,SE232_1443,397285
SE,SE312_2083,4296138
SE,SE124_1862,1474606
SE,SE313_2104,1284064
SE,SE232_1438,463342
SE,SE211_0665,2411584
SE,SE121_0305,636214
SE,SE221_1082,3815720
SE,SE232_1485,3845143
SE,SE110_0117,655702
SE,SE110_0162,435314
SE,SE331_2401,3134669
SE,SE232_1465,512921
SE,SE311_1761,4605621
SE,SE321_2282,10080796
SE,SE321_2284,22646239
SE,SE321_2262,6286228
SE,SE125_1983,1531029
SE,SE123_0584,329698
SE,SE232_1402,1356138
SE,SE122_0480,2532295
SE,SE211_0662,1122654
SE,SE322_2380,38905000
SE,SE311_1715,1885257
SE,SE212_0780,13030708
SE,SE121_0380,7820003
SE,SE123_0582,465242
SE,SE232_1484,1308249
SE,SE321_2281,47557246
SE,SE331_2460,3718262
