"query_country_code","lau","sum"
UK,UKL23_W05000191,430137
UK,UKG23_E05001923,362714
UK,UKG21_E05001882,43678
UK,UKM21_S31000057,256814
UK,UKF22_E05005480,15804
UK,UKJ14_E05006532,15365
UK,UKI22_E05000117,56255
UK,UKK22_E05003667,20366
UK,UKI11_E05000002,726017
UK,UKK22_E05003698,5044
UK,UKK13_E05004318,607559
UK,UKK22_E05003765,19404
UK,UKJ42_E05004945,10422
UK,UKJ42_E05004946,1053
UK,UKI11_E05000262,184965
UK,UKI22_E05000565,654509
UK,UKH12_E05008536,20190
UK,UKE22_E05006283,59667
UK,UKK30_E05008286,2522086
UK,UKF14_E05001827,996079
UK,UKD32_E05000849,209987
UK,UKM23_S31000157,23395
UK,UKM22_S31000106,150903
UK,UKM66_S31001216,68081
UK,UKD43_E05005266,301772
UK,UKC23_E05001154,512854
UK,UKG24_E05007054,43221
UK,UKI21_E05000596,216770
UK,UKE12_E05001691,998365
UK,UKH23_E05004804,39234
UK,UKE22_E05006277,170477
UK,UKD32_E05000724,440470
UK,UKJ42_E05005100,41513
UK,UKF21_E05001796,494008
UK,UKK23_E05006896,25593
UK,UKD12_E05003266,383206
UK,UKM50_S31000906,503308
UK,UKJ42_E05005046,26381
UK,UKJ23_E05007435,26636
UK,UKM26_S31000297,59000
UK,UKM21_S31000046,264283
UK,UKD43_E05005203,55222
UK,UKM35_S31000699,190945
UK,UKD43_E05005382,514966
UK,UKF22_E05005498,18178
UK,UKL14_W05000382,16506142
UK,UKE13_E05001727,302600
UK,UKJ22_E05003936,28447
UK,UKD12_E05003242,135866
UK,UKC14_E05008001,100663
UK,UKM31_S31000438,195285
UK,UKI22_E05000413,3782411
UK,UKD12_E05003245,106320
UK,UKL18_W05000519,3295642
UK,UKD43_E05005274,151862
UK,UKJ33_E05004532,28186
UK,UKG22_E05008164,94770
UK,UKD31_E05000772,681508
UK,UKL23_W05000196,2468099
UK,UKJ42_E05004883,31126
UK,UKH33_E05004067,60157
UK,UKI21_E05000206,136321
UK,UKN05_95CC14,1065598
UK,UKJ33_E05004494,13350
UK,UKC22_E05001104,410296
UK,UKF24_E05005943,9668
UK,UKC21_E05008075,30633
UK,UKC21_E05008044,25448
UK,UKK13_E05004361,12939
UK,UKF15_E05006450,88515
UK,UKJ24_E05007564,31099
UK,UKG31_E05001198,870336
UK,UKL12_W05000100,825258
UK,UKD43_E05005193,220929
UK,UKM33_S31000528,233939
UK,UKL14_W05000464,1861570
UK,UKJ33_E05004529,22690
UK,UKI23_E05000105,253041
UK,UKL17_W05000591,292875
UK,UKK21_E05002116,1526774
UK,UKJ42_E05005063,38565
UK,UKL11_W05000024,513050
UK,UKJ14_E05006640,22161
UK,UKK12_E05001958,33691
UK,UKL12_W05000063,599631
UK,UKM25_S31000285,211678
UK,UKI23_E05000526,116697
UK,UKD12_E05003171,308242
UK,UKD31_E05000714,1427412
UK,UKN01_95GG20,12692591
UK,UKL13_W05000148,469837
UK,UKM33_S31000563,196351
UK,UKE32_E05001050,2393753
UK,UKG24_E05007027,40030
UK,UKM21_S31000050,6218661
UK,UKH23_E05004860,24568
UK,UKG11_E05001848,29796
UK,UKI23_E05000092,237635
UK,UKH33_E05004073,49614
UK,UKD31_E05000781,459278
UK,UKN01_95GG27,1676683
UK,UKC14_E05008003,104516
UK,UKI21_E05000224,507128
UK,UKI12_E05000432,152825
UK,UKM24_S31000223,84111
UK,UKE45_E05001454,821643
UK,UKK43_E05003560,16332
UK,UKM34_S31000603,277937
UK,UKK13_E05004358,10774
UK,UKC22_E05001088,378968
UK,UKF16_E05006502,19590
UK,UKJ33_E05004488,10747
UK,UKI23_E05000360,156171
UK,UKC11_E05001466,482082
UK,UKM50_S31000920,47034
UK,UKN02_95WW08,547795
UK,UKJ42_E05004929,26980
UK,UKL16_W05000776,2336279
UK,UKL13_W05000172,2414205
UK,UKK43_E05003531,31594
UK,UKJ42_E05005060,16302
UK,UKG13_E05007507,29713
UK,UKI11_E05000396,152204
UK,UKI12_E05000419,478119
UK,UKI11_E05000144,301616
UK,UKH13_E05005781,44342
UK,UKG11_E05001878,26144
UK,UKL17_W05000588,1520531
UK,UKL17_W05000899,1122466
UK,UKJ33_E05004638,16986
UK,UKN04_95RR02,430673
UK,UKL18_W05000541,1073590
UK,UKG24_E05007017,1354504
