"query_country_code","lau2_code","sum"
HU,HU1357,16301861568
PL,PL127_114286501,6930881750
RO,RO321_179132,3377226791
CZ,CZ010_554782,3079869671
DE,DE300_11000000,2757228830
IT,ITF33_063049,2732392264
PL,PL514_502056401,2546846060
ES,ES300_28079,2289695242
PL,PL633_622436101,2021035421
BG,BG411_68134,1987713939
CZ,CZ064_582786,1905475665
PL,PL113_110166101,1769019308
PL,PL213_212216101,1655758428
PL,PL415_430626401,1469676300
ES,ES618_41091,1447840091
IT,ITG12_082053,1372469476
GR,EL651_40010101,1324320358
EE,EE001_0784,1258187943
CZ,CZ080_554821,1246374765
ES,ES617_29067,1196928083
LV,LV006_0010000,1179523757
PL,PL314_306116301,1135757829
PL,PL424_432656201,1029317233
ES,ES511_08019,1010831401
IT,ITF47_072006,1001653661
HU,HU1513,993690167
DE,DED21_14612000,982858123
HU,HU3045,947918176
GR,EL305_49050301,898009467
DE,DE212_09162000,881224121
PL,PL343_320376101,843193332
ES,ES523_46250,840461796
HU,HU2661,840020981
HU,HU3336,799460060
PT,PT114_131710,777714572
RO,RO122_40198,759829763
CZ,CZ032_554791,737671941
PL,PL325_318356301,731001882
PL,PL229_224476601,723161479
GR,EL631_38030101,711761995
DE,DED51_14713000,696309873
PL,PL331_326526101,695776975
HU,HU1941,694696054
SI,SI021_061,693357288
GR,EL543_18010101,687204453
IT,ITI43_058091,677831644
PL,PL613_604066301,669080291
ES,ES613_14021,668924560
DE,DEE03_15003000,654272730
RO,RO213_95060,636012261
PL,PL613_604066101,626518694
IT,ITF63_079023,616426781
PL,PL22A_224486901,614026981
PL,PL622_628566201,603277198
ES,ES614_18087,593194648
RO,RO223_60419,592137580
GR,EL305_49050101,584621621
RO,RO424_155243,584356759
IT,ITG17_087015,570047286
PL,PL633_622436201,569965158
PT,PT171_110650,565088553
GR,EL303_45010000,563285204
ES,ES431_06015,543503208
CZ,CZ071_500496,543165393
RO,RO411_69900,521932101
UK,UKI11_E05000644,520975104
ES,ES705_35016,520130406
DE,DEA11_05111000,505204863
RO,RO113_54975,499876446
PL,PL229_224477801,480522862
GR,EL613_24010101,478697008
ES,ES114_36057,470116222
IT,ITF65_080063,470109651
CZ,CZ031_544256,467094440
FR,FR940_97411,462844507
IT,ITF35_065116,445864713
ES,ES243_50297,440928306
EE,EE008_0795,435852783
CZ,CZ051_563889,420666705
PL,PL621_628546101,419144912
AT,AT130_90001,410661093
DE,DE803_13003000,408716154
DE,DED41_14511000,408643318
GR,EL632_37010100,397305735
DE,DE501_04011000,393769978
UK,UKG33_E05001228,391521973
GR,EL522_07060101,391382605
PL,PL228_224456201,384405034
ES,ES620_30030,373903798
HU,HU2558,372634202
IT,ITI14_048017,372555880
ES,ES611_04013,372071291
IT,ITF46_071024,369926492
PL,PL224_224466401,368549013
