"query_country_code","nuts1_code","sum"
CZ,CZ0,26792071238
IT,ITF,21373524811
PT,PT1,20899674453
HU,HU1,17639641422
PL,PL1,17555404733
ES,ES6,16584080216
PL,PL3,14741222085
PL,PL2,13349579029
PL,PL6,11856314270
HU,HU3,11848414938
SK,SK0,11213839418
PL,PL4,10676079906
GR,EL6,10619530213
ES,ES4,8301642466
GR,EL5,8203306692
ES,ES5,7893058914
PL,PL5,7190235857
IT,ITG,6898785138
LT,LT0,6752062223
HU,HU2,6641007487
ES,ES1,6451103388
RO,RO3,6303346884
RO,RO1,6020001741
RO,RO2,5698727191
SI,SI0,4576126865
LV,LV0,4493771267
DE,DED,4475182621
RO,RO4,4347748627
BG,BG4,4194849165
GR,EL3,3838790838
ES,ES3,3732735205
FR,FR9,3623274925
EE,EE0,3572872136
BG,BG3,3525945720
DE,DEA,2893314775
FI,FI1,2856186687
DE,DE3,2757228830
IT,ITI,2754533200
GR,EL4,2708345031
ES,ES7,2609421577
ES,ES2,2577378873
DE,DEG,2547239035
DE,DE2,2248712375
FR,FR2,2094974000
IT,ITC,2011430155
DE,DEE,1949479639
DE,DE4,1846154218
UK,UKL,1655354242
IT,ITH,1630139398
DE,DE8,1622143624
FR,FR6,1593360915
FR,FR5,1516403031
PT,PT2,1361960989
FR,FR3,1328106062
FR,FR7,1302791928
DE,DE7,1257901012
DE,DE9,1216969620
FR,FR8,1119681749
UK,UKI,1078947146
UK,UKD,1049655777
FR,FR4,1003462867
NL,NL3,942910998
UK,UKG,927896836
DE,DEF,887807777
AT,AT1,885671257
FR,FR1,865959263
CY,CY0,841308858
MT,MT0,833518548
UK,UKE,829769497
HR,HR0,815612179
PT,PT3,785930336
UK,UKN,782511161
AT,AT3,732229494
SE,SE3,696025024
UK,UKK,642909139
BE,BE3,640780950
UK,UKM,623307856
AT,AT2,618046035
IE,IE0,571983725
DE,DE1,557297679
UK,UKF,524010816
DK,DK0,491970672
BE,BE1,491962360
DE,DE5,468674027
UK,UKC,335140134
NL,NL2,334763570
DE,DEB,325501737
SE,SE2,313373462
UK,UKH,291750100
BE,BE2,288213460
UK,UKJ,264120807
NL,NL1,231890403
DE,DE6,221473301
DE,DEC,211641353
NL,NL4,148711843
SE,SE1,126100420
GR,ELZ,47086474
LU,LU0,23622777
FI,FI2,1655211
