query_id,beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address
745219,West-Terschelling,NL,Netherlands,location,,,,,,
745220,Didam,NL,Netherlands,location,,,,,,
745221,Hoenderloo,NL,Netherlands,location,,,,,,
745222,Arcen,NL,Netherlands,location,,,,,,
745223,Makkum,NL,Netherlands,location,,,,,,
745224,Zwaagdijk-Oost,NL,Netherlands,location,,,,,,
745225,Bakel,NL,Netherlands,location,,,,,,
745226,Heinkenszand,NL,Netherlands,location,,,,,,
745227,Oosterwolde Fr,NL,Netherlands,location,,,,,,
745228,Vianen Ut,NL,Netherlands,location,,,,,,
745229,Sint Annaparochie,NL,Netherlands,location,,,,,,
745230,Haelen,NL,Netherlands,location,,,,,,
745231,Borssele,NL,Netherlands,location,,,,,,
745232,Sint-Michielsgestel.nl,NL,Netherlands,location,,,,,,
745233,Wijnansrade,NL,Netherlands,location,,,,,,
745234,Bemmel,NL,Netherlands,location,,,,,,
745235,Postcode n.v.t.,NL,Netherlands,location,,,,,,
745236,ELST,NL,Netherlands,location,,,,,,
745237,3300AA,NL,Netherlands,location,,,,,,
745238,Lomm,NL,Netherlands,location,,,,,,
745239,Piershil,NL,Netherlands,location,,,,,,
745240,3500GD,NL,Netherlands,location,,,,,,
745241,Sittard,NL,Netherlands,location,,,,,,
745242,8901 BL,NL,Netherlands,location,,,,,,
745243,Gemert,NL,Netherlands,location,,,,,,
745244,Hoogezand,NL,Netherlands,location,,,,,,
745245,Terborg,NL,Netherlands,location,,,,,,
745246,Wezuperbrug,NL,Netherlands,location,,,,,,
745247,3112DZ,NL,Netherlands,location,,,,,,
745248,Axel,NL,Netherlands,location,,,,,,
745249,6700 AA,NL,Netherlands,location,,,,,,
745250,Giethoorn,NL,Netherlands,location,,,,,,
745251,Volendam,NL,Netherlands,location,,,,,,
745252,3069GK,NL,Netherlands,location,,,,,,
745253,Horst ,NL,Netherlands,location,,,,,,
745254,5600 RB,NL,Netherlands,location,,,,,,
745255,Elst,NL,Netherlands,location,,,,,,
745256,Bilthoven,NL,Netherlands,location,,,,,,
745257,1043EX,NL,Netherlands,location,,,,,,
745258,Velserbroek,NL,Netherlands,location,,,,,,
745259,Warmenhuizen,NL,Netherlands,location,,,,,,
745260,Bodegraven,NL,Netherlands,location,,,,,,
745261,Budel-Dorplein,NL,Netherlands,location,,,,,,
